actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
2021 03 taking action against hackers in china,threat_actor,meta,2021 03 taking action against hackers in china,2021-03-24,https://about.fb.com/news/2021/03/taking-action-against-hackers-in-china/,md5,10c1f38305792a0f925e8a2cf9482ce3,China,,,,none,,Plugin Phantom,2026-09-11
2021 03 taking action against hackers in china,threat_actor,meta,2021 03 taking action against hackers in china,2021-03-24,https://about.fb.com/news/2021/03/taking-action-against-hackers-in-china/,md5,3c0a20f0726032ad816e670971509b2d,China,,,,none,,Plugin Phantom,2026-09-11
2021 03 taking action against hackers in china,threat_actor,meta,2021 03 taking action against hackers in china,2021-03-24,https://about.fb.com/news/2021/03/taking-action-against-hackers-in-china/,md5,01fe88068e43c2276f7d8bbf54824f0f,China,,,,none,,Plugin Phantom,2026-09-11
2021 03 taking action against hackers in china,threat_actor,meta,2021 03 taking action against hackers in china,2021-03-24,https://about.fb.com/news/2021/03/taking-action-against-hackers-in-china/,md5,fd8da30dd9e45bd31af79a9652d50ece,China,,,,none,,Plugin Phantom,2026-09-11
2021 03 taking action against hackers in china,threat_actor,meta,2021 03 taking action against hackers in china,2021-03-24,https://about.fb.com/news/2021/03/taking-action-against-hackers-in-china/,md5,10748ca7648d26316b4857b6139ca93d,China,,,,none,,Plugin Phantom,2026-09-11
2021 03 taking action against hackers in china,threat_actor,meta,2021 03 taking action against hackers in china,2021-03-24,https://about.fb.com/news/2021/03/taking-action-against-hackers-in-china/,md5,a5199e6f1904f5a532a562fbb9d5abc6,China,,,,none,,Plugin Phantom,2026-09-11
2021 03 taking action against hackers in china,threat_actor,meta,2021 03 taking action against hackers in china,2021-03-24,https://about.fb.com/news/2021/03/taking-action-against-hackers-in-china/,md5,670a389a93b82ccf198dd7789a865096,China,,,,none,,Action Spy,2026-09-11
2021 03 taking action against hackers in china,threat_actor,meta,2021 03 taking action against hackers in china,2021-03-24,https://about.fb.com/news/2021/03/taking-action-against-hackers-in-china/,md5,9bc5fec740bdb4d93f2da9b2db75dc3f,China,,,,none,,Action Spy,2026-09-11
2021 03 taking action against hackers in china,threat_actor,meta,2021 03 taking action against hackers in china,2021-03-24,https://about.fb.com/news/2021/03/taking-action-against-hackers-in-china/,domain,misran.org,China,,,,none,,Hosting PluginPhantom malware,2026-09-11
2021 03 taking action against hackers in china,threat_actor,meta,2021 03 taking action against hackers in china,2021-03-24,https://about.fb.com/news/2021/03/taking-action-against-hackers-in-china/,domain,apkprue.info,China,,,,none,,Hosting PluginPhantom malware,2026-09-11
2021 03 taking action against hackers in china,threat_actor,meta,2021 03 taking action against hackers in china,2021-03-24,https://about.fb.com/news/2021/03/taking-action-against-hackers-in-china/,domain,www.apkpure.bz,China,,,,none,,Hosting PluginPhantom malware,2026-09-11
2021 03 taking action against hackers in china,threat_actor,meta,2021 03 taking action against hackers in china,2021-03-24,https://about.fb.com/news/2021/03/taking-action-against-hackers-in-china/,domain,gotossl.ml,China,,,,none,,Hosting ActionSpy malware,2026-09-11
