actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
2022 08 metas adversarial threat report q2,threat_actor,meta,2022 08 metas adversarial threat report q2,2022-08-04,https://about.fb.com/news/2022/08/metas-adversarial-threat-report-q2-2022/,domain,signalpro.org,,,,,none,,BITTER APT: Hosting Dracarys Malware,2026-09-11
2022 08 metas adversarial threat report q2,threat_actor,meta,2022 08 metas adversarial threat report q2,2022-08-04,https://about.fb.com/news/2022/08/metas-adversarial-threat-report-q2-2022/,domain,signal-premium.org,,,,,none,,BITTER APT: Hosting Dracarys Malware,2026-09-11
2022 08 metas adversarial threat report q2,threat_actor,meta,2022 08 metas adversarial threat report q2,2022-08-04,https://about.fb.com/news/2022/08/metas-adversarial-threat-report-q2-2022/,domain,signalpremium.com,,,,,none,,BITTER APT: Hosting Dracarys Malware,2026-09-11
2022 08 metas adversarial threat report q2,threat_actor,meta,2022 08 metas adversarial threat report q2,2022-08-04,https://about.fb.com/news/2022/08/metas-adversarial-threat-report-q2-2022/,domain,telegram-pro.org,,,,,none,,BITTER APT: Hosting Dracarys Malware,2026-09-11
2022 08 metas adversarial threat report q2,threat_actor,meta,2022 08 metas adversarial threat report q2,2022-08-04,https://about.fb.com/news/2022/08/metas-adversarial-threat-report-q2-2022/,domain,signal-premium-app.org,,,,,none,,BITTER APT: Dracarys Malware C2,2026-09-11
2022 08 metas adversarial threat report q2,threat_actor,meta,2022 08 metas adversarial threat report q2,2022-08-04,https://about.fb.com/news/2022/08/metas-adversarial-threat-report-q2-2022/,domain,youtubepremiumapp.com,,,,,none,,BITTER APT: Dracarys Malware C2,2026-09-11
2022 08 metas adversarial threat report q2,threat_actor,meta,2022 08 metas adversarial threat report q2,2022-08-04,https://about.fb.com/news/2022/08/metas-adversarial-threat-report-q2-2022/,domain,pflix.camdvr.org,,,,,none,,BITTER APT: Dracarys Malware C2,2026-09-11
2022 08 metas adversarial threat report q2,threat_actor,meta,2022 08 metas adversarial threat report q2,2022-08-04,https://about.fb.com/news/2022/08/metas-adversarial-threat-report-q2-2022/,ipv4,94.140.114.22,,,,,none,,BITTER APT: Dracarys Malware C2,2026-09-11
2022 08 metas adversarial threat report q2,threat_actor,meta,2022 08 metas adversarial threat report q2,2022-08-04,https://about.fb.com/news/2022/08/metas-adversarial-threat-report-q2-2022/,domain,weather.play-protect.com,,,,,none,,BITTER APT: Assessed to be attacker controlled infrastructure,2026-09-11
2022 08 metas adversarial threat report q2,threat_actor,meta,2022 08 metas adversarial threat report q2,2022-08-04,https://about.fb.com/news/2022/08/metas-adversarial-threat-report-q2-2022/,domain,gallery.play-protect.com,,,,,none,,BITTER APT: Assessed to be attacker controlled infrastructure,2026-09-11
2022 08 metas adversarial threat report q2,threat_actor,meta,2022 08 metas adversarial threat report q2,2022-08-04,https://about.fb.com/news/2022/08/metas-adversarial-threat-report-q2-2022/,domain,sikhsiyasatapp.net,,,,,none,,BITTER APT: Assessed to be attacker controlled infrastructure,2026-09-11
2022 08 metas adversarial threat report q2,threat_actor,meta,2022 08 metas adversarial threat report q2,2022-08-04,https://about.fb.com/news/2022/08/metas-adversarial-threat-report-q2-2022/,domain,telegramapppro.org,,,,,none,,BITTER APT: Assessed to be attacker controlled infrastructure,2026-09-11
2022 08 metas adversarial threat report q2,threat_actor,meta,2022 08 metas adversarial threat report q2,2022-08-04,https://about.fb.com/news/2022/08/metas-adversarial-threat-report-q2-2022/,domain,play-protect.com,,,,,none,,BITTER APT: Assessed to be attacker controlled infrastructure,2026-09-11
