actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
Bahamut APT,threat_actor,meta,Q1_2023_ Bahamut_APT,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Bahamut_APT.csv,domain,usmimedia[.]com,Bahamut,,,"0 Acquiring Assets > 0.6 Acquiring domains > 0.6.1 Acquiring domains to host, deploy, and support malware campaigns",meta_kill_chain,,,2026-09-11
Bahamut APT,threat_actor,meta,Q1_2023_ Bahamut_APT,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Bahamut_APT.csv,domain,khalsaforum[.]com,Bahamut,,,"0 Acquiring Assets > 0.6 Acquiring domains > 0.6.1 Acquiring domains to host, deploy, and
support malware campaigns",meta_kill_chain,,,2026-09-11
Bahamut APT,threat_actor,meta,Q1_2023_ Bahamut_APT,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Bahamut_APT.csv,domain,play-store-secure-safechat[.]usmimedia[.]com,Bahamut,,,"0 Acquiring Assets > 0.6 Acquiring domains > 0.6.1 Acquiring domains to host, deploy, and
support malware campaigns",meta_kill_chain,,,2026-09-11
Bahamut APT,threat_actor,meta,Q1_2023_ Bahamut_APT,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Bahamut_APT.csv,domain,mamoonchat[.]com,Bahamut,,,"0 Acquiring Assets > 0.6 Acquiring domains > 0.6.1 Acquiring domains to host, deploy, and
support malware campaigns",meta_kill_chain,,,2026-09-11
Bahamut APT,threat_actor,meta,Q1_2023_ Bahamut_APT,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Bahamut_APT.csv,domain,punjab-news18media-tribuneindia-mail[.]usmimedia[.]com,Bahamut,,,"0 Acquiring Assets > 0.6 Acquiring domains > 0.6.1 Acquiring domains to host, deploy, and
support malware campaigns",meta_kill_chain,,,2026-09-11
Bahamut APT,threat_actor,meta,Q1_2023_ Bahamut_APT,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Bahamut_APT.csv,url,https://play.google[.]com/store/apps/details?id=com.securesafe,Bahamut,,,0 Acquiring Assets > 0.8 Acquiring apps > 0.8.1 Creating apps,meta_kill_chain,,,2026-09-11
Bahamut APT,threat_actor,meta,Q1_2023_ Bahamut_APT,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Bahamut_APT.csv,behavior,35552112fcf0190c882e35de55f4b9c11e30e8144c39571c620da75fe5c70135,Bahamut,,,0 Acquiring Assets > 0.8 Acquiring apps > 0.8.1 Creating apps,meta_kill_chain,,InPage Android APK (part of Bahamut's malware family) hash,2026-09-11
Bahamut APT,threat_actor,meta,Q1_2023_ Bahamut_APT,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Bahamut_APT.csv,behavior,672d56b13708752b9d5287a8ac5e063174aa0af0c616a3ce8dd0dfbaff13386a,Bahamut,,,0 Acquiring Assets > 0.8 Acquiring apps > 0.8.1 Creating apps,meta_kill_chain,,PikaShow app (part of Bahamut's malware family) hash,2026-09-11
Bahamut APT,threat_actor,meta,Q1_2023_ Bahamut_APT,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Bahamut_APT.csv,behavior,1c914443afca5dbcf65ddb1b87ae4b9e9b7360f3f1ed1bfbce25fa027f1eb889,Bahamut,,,0 Acquiring Assets > 0.8 Acquiring apps > 0.8.1 Creating apps,meta_kill_chain,,MamoonChat app (part of Bahamut's malware family) hash,2026-09-11
Bahamut APT,threat_actor,meta,Q1_2023_ Bahamut_APT,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Bahamut_APT.csv,behavior,18982da2c181f9d4551b019e260284e0b20281f2cb2af538bf3c1a38c1369199,Bahamut,,,0 Acquiring Assets > 0.8 Acquiring apps > 0.8.1 Creating apps,meta_kill_chain,,Khalsa app (part of Bahamut's malware family) hash,2026-09-11
