actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
China-based CIB network 1,influence_operation,meta,Q1_2023 China-based_CIB network_1,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023%20China-based_CIB%20network_1.csv,asset_count,63 accounts,China,,,0 Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
China-based CIB network 1,influence_operation,meta,Q1_2023 China-based_CIB network_1,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023%20China-based_CIB%20network_1.csv,asset_count,44 Pages,China,,,0 Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
China-based CIB network 1,influence_operation,meta,Q1_2023 China-based_CIB network_1,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023%20China-based_CIB%20network_1.csv,asset_count,28 Groups,China,,,0 Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
China-based CIB network 1,influence_operation,meta,Q1_2023 China-based_CIB network_1,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023%20China-based_CIB%20network_1.csv,url,https://twitter[.]com/SaraSil39636921,China,,,0 Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
China-based CIB network 1,influence_operation,meta,Q1_2023 China-based_CIB network_1,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023%20China-based_CIB%20network_1.csv,url,https://www.youtube[.]com/@user-xf2zm5jj9h,China,,,0 Acquiring assets > 0.9 Acquiring social media accounts > 0.9.5 Acquiring YouTube channels,meta_kill_chain,,,2026-09-11
China-based CIB network 1,influence_operation,meta,Q1_2023 China-based_CIB network_1,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023%20China-based_CIB%20network_1.csv,url,https://www.youtube[.]com/@knowindia303,China,,,0 Acquiring assets > 0.9 Acquiring social media accounts > 0.9.5 Acquiring YouTube channels,meta_kill_chain,,,2026-09-11
China-based CIB network 1,influence_operation,meta,Q1_2023 China-based_CIB network_1,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023%20China-based_CIB%20network_1.csv,url,https://www.youtube[.]com/@northeastunion7212,China,,,0 Acquiring assets > 0.9 Acquiring social media accounts > 0.9.5 Acquiring YouTube channels,meta_kill_chain,,,2026-09-11
China-based CIB network 1,influence_operation,meta,Q1_2023 China-based_CIB network_1,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023%20China-based_CIB%20network_1.csv,behavior,Using profile pictures likely generated using machine learning techniques like GAN,China,,,1 Disguising assets > 1.1 Adopting visual disguise > 1.1.2 Using profile pictures like created using generative adversarial networks (GAN),meta_kill_chain,,,2026-09-11
China-based CIB network 1,influence_operation,meta,Q1_2023 China-based_CIB network_1,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023%20China-based_CIB%20network_1.csv,behavior,"The network ran a number of cross-platform ""news outlets"", including one called Northeast Union (see YouTube link above)",China,,,1 Disguising assets > 1.5 Impersonating real institution > 1.5.1 Impersonating news website,meta_kill_chain,,,2026-09-11
China-based CIB network 1,influence_operation,meta,Q1_2023 China-based_CIB network_1,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023%20China-based_CIB%20network_1.csv,behavior,"Working a 9-5, Monday-to-Friday shift pattern appropriate for the GMT +8 time zone, with much lower activity at lunchtime and the weekends",China,,,3. Coordinating and planning > 3.1 Coordinating shift patterns > 3.1.1 Working to a regular shift pattern,meta_kill_chain,,,2026-09-11
China-based CIB network 1,influence_operation,meta,Q1_2023 China-based_CIB network_1,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023%20China-based_CIB%20network_1.csv,behavior,"Between its own posts, the network posted content copied from authentic news outlets focused on the regions it targeted",China,,,5. Evading detection > 5.4 Copying authentic content > 5.4.1 Copying authentic news articles,meta_kill_chain,,,2026-09-11
China-based CIB network 1,influence_operation,meta,Q1_2023 China-based_CIB network_1,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023%20China-based_CIB%20network_1.csv,behavior,Sharing on Facebook,China,,,6. Indiscriminate engagement > 6.2 Amplifying with likely fake accounts on social media > 6.2.1 Amplifying with likely fake accounts on Facebook,meta_kill_chain,,,2026-09-11
China-based CIB network 1,influence_operation,meta,Q1_2023 China-based_CIB network_1,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023%20China-based_CIB%20network_1.csv,behavior,Sharing on Twitter,China,,,6. Indiscriminate engagement > 6.2 Amplifying with likely fake accounts on social media > 6.2.4 Amplifying with likely fake accounts on X/Twitter,meta_kill_chain,,,2026-09-11
China-based CIB network 1,influence_operation,meta,Q1_2023 China-based_CIB network_1,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023%20China-based_CIB%20network_1.csv,behavior,"About $73,600 in spending for ads on Facebook and Instagram, paid for mostly in US Dollars.",China,,,7. Targeted engagement > 7.1 Running ads > 7.1.1 Advertising to promote content,meta_kill_chain,,,2026-09-11
China-based CIB network 1,influence_operation,meta,Q1_2023 China-based_CIB network_1,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023%20China-based_CIB%20network_1.csv,behavior,Posting in Groups focused on topics of interest to the network,China,,,7. Targeted engagement > 7.3 Engaging with specific audience > 7.3.2 Posting into specifically themed Groups,meta_kill_chain,,,2026-09-11
