actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
Georgia-based CIB network,influence_operation,meta,Q1_2023_ Georgia-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Georgia-based_CIB_network.csv,asset_count,82 accounts,Georgia,,,0. Acquiring Assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Georgia-based CIB network,influence_operation,meta,Q1_2023_ Georgia-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Georgia-based_CIB_network.csv,asset_count,27 Pages,Georgia,,,0. Acquiring Assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Georgia-based CIB network,influence_operation,meta,Q1_2023_ Georgia-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Georgia-based_CIB_network.csv,asset_count,9 Groups,Georgia,,,0. Acquiring Assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Georgia-based CIB network,influence_operation,meta,Q1_2023_ Georgia-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Georgia-based_CIB_network.csv,asset_count,2 accounts,Georgia,,,0. Acquiring Assets > 0.9 Acquiring social media accounts > 0.9.2 Acquiring Instagram accounts,meta_kill_chain,,,2026-09-11
Georgia-based CIB network,influence_operation,meta,Q1_2023_ Georgia-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Georgia-based_CIB_network.csv,url,http://tiktok[.]com/@juurnalistebi,Georgia,,,0. Acquiring Assets > 0.9 Acquiring social media accounts > 0.9.6 Acquiring TikTok accounts,meta_kill_chain,,,2026-09-11
Georgia-based CIB network,influence_operation,meta,Q1_2023_ Georgia-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Georgia-based_CIB_network.csv,url,http://tiktok[.]com/@igaribashvili,Georgia,,,0. Acquiring Assets > 0.9 Acquiring social media accounts > 0.9.6 Acquiring TikTok accounts,meta_kill_chain,,,2026-09-11
Georgia-based CIB network,influence_operation,meta,Q1_2023_ Georgia-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Georgia-based_CIB_network.csv,url,https://www.tiktok[.]com/@irakli4georgia,Georgia,,,0. Acquiring Assets > 0.9 Acquiring social media accounts > 0.9.6 Acquiring TikTok accounts,meta_kill_chain,,,2026-09-11
Georgia-based CIB network,influence_operation,meta,Q1_2023_ Georgia-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Georgia-based_CIB_network.csv,behavior,The network's fake personas posed as pro-government activists and organizations,Georgia,,,1. Disguising assets > 1.2 Posing as non-existent person > 1.2.3 Posing as fictional activist,meta_kill_chain,,,2026-09-11
Georgia-based CIB network,influence_operation,meta,Q1_2023_ Georgia-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Georgia-based_CIB_network.csv,behavior,The network created elaborate fictitious personas posing as pro-government citizens of Georgia,Georgia,,,1. Disguising assets > 1.2 Posing as non-existent person > 1.2.8 Posing as fictional person in target region,meta_kill_chain,,,2026-09-11
Georgia-based CIB network,influence_operation,meta,Q1_2023_ Georgia-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Georgia-based_CIB_network.csv,behavior,"The network reacted to events in Georgia in real time, indicating an ability to track and respond to breaking news. The method used to do this is not known.",Georgia,,,2. Gathering information > 2.2 Monitoring specific events > 2.2.1 Monitoring breaking news,meta_kill_chain,,,2026-09-11
Georgia-based CIB network,influence_operation,meta,Q1_2023_ Georgia-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Georgia-based_CIB_network.csv,behavior,"The network operated around the clock, including posting in the middle of the night (Georgia time). The method used to coordinate this is not known.",Georgia,,,3. Coordinating and planning > 3.1 Coordinating shift patterns > 3.1.1 Working to a regular shift pattern,meta_kill_chain,,,2026-09-11
Georgia-based CIB network,influence_operation,meta,Q1_2023_ Georgia-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Georgia-based_CIB_network.csv,behavior,Sharing on Facebook,Georgia,,,6. Indiscriminate engagement > 6.2 Amplifying with likely fake accounts on social media > 6.2.1 Amplifying with likely fake accounts on Facebook,meta_kill_chain,,,2026-09-11
Georgia-based CIB network,influence_operation,meta,Q1_2023_ Georgia-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Georgia-based_CIB_network.csv,behavior,"About $33,540 in spending for ads on Facebook and Instagram, paid for mostly in US dollars.",Georgia,,,7. Targeted engagement > 7.1 Running ads > 7.1.1 Advertising to promote content,meta_kill_chain,,,2026-09-11
Georgia-based CIB network,influence_operation,meta,Q1_2023_ Georgia-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Georgia-based_CIB_network.csv,behavior,Posting into Groups focused on local events in Georgia,Georgia,,,7. Targeted engagement > 7.3 Engaging with specific audience > 7.3.2 Posting into specifically themed Groups,meta_kill_chain,,,2026-09-11
Georgia-based CIB network,influence_operation,meta,Q1_2023_ Georgia-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Georgia-based_CIB_network.csv,behavior,The network often posted long-form comments below other people's posts,Georgia,,,7. Targeted engagement > 7.3 Engaging with specific audience > 7.3.3 Commenting on specific posts,meta_kill_chain,,,2026-09-11
Georgia-based CIB network,influence_operation,meta,Q1_2023_ Georgia-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Georgia-based_CIB_network.csv,behavior,The network posted hostile commentary about Georgian opposition activists and protesters,Georgia,,,7. Targeted engagement > 7.6 Posting about individuals > 7.6.1 Posting negative content about named individuals,meta_kill_chain,,,2026-09-11
