actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
Togo   Burkina Faso-based CIB network,influence_operation,meta,Q1_2023_ Togo _ Burkina Faso-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Togo%20_%20Burkina%20Faso-based_CIB_network.csv,domain,gpci[.]info,Togo,,,1 Acquiring assets > 0.4 Acquiring business assets > 0.4.1 Registering company,meta_kill_chain,,,2026-09-11
Togo   Burkina Faso-based CIB network,influence_operation,meta,Q1_2023_ Togo _ Burkina Faso-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Togo%20_%20Burkina%20Faso-based_CIB_network.csv,domain,etoileducontinent[.]info,Togo,,,1 Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Togo   Burkina Faso-based CIB network,influence_operation,meta,Q1_2023_ Togo _ Burkina Faso-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Togo%20_%20Burkina%20Faso-based_CIB_network.csv,domain,afriqueactualite[.]info,Togo,,,1 Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Togo   Burkina Faso-based CIB network,influence_operation,meta,Q1_2023_ Togo _ Burkina Faso-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Togo%20_%20Burkina%20Faso-based_CIB_network.csv,domain,LePotentieldafrique[.]net,Togo,,,1 Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Togo   Burkina Faso-based CIB network,influence_operation,meta,Q1_2023_ Togo _ Burkina Faso-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Togo%20_%20Burkina%20Faso-based_CIB_network.csv,domain,lavoixdafrique[.]info,Togo,,,1 Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Togo   Burkina Faso-based CIB network,influence_operation,meta,Q1_2023_ Togo _ Burkina Faso-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Togo%20_%20Burkina%20Faso-based_CIB_network.csv,domain,leuropeafrique[.]info,Togo,,,1 Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Togo   Burkina Faso-based CIB network,influence_operation,meta,Q1_2023_ Togo _ Burkina Faso-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Togo%20_%20Burkina%20Faso-based_CIB_network.csv,domain,lepanafricanisme[.]info,Togo,,,1 Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Togo   Burkina Faso-based CIB network,influence_operation,meta,Q1_2023_ Togo _ Burkina Faso-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Togo%20_%20Burkina%20Faso-based_CIB_network.csv,domain,lemessagerafricain[.]info,Togo,,,1 Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Togo   Burkina Faso-based CIB network,influence_operation,meta,Q1_2023_ Togo _ Burkina Faso-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Togo%20_%20Burkina%20Faso-based_CIB_network.csv,domain,lereveilafricain[.]info,Togo,,,1 Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Togo   Burkina Faso-based CIB network,influence_operation,meta,Q1_2023_ Togo _ Burkina Faso-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Togo%20_%20Burkina%20Faso-based_CIB_network.csv,domain,lemondeactualite[.]info,Togo,,,1 Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
