actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
Iran-based IB cluster,threat_actor,meta,Q3_2023_Iran-based IB_cluster,2023-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2023/Q3_2023_Iran-based%20IB_cluster.csv,url,https://twitter.com/SGTnewsNetwork,Iran,,,0. Acquiring Assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter account,meta_kill_chain,,,2026-09-11
Iran-based IB cluster,threat_actor,meta,Q3_2023_Iran-based IB_cluster,2023-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2023/Q3_2023_Iran-based%20IB_cluster.csv,url,https://www.youtube.com/c/SGTNewsNetwrok,Iran,,,0. Acquiring Assets > 0.9 Acquiring social media accounts > 0.9.5 Acquiring YouTube channel,meta_kill_chain,,,2026-09-11
Iran-based IB cluster,threat_actor,meta,Q3_2023_Iran-based IB_cluster,2023-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2023/Q3_2023_Iran-based%20IB_cluster.csv,url,https://t.me/s/SGTnewsNetwork,Iran,,,0. Acquiring Assets > 0.9 Acquiring social media accounts > 0.9.7 Acquiring Telegram channel,meta_kill_chain,,,2026-09-11
Iran-based IB cluster,threat_actor,meta,Q3_2023_Iran-based IB_cluster,2023-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2023/Q3_2023_Iran-based%20IB_cluster.csv,url,https://truthsocial.com/@SGTnewsNetwork,Iran,,,0. Acquiring Assets > 0.9 Acquiring social media accounts > 0.9.8 Acquiring accounts on online forums,meta_kill_chain,,,2026-09-11
Iran-based IB cluster,threat_actor,meta,Q3_2023_Iran-based IB_cluster,2023-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2023/Q3_2023_Iran-based%20IB_cluster.csv,url,https://gettr.com/user/sgtnewsnetwork,Iran,,,0. Acquiring Assets > 0.9 Acquiring social media accounts > 0.9.8 Acquiring accounts on online forums,meta_kill_chain,,,2026-09-11
Iran-based IB cluster,threat_actor,meta,Q3_2023_Iran-based IB_cluster,2023-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2023/Q3_2023_Iran-based%20IB_cluster.csv,url,https://gab.com/SGTnewsNetwork,Iran,,,0. Acquiring Assets > 0.9 Acquiring social media accounts > 0.9.8 Acquiring accounts on online forums,meta_kill_chain,,,2026-09-11
Iran-based IB cluster,threat_actor,meta,Q3_2023_Iran-based IB_cluster,2023-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2023/Q3_2023_Iran-based%20IB_cluster.csv,url,https://linktr.ee/SGTnews,Iran,,,0. Acquiring Assets > 0.9 Acquiring social media accounts > 0.9.8 Acquiring accounts on online forums,meta_kill_chain,,,2026-09-11
Iran-based IB cluster,threat_actor,meta,Q3_2023_Iran-based IB_cluster,2023-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2023/Q3_2023_Iran-based%20IB_cluster.csv,url,https://www.linkedin.com/in/sgtnewsnetwork,Iran,,,0. Acquiring Assets > 0.9 Acquiring social media accounts > 0.9.8 Acquiring accounts on online forums,meta_kill_chain,,,2026-09-11
Iran-based IB cluster,threat_actor,meta,Q3_2023_Iran-based IB_cluster,2023-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2023/Q3_2023_Iran-based%20IB_cluster.csv,behavior,The cluster posed as an American veteran,Iran,,,1. Disguising assets > 1.2 Posing as non-existent person > 1.2.5 Posing as fictional military personnel,meta_kill_chain,,,2026-09-11
Iran-based IB cluster,threat_actor,meta,Q3_2023_Iran-based IB_cluster,2023-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2023/Q3_2023_Iran-based%20IB_cluster.csv,behavior,The cluster adopted the same persona across multiple platforms,Iran,,,1. Disguising assets > 1.8 Backstopping > 1.8.2 Backstopping fictitious brand or organization across multiple websites,meta_kill_chain,,,2026-09-11
Iran-based IB cluster,threat_actor,meta,Q3_2023_Iran-based IB_cluster,2023-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2023/Q3_2023_Iran-based%20IB_cluster.csv,behavior,"Many of the operation’s posts were copied, without attribution, from real people or institutions on social media.",Iran,,,5. Evading detection > 5.4 Copying authentic content > 5.4.2 Copying authentic social media posts,meta_kill_chain,,,2026-09-11
