actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
China based CIB network,influence_operation,meta,Q4_2023_China_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_China_based_CIB_network.csv,url,https://diy.rootsaction.org/petitions/tell-kevin-mccarthy-that-selling-weapons-to-taiwan-is-selling-war-to-us?just_launched=true,China,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.8 Acquiring accounts on online forums,meta_kill_chain,,,2026-09-11
China based CIB network,influence_operation,meta,Q4_2023_China_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_China_based_CIB_network.csv,url,https://medium.com/@katelynwilsonkwk,China,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.8 Acquiring accounts on online forums,meta_kill_chain,,,2026-09-11
China based CIB network,influence_operation,meta,Q4_2023_China_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_China_based_CIB_network.csv,url,https://medium.com/@kristenprce,China,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.8 Acquiring accounts on online forums,meta_kill_chain,,,2026-09-11
China based CIB network,influence_operation,meta,Q4_2023_China_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_China_based_CIB_network.csv,url,https://www.youtube.com/@KristenPreece/,China,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.5 Acquiring YouTube channels,meta_kill_chain,,,2026-09-11
China based CIB network,influence_operation,meta,Q4_2023_China_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_China_based_CIB_network.csv,asset_count,33 accounts,China,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
China based CIB network,influence_operation,meta,Q4_2023_China_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_China_based_CIB_network.csv,asset_count,6 Pages,China,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
China based CIB network,influence_operation,meta,Q4_2023_China_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_China_based_CIB_network.csv,asset_count,6 Groups,China,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
China based CIB network,influence_operation,meta,Q4_2023_China_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_China_based_CIB_network.csv,asset_count,4 accounts,China,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.2 Acquiring Instagram accounts,meta_kill_chain,,,2026-09-11
China based CIB network,influence_operation,meta,Q4_2023_China_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_China_based_CIB_network.csv,behavior,Posing as anti-war activists,China,,,1. Disguising assets > 1.2 Posing as non-existent person > 1.2.3 Posing as fictional activist,meta_kill_chain,,,2026-09-11
China based CIB network,influence_operation,meta,Q4_2023_China_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_China_based_CIB_network.csv,behavior,Posing as military family members,China,,,1. Disguising assets > 1.2 Posing as non-existent person > 1.2.3 Posing as fictional activist,meta_kill_chain,,,2026-09-11
China based CIB network,influence_operation,meta,Q4_2023_China_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_China_based_CIB_network.csv,behavior,5.4.1 Copying authentic news articles,China,,,5. Evading detection > 5.4 Copying authentic content > 5.4.1 Copying authentic news articles,meta_kill_chain,,,2026-09-11
China based CIB network,influence_operation,meta,Q4_2023_China_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_China_based_CIB_network.csv,behavior,About 700 accounts followed one or more of these Pages,China,,,7. Targeted engagement > 7.2 Engaging with users outside the operation > 7.2.2 Acquiring Page followers,meta_kill_chain,,,2026-09-11
China based CIB network,influence_operation,meta,Q4_2023_China_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_China_based_CIB_network.csv,behavior,"About 2,300 accounts followed one or more of these Groups",China,,,7. Targeted engagement > 7.2 Engaging with users outside the operation > 7.2.3 Acquiring Group members,meta_kill_chain,,,2026-09-11
China based CIB network,influence_operation,meta,Q4_2023_China_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_China_based_CIB_network.csv,behavior,No accounts followed these Instagram accounts.,China,,,7. Targeted engagement > 7.2 Engaging with users outside the operation > 7.2.4 Acquiring Instagram followers,meta_kill_chain,,,2026-09-11
China based CIB network,influence_operation,meta,Q4_2023_China_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_China_based_CIB_network.csv,behavior,"Some of these Pages and Groups were focused on military themes, particularly US aircraft carriers",China,,,7. Targeted engagement > 7.3 Engaging with specific audience > 7.3.2 Posting into specifically themed Groups,meta_kill_chain,,,2026-09-11
