actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
Ukraine based CIB network,influence_operation,meta,Q4_2023_Ukraine_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Ukraine_based_CIB_network.csv,asset_count,"1,020 accounts",Ukraine,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Ukraine based CIB network,influence_operation,meta,Q4_2023_Ukraine_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Ukraine_based_CIB_network.csv,asset_count,5 Pages,Ukraine,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Ukraine based CIB network,influence_operation,meta,Q4_2023_Ukraine_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Ukraine_based_CIB_network.csv,asset_count,2 Groups,Ukraine,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Ukraine based CIB network,influence_operation,meta,Q4_2023_Ukraine_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Ukraine_based_CIB_network.csv,asset_count,711 accounts,Ukraine,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.2 Acquiring Instagram accounts,meta_kill_chain,,,2026-09-11
Ukraine based CIB network,influence_operation,meta,Q4_2023_Ukraine_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Ukraine_based_CIB_network.csv,behavior,"Some of these accounts used profile photos of real people stolen from elsewhere on the internet, and regularly updated them with new photos to appear authentic",Ukraine,,,1. Disguising assets > 1.1 Adopting visual disguise > 1.1.1 Copying profile pictures,meta_kill_chain,,,2026-09-11
Ukraine based CIB network,influence_operation,meta,Q4_2023_Ukraine_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Ukraine_based_CIB_network.csv,behavior,"In Kazakhstan, they criticized Mukhtar Qabyluly Ablyazov, a Kazakh businessman.",Ukraine,,,7. Targeted engagement > 7.6 Posting about individuals or institutions > 7.6.1 Posting negative content about named individuals or institutions,meta_kill_chain,,,2026-09-11
Ukraine based CIB network,influence_operation,meta,Q4_2023_Ukraine_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Ukraine_based_CIB_network.csv,behavior,"In Kazakhstan, they shared supportive commentary about President Tokayev",Ukraine,,,7. Targeted engagement > 7.6 Posting about individuals or institutions > 7.6.2 Posting positive content about named individuals institutions,meta_kill_chain,,,2026-09-11
Ukraine based CIB network,influence_operation,meta,Q4_2023_Ukraine_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Ukraine_based_CIB_network.csv,behavior,"In Ukraine, they posted supportive commentary about Viktor Razvadovskyi, a politician in Ukrain",Ukraine,,,7. Targeted engagement > 7.6 Posting about individuals or institutions > 7.6.2 Posting positive content about named individuals institutions,meta_kill_chain,,,2026-09-11
Ukraine based CIB network,influence_operation,meta,Q4_2023_Ukraine_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Ukraine_based_CIB_network.csv,behavior,"In Kazakhstan, they commented in reply to posts by news media like Radio Azattyq (the Kazakh service of Radio Liberty)",Ukraine,,,7. Targeted engagement > 7.3 Engaging with specific audience > 7.3.3 Commenting on specific posts,meta_kill_chain,,,2026-09-11
Ukraine based CIB network,influence_operation,meta,Q4_2023_Ukraine_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Ukraine_based_CIB_network.csv,behavior,"About $30,000 in spending for ads on Facebook, paid for mostly in US dollars",Ukraine,,,7. Targeted engagement > 7.1 Running ads > 7.1.1 Advertising to promote content,meta_kill_chain,,,2026-09-11
Ukraine based CIB network,influence_operation,meta,Q4_2023_Ukraine_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Ukraine_based_CIB_network.csv,behavior,"About 51,000 accounts followed one or more of these Pages",Ukraine,,,7. Targeted engagement > 7.2 Engaging with users outside the operation > 7.2.2 Acquiring Page followers,meta_kill_chain,,,2026-09-11
Ukraine based CIB network,influence_operation,meta,Q4_2023_Ukraine_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Ukraine_based_CIB_network.csv,behavior,"About 1,300 accounts joined one or more of these Groups",Ukraine,,,7. Targeted engagement > 7.2 Engaging with users outside the operation > 7.2.3 Acquiring Group members,meta_kill_chain,,,2026-09-11
Ukraine based CIB network,influence_operation,meta,Q4_2023_Ukraine_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Ukraine_based_CIB_network.csv,behavior,"About 5,300 accounts followed one or more of these Instagram accounts",Ukraine,,,7. Targeted engagement > 7.2 Engaging with users outside the operation > 7.2.4 Acquiring Instagram followers,meta_kill_chain,,,2026-09-11
