actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
Croatia Based CIB Network,influence_operation,meta,Q1_2024_Croatia_Based_CIB_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Croatia_Based_CIB_Network.csv,asset_count,104 accounts,,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Croatia Based CIB Network,influence_operation,meta,Q1_2024_Croatia_Based_CIB_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Croatia_Based_CIB_Network.csv,asset_count,39 Pages,,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Croatia Based CIB Network,influence_operation,meta,Q1_2024_Croatia_Based_CIB_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Croatia_Based_CIB_Network.csv,asset_count,7 accounts,,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.2 Acquiring Instagram accounts,meta_kill_chain,,,2026-09-11
Croatia Based CIB Network,influence_operation,meta,Q1_2024_Croatia_Based_CIB_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Croatia_Based_CIB_Network.csv,behavior,Copying profile photos from online sources,,,,1. Disguising assets > 1.1 Adopting visual disguise > 1.1.1 Copying profile pictures,meta_kill_chain,,,2026-09-11
Croatia Based CIB Network,influence_operation,meta,Q1_2024_Croatia_Based_CIB_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Croatia_Based_CIB_Network.csv,behavior,Using profile photos likely generated using artificial intelligence such as Generative Adversarial Networks (GAN),,,,1. Disguising assets > 1.1 Adopting visual disguise > 1.1.2 Using profile pictures like created using generative adversarial networks (GAN),meta_kill_chain,,,2026-09-11
Croatia Based CIB Network,influence_operation,meta,Q1_2024_Croatia_Based_CIB_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Croatia_Based_CIB_Network.csv,behavior,Posing as military personnel,,,,1. Disguising assets > 1.2 Posing as non-existent person > 1.2.5 Posing as fictional military personnel,meta_kill_chain,,,2026-09-11
Croatia Based CIB Network,influence_operation,meta,Q1_2024_Croatia_Based_CIB_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Croatia_Based_CIB_Network.csv,behavior,Posing as environmentalist,,,,1. Disguising assets > 1.2 Posing as non-existent person > 1.2.3 Posing as fictional activist,meta_kill_chain,,,2026-09-11
Croatia Based CIB Network,influence_operation,meta,Q1_2024_Croatia_Based_CIB_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Croatia_Based_CIB_Network.csv,behavior,Posing as dance teacher,,,,1. Disguising assets > 1.2 Posing as non-existent person,meta_kill_chain,,,2026-09-11
Croatia Based CIB Network,influence_operation,meta,Q1_2024_Croatia_Based_CIB_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Croatia_Based_CIB_Network.csv,behavior,"The network reacted to events in Croatia in real time, indicating an ability to track and respond to breaking news. The method used to do this is not known.",,,,2. Gathering information > 2.2 Monitoring specific events > 2.2.1 Monitoring breaking news,meta_kill_chain,,,2026-09-11
Croatia Based CIB Network,influence_operation,meta,Q1_2024_Croatia_Based_CIB_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Croatia_Based_CIB_Network.csv,behavior,"Many accounts in this network posted spammy photos or videos of scenery, food or fashion between their political posts, likely to camouflage their strategic goal",,,,5. Evading detection > 5.2 Camouflaging content > 5.2.4 Posting spam as camouflage,meta_kill_chain,,,2026-09-11
