actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
IRAN-BASED CIB NETWORK,influence_operation,meta,Q1_2024_IRAN-BASED CIB NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_IRAN-BASED%20CIB%20NETWORK.csv,url,http://jgtm[.]org/,Iran,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
IRAN-BASED CIB NETWORK,influence_operation,meta,Q1_2024_IRAN-BASED CIB NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_IRAN-BASED%20CIB%20NETWORK.csv,url,www.tikvaodesa[.]com,Iran,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
IRAN-BASED CIB NETWORK,influence_operation,meta,Q1_2024_IRAN-BASED CIB NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_IRAN-BASED%20CIB%20NETWORK.csv,asset_count,22 accounts,Iran,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
IRAN-BASED CIB NETWORK,influence_operation,meta,Q1_2024_IRAN-BASED CIB NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_IRAN-BASED%20CIB%20NETWORK.csv,asset_count,8 Pages,Iran,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
IRAN-BASED CIB NETWORK,influence_operation,meta,Q1_2024_IRAN-BASED CIB NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_IRAN-BASED%20CIB%20NETWORK.csv,asset_count,8 Groups,Iran,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
IRAN-BASED CIB NETWORK,influence_operation,meta,Q1_2024_IRAN-BASED CIB NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_IRAN-BASED%20CIB%20NETWORK.csv,asset_count,23 accounts,Iran,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.2 Acquiring Instagram accounts,meta_kill_chain,,,2026-09-11
IRAN-BASED CIB NETWORK,influence_operation,meta,Q1_2024_IRAN-BASED CIB NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_IRAN-BASED%20CIB%20NETWORK.csv,url,https://twitter[.]com/changebeliever,Iran,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
IRAN-BASED CIB NETWORK,influence_operation,meta,Q1_2024_IRAN-BASED CIB NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_IRAN-BASED%20CIB%20NETWORK.csv,url,https://twitter[.]com/SecularIsraelis,Iran,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
IRAN-BASED CIB NETWORK,influence_operation,meta,Q1_2024_IRAN-BASED CIB NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_IRAN-BASED%20CIB%20NETWORK.csv,url,https://twitter[.]com/JgtmOrg,Iran,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
IRAN-BASED CIB NETWORK,influence_operation,meta,Q1_2024_IRAN-BASED CIB NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_IRAN-BASED%20CIB%20NETWORK.csv,url,https://twitter[.]com/jgtm_offical,Iran,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
