actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
ISRAEL BASED CIB NETWORK,influence_operation,meta,Q1_2024_ISRAEL_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_ISRAEL_BASED_CIB_NETWORK.csv,asset_count,510 accounts,Israel,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
ISRAEL BASED CIB NETWORK,influence_operation,meta,Q1_2024_ISRAEL_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_ISRAEL_BASED_CIB_NETWORK.csv,asset_count,11 Pages,Israel,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
ISRAEL BASED CIB NETWORK,influence_operation,meta,Q1_2024_ISRAEL_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_ISRAEL_BASED_CIB_NETWORK.csv,asset_count,1 Groups,Israel,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
ISRAEL BASED CIB NETWORK,influence_operation,meta,Q1_2024_ISRAEL_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_ISRAEL_BASED_CIB_NETWORK.csv,asset_count,32 accounts,Israel,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.2 Acquiring Instagram accounts,meta_kill_chain,,,2026-09-11
ISRAEL BASED CIB NETWORK,influence_operation,meta,Q1_2024_ISRAEL_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_ISRAEL_BASED_CIB_NETWORK.csv,url,https://www[.]youtube[.]com/@UC4Canada,Israel,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.5 Acquiring YouTube channels,meta_kill_chain,,,2026-09-11
ISRAEL BASED CIB NETWORK,influence_operation,meta,Q1_2024_ISRAEL_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_ISRAEL_BASED_CIB_NETWORK.csv,domain,nonagenda[.]com,Israel,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
ISRAEL BASED CIB NETWORK,influence_operation,meta,Q1_2024_ISRAEL_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_ISRAEL_BASED_CIB_NETWORK.csv,domain,ufnews[.]io,Israel,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
ISRAEL BASED CIB NETWORK,influence_operation,meta,Q1_2024_ISRAEL_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_ISRAEL_BASED_CIB_NETWORK.csv,behavior,uc4canada[.]com/,Israel,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
ISRAEL BASED CIB NETWORK,influence_operation,meta,Q1_2024_ISRAEL_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_ISRAEL_BASED_CIB_NETWORK.csv,domain,the-good-samaritan[.]com,Israel,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
ISRAEL BASED CIB NETWORK,influence_operation,meta,Q1_2024_ISRAEL_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_ISRAEL_BASED_CIB_NETWORK.csv,behavior,"Posing as Jewish students, African Americans and 'concerned' citizens",Israel,,,1. Disguising assets > 1.2 Posing as non-existent person > 1.2.8 Posing as fictional person in target region,meta_kill_chain,,,2026-09-11
ISRAEL BASED CIB NETWORK,influence_operation,meta,Q1_2024_ISRAEL_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_ISRAEL_BASED_CIB_NETWORK.csv,domain,nonagenda[.]com,Israel,,,1. Disguising assets > 1.3 Posing as non-existent institution > 1.3.1 Creating fictitious news outlet,meta_kill_chain,,,2026-09-11
ISRAEL BASED CIB NETWORK,influence_operation,meta,Q1_2024_ISRAEL_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_ISRAEL_BASED_CIB_NETWORK.csv,domain,ufnews[.]io,Israel,,,1. Disguising assets > 1.3 Posing as non-existent institution > 1.3.1 Creating fictitious news outlet,meta_kill_chain,,,2026-09-11
ISRAEL BASED CIB NETWORK,influence_operation,meta,Q1_2024_ISRAEL_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_ISRAEL_BASED_CIB_NETWORK.csv,behavior,uc4canada[.]com/,Israel,,,1. Disguising assets > 1.3 Posing as non-existent institution > 1.3.1 Creating fictitious news outlet,meta_kill_chain,,,2026-09-11
ISRAEL BASED CIB NETWORK,influence_operation,meta,Q1_2024_ISRAEL_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_ISRAEL_BASED_CIB_NETWORK.csv,behavior,copying content from real African news entities,Israel,,,5. Evading detection > 5.4 Copying authentic content > 5.4.1 Copying authentic news articles,meta_kill_chain,,,2026-09-11
ISRAEL BASED CIB NETWORK,influence_operation,meta,Q1_2024_ISRAEL_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_ISRAEL_BASED_CIB_NETWORK.csv,behavior,leveraging North American proxy infrastructure to anonymize its activity,Israel,,,5. Evading detection > 5.5 Obfuscating infrastructure > 5.5.1 Using proxy IP in target country,meta_kill_chain,,,2026-09-11
ISRAEL BASED CIB NETWORK,influence_operation,meta,Q1_2024_ISRAEL_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_ISRAEL_BASED_CIB_NETWORK.csv,behavior,The campaign purchased inauthentic engagement (i.e. likes and followers) from Vietnam in an attempt to make its content appear more popular than it was.,Israel,,,6. Indiscriminate engagement > 6.2 Amplifying with likely fake accounts on social media > 6.2.1 Amplifying with likely fake accounts on Facebook,meta_kill_chain,,,2026-09-11
ISRAEL BASED CIB NETWORK,influence_operation,meta,Q1_2024_ISRAEL_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_ISRAEL_BASED_CIB_NETWORK.csv,behavior,About 500 accounts followed one or more of these Pages,Israel,,,7. Targeted engagement > 7.2 Engaging with users outside the operation > 7.2.2 Acquiring Page followers,meta_kill_chain,,,2026-09-11
ISRAEL BASED CIB NETWORK,influence_operation,meta,Q1_2024_ISRAEL_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_ISRAEL_BASED_CIB_NETWORK.csv,behavior,less than 100 accounts joined this Group,Israel,,,7. Targeted engagement > 7.2 Engaging with users outside the operation > 7.2.3 Acquiring Group members,meta_kill_chain,,,2026-09-11
ISRAEL BASED CIB NETWORK,influence_operation,meta,Q1_2024_ISRAEL_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_ISRAEL_BASED_CIB_NETWORK.csv,behavior,"about 2,000 accounts followed one or more of these Instagram accounts.",Israel,,,7. Targeted engagement > 7.2 Engaging with users outside the operation > 7.2.4 Acquiring Instagram followers,meta_kill_chain,,,2026-09-11
ISRAEL BASED CIB NETWORK,influence_operation,meta,Q1_2024_ISRAEL_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_ISRAEL_BASED_CIB_NETWORK.csv,behavior,"The network mass-commented on Facebook Pages of media organizations – both international and local, and political and public figures, including US lawmakers",Israel,,,7. Targeted engagement > 7.3 Engaging with specific audience > 7.3.3 Commenting on specific posts,meta_kill_chain,,,2026-09-11
ISRAEL BASED CIB NETWORK,influence_operation,meta,Q1_2024_ISRAEL_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_ISRAEL_BASED_CIB_NETWORK.csv,behavior,The network comments linked to the operation’s websites,Israel,,,7. Targeted engagement > 7.5 Directing online traffic > 7.5.2 Directing audience to website,meta_kill_chain,,,2026-09-11
ISRAEL BASED CIB NETWORK,influence_operation,meta,Q1_2024_ISRAEL_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_ISRAEL_BASED_CIB_NETWORK.csv,behavior,The network posted supportive commentary about Israel’s military actions,Israel,,,7. Targeted engagement > 7.6 Posting about individuals or institutions > 7.6.2 Posting positive content about named individuals institutions,meta_kill_chain,,,2026-09-11
ISRAEL BASED CIB NETWORK,influence_operation,meta,Q1_2024_ISRAEL_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_ISRAEL_BASED_CIB_NETWORK.csv,behavior,"One of the campaign websites described Jewish Voice for Peace, a Jewish anti-zionist activist organization in the US, as an “active hate group",Israel,,,7. Targeted engagement > 7.6 Posting about individuals or institutions > 7.6.1 Posting negative content about named individuals or institutions,meta_kill_chain,,,2026-09-11
ISRAEL BASED CIB NETWORK,influence_operation,meta,Q1_2024_ISRAEL_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_ISRAEL_BASED_CIB_NETWORK.csv,behavior,"The network posted criticisms of Muslims, and the United Nations Relief and Works Agency (UNRWA)",Israel,,,7. Targeted engagement > 7.6 Posting about individuals or institutions > 7.6.1 Posting negative content about named individuals or institutions,meta_kill_chain,,,2026-09-11
ISRAEL BASED CIB NETWORK,influence_operation,meta,Q1_2024_ISRAEL_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_ISRAEL_BASED_CIB_NETWORK.csv,behavior,Replacing disabled accounts with new account farms,Israel,,,9. Enabling longevity > 9.5 Replacing infrastructure > 9.5.1 Changing social media accounts,meta_kill_chain,,,2026-09-11
