actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
RUSSIA-BASED CIB NETWORK #3,influence_operation,meta,Q2_2024_RUSSIA-BASED CIB NETWORK #3,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_RUSSIA-BASED%20CIB%20NETWORK%20#3.csv,asset_count,43 accounts,Russia,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
RUSSIA-BASED CIB NETWORK #3,influence_operation,meta,Q2_2024_RUSSIA-BASED CIB NETWORK #3,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_RUSSIA-BASED%20CIB%20NETWORK%20#3.csv,asset_count,85 Pages,Russia,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
RUSSIA-BASED CIB NETWORK #3,influence_operation,meta,Q2_2024_RUSSIA-BASED CIB NETWORK #3,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_RUSSIA-BASED%20CIB%20NETWORK%20#3.csv,url,http://t[.]me/ukreurofront,Russia,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.7 Acquiring Telegram channels,meta_kill_chain,,,2026-09-11
RUSSIA-BASED CIB NETWORK #3,influence_operation,meta,Q2_2024_RUSSIA-BASED CIB NETWORK #3,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_RUSSIA-BASED%20CIB%20NETWORK%20#3.csv,url,https://t[.]me/stirid,Russia,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.7 Acquiring Telegram channels,meta_kill_chain,,,2026-09-11
RUSSIA-BASED CIB NETWORK #3,influence_operation,meta,Q2_2024_RUSSIA-BASED CIB NETWORK #3,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_RUSSIA-BASED%20CIB%20NETWORK%20#3.csv,url,https://t[.]me/s/poroshenkopa,Russia,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.7 Acquiring Telegram channels,meta_kill_chain,,,2026-09-11
RUSSIA-BASED CIB NETWORK #3,influence_operation,meta,Q2_2024_RUSSIA-BASED CIB NETWORK #3,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_RUSSIA-BASED%20CIB%20NETWORK%20#3.csv,behavior,Fake accounts had GAN profile photos to appear unique.,Russia,,,1. Disguising assets > 1.1 Adopting visual disguise > 1.1.2 Using profile pictures like created using generative adversarial networks (GAN),meta_kill_chain,,,2026-09-11
RUSSIA-BASED CIB NETWORK #3,influence_operation,meta,Q2_2024_RUSSIA-BASED CIB NETWORK #3,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_RUSSIA-BASED%20CIB%20NETWORK%20#3.csv,behavior,This operation used accounts that posed as locals in the areas targeted by the operation,Russia,,,1. Disguising assets > 1.2 Posing as non-existent person > 1.2.3 Posing as fictional activist,meta_kill_chain,,,2026-09-11
RUSSIA-BASED CIB NETWORK #3,influence_operation,meta,Q2_2024_RUSSIA-BASED CIB NETWORK #3,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_RUSSIA-BASED%20CIB%20NETWORK%20#3.csv,behavior,This operation created fictitious news outlets to ‘report’ on real-world stunts as if they were grassroots developments across Europe.,Russia,,,1. Disguising assets > 1.3 Posing as non-existent institution > 1.3.1 Creating fictitious news outlet,meta_kill_chain,,,2026-09-11
RUSSIA-BASED CIB NETWORK #3,influence_operation,meta,Q2_2024_RUSSIA-BASED CIB NETWORK #3,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_RUSSIA-BASED%20CIB%20NETWORK%20#3.csv,behavior,This operation created a Page for a fictitious entity called the Ukrainian European Front.,Russia,,,1. Disguising assets > 1.3 Posing as non-existent institution > 1.3.3 Creating fictitious activist movement,meta_kill_chain,,,2026-09-11
RUSSIA-BASED CIB NETWORK #3,influence_operation,meta,Q2_2024_RUSSIA-BASED CIB NETWORK #3,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_RUSSIA-BASED%20CIB%20NETWORK%20#3.csv,behavior,"Ukrainian European Front was backstopped on Telegram, likely to appear more legitimate to withstand scrutiny by platforms and researchers.",Russia,,,1. Disguising assets > 1.8 Backstopping > 1.8.2 Backstopping fictitious brand or organization across multiple websites,meta_kill_chain,,,2026-09-11
