actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
US-BASED CIB NETWORK,influence_operation,meta,Q2_2024_US-BASED_CIB_NETWORK,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_US-BASED_CIB_NETWORK.csv,domain,patriotsrunproject[.]com,,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
US-BASED CIB NETWORK,influence_operation,meta,Q2_2024_US-BASED_CIB_NETWORK,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_US-BASED_CIB_NETWORK.csv,domain,patriotsrunmn[.]com,,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
US-BASED CIB NETWORK,influence_operation,meta,Q2_2024_US-BASED_CIB_NETWORK,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_US-BASED_CIB_NETWORK.csv,domain,patriotsrunnv[.]com,,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
US-BASED CIB NETWORK,influence_operation,meta,Q2_2024_US-BASED_CIB_NETWORK,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_US-BASED_CIB_NETWORK.csv,domain,patriotsrunoh[.]com,,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
US-BASED CIB NETWORK,influence_operation,meta,Q2_2024_US-BASED_CIB_NETWORK,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_US-BASED_CIB_NETWORK.csv,domain,patriotsrunmt[.]com,,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
US-BASED CIB NETWORK,influence_operation,meta,Q2_2024_US-BASED_CIB_NETWORK,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_US-BASED_CIB_NETWORK.csv,domain,patriotsrunaz[.]com,,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
US-BASED CIB NETWORK,influence_operation,meta,Q2_2024_US-BASED_CIB_NETWORK,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_US-BASED_CIB_NETWORK.csv,domain,patriotsrunmi[.]com,,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
US-BASED CIB NETWORK,influence_operation,meta,Q2_2024_US-BASED_CIB_NETWORK,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_US-BASED_CIB_NETWORK.csv,domain,patriotsrunwi[.]com,,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
US-BASED CIB NETWORK,influence_operation,meta,Q2_2024_US-BASED_CIB_NETWORK,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_US-BASED_CIB_NETWORK.csv,domain,patriotsrunpa[.]com,,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
US-BASED CIB NETWORK,influence_operation,meta,Q2_2024_US-BASED_CIB_NETWORK,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_US-BASED_CIB_NETWORK.csv,domain,patriotsrunnc[.]com,,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
US-BASED CIB NETWORK,influence_operation,meta,Q2_2024_US-BASED_CIB_NETWORK,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_US-BASED_CIB_NETWORK.csv,asset_count,96 accounts,,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
