actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
VIETNAM BASED CIB NETWORK,influence_operation,meta,Q2_2024_VIETNAM_BASED_CIB_NETWORK ,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_VIETNAM_BASED_CIB_NETWORK%20.csv,domain,itsinyourhands24[.]com,Vietnam,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
VIETNAM BASED CIB NETWORK,influence_operation,meta,Q2_2024_VIETNAM_BASED_CIB_NETWORK ,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_VIETNAM_BASED_CIB_NETWORK%20.csv,domain,shameonqatar[.]com,Vietnam,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
VIETNAM BASED CIB NETWORK,influence_operation,meta,Q2_2024_VIETNAM_BASED_CIB_NETWORK ,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_VIETNAM_BASED_CIB_NETWORK%20.csv,url,https://shi3adodelharb.com/,Vietnam,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
VIETNAM BASED CIB NETWORK,influence_operation,meta,Q2_2024_VIETNAM_BASED_CIB_NETWORK ,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_VIETNAM_BASED_CIB_NETWORK%20.csv,domain,kowatnabewe7detna.com,Vietnam,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
VIETNAM BASED CIB NETWORK,influence_operation,meta,Q2_2024_VIETNAM_BASED_CIB_NETWORK ,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_VIETNAM_BASED_CIB_NETWORK%20.csv,domain,1701now.com,Vietnam,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
VIETNAM BASED CIB NETWORK,influence_operation,meta,Q2_2024_VIETNAM_BASED_CIB_NETWORK ,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_VIETNAM_BASED_CIB_NETWORK%20.csv,asset_count,112 accounts,Vietnam,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
VIETNAM BASED CIB NETWORK,influence_operation,meta,Q2_2024_VIETNAM_BASED_CIB_NETWORK ,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_VIETNAM_BASED_CIB_NETWORK%20.csv,asset_count,65 Pages,Vietnam,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
VIETNAM BASED CIB NETWORK,influence_operation,meta,Q2_2024_VIETNAM_BASED_CIB_NETWORK ,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_VIETNAM_BASED_CIB_NETWORK%20.csv,asset_count,49 accounts,Vietnam,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.2 Acquiring Instagram accounts,meta_kill_chain,,,2026-09-11
VIETNAM BASED CIB NETWORK,influence_operation,meta,Q2_2024_VIETNAM_BASED_CIB_NETWORK ,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_VIETNAM_BASED_CIB_NETWORK%20.csv,url,https://twitter[.]com/ShameOnQatar24,Vietnam,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
VIETNAM BASED CIB NETWORK,influence_operation,meta,Q2_2024_VIETNAM_BASED_CIB_NETWORK ,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_VIETNAM_BASED_CIB_NETWORK%20.csv,url,https://twitter[.]com/ItsIn_YourHands,Vietnam,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
