actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,asset_count,7 accounts,Moldova,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,asset_count,23 Pages,Moldova,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,asset_count,1 Group,Moldova,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,asset_count,20 accounts,Moldova,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.2 Acquiring Instagram accounts,meta_kill_chain,,,2026-09-11
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,url,https://www.tiktok[.]com/@trech_kich6,Moldova,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.6 Acquiring TikTok accounts,meta_kill_chain,,,2026-09-11
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,url,https://www.tiktok[.]com/@kishinev24,Moldova,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.6 Acquiring TikTok accounts,meta_kill_chain,,,2026-09-11
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,url,https://www.tiktok[.]com/@moldova_acum,Moldova,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.6 Acquiring TikTok accounts,meta_kill_chain,,,2026-09-11
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,url,https://t[.]me/insider_md,Moldova,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.7 Acquiring Telegram channels,meta_kill_chain,,,2026-09-11
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,url,https://t[.]me/trech_kich,Moldova,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.7 Acquiring Telegram channels,meta_kill_chain,,,2026-09-11
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,url,https://t[.]me/onlinemd24,Moldova,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.7 Acquiring Telegram channels,meta_kill_chain,,,2026-09-11
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,url,https://t[.]me/md_krot,Moldova,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.7 Acquiring Telegram channels,meta_kill_chain,,,2026-09-11
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,url,http://t[.]me/fluieras,Moldova,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.7 Acquiring Telegram channels,meta_kill_chain,,,2026-09-11
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,url,http://t[.]me/kishinev24,Moldova,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.7 Acquiring Telegram channels,meta_kill_chain,,,2026-09-11
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,url,http://t[.]me/chsreal,Moldova,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.7 Acquiring Telegram channels,meta_kill_chain,,,2026-09-11
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,url,http://t[.]me/moldova_acum,Moldova,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.7 Acquiring Telegram channels,meta_kill_chain,,,2026-09-11
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,url,http://t[.]me/gagauzia_v_efire,Moldova,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.7 Acquiring Telegram channels,meta_kill_chain,,,2026-09-11
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,url,http://t[.]me/beltsy24,Moldova,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.7 Acquiring Telegram channels,meta_kill_chain,,,2026-09-11
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,url,http://t[.]me/trech_kich_chat,Moldova,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.7 Acquiring Telegram channels,meta_kill_chain,,,2026-09-11
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,url,http://t[.]me/trech_kich_bot,Moldova,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.7 Acquiring Telegram channels,meta_kill_chain,,,2026-09-11
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,url,https://ok[.]ru/group/70000005349948,Moldova,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.12 Acquiring other social media assets,meta_kill_chain,,,2026-09-11
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,behavior,Insider Moldova,Moldova,,,1. Disguising assets > 1.3 Posing as non-existent institution > 1.3.1 Creating fictitious news outlet,meta_kill_chain,,,2026-09-11
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,behavior,Треш Киш - Trech Kich,Moldova,,,1. Disguising assets > 1.3 Posing as non-existent institution > 1.3.1 Creating fictitious news outlet,meta_kill_chain,,,2026-09-11
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,behavior,Молдова онлайн - Moldova Online,Moldova,,,1. Disguising assets > 1.3 Posing as non-existent institution > 1.3.1 Creating fictitious news outlet,meta_kill_chain,,,2026-09-11
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,behavior,Молдавский Крот - Moldovan Mole,Moldova,,,1. Disguising assets > 1.3 Posing as non-existent institution > 1.3.1 Creating fictitious news outlet,meta_kill_chain,,,2026-09-11
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,behavior,Флуераш - Fluieras,Moldova,,,1. Disguising assets > 1.3 Posing as non-existent institution > 1.3.1 Creating fictitious news outlet,meta_kill_chain,,,2026-09-11
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,behavior,Кишинев - Kishinev,Moldova,,,1. Disguising assets > 1.3 Posing as non-existent institution > 1.3.1 Creating fictitious news outlet,meta_kill_chain,,,2026-09-11
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,behavior,Реальный Кишинев - Real Chisinau,Moldova,,,1. Disguising assets > 1.3 Posing as non-existent institution > 1.3.1 Creating fictitious news outlet,meta_kill_chain,,,2026-09-11
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,behavior,Молдова сейчас - Moldova Acum,Moldova,,,1. Disguising assets > 1.3 Posing as non-existent institution > 1.3.1 Creating fictitious news outlet,meta_kill_chain,,,2026-09-11
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,behavior,Гагаузия в эфире - Gagauzia on Air,Moldova,,,1. Disguising assets > 1.3 Posing as non-existent institution > 1.3.1 Creating fictitious news outlet,meta_kill_chain,,,2026-09-11
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,behavior,Бельцы 24 - Beltsy 24,Moldova,,,1. Disguising assets > 1.3 Posing as non-existent institution > 1.3.1 Creating fictitious news outlet,meta_kill_chain,,,2026-09-11
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,behavior,Using profile photos likely generated using artificial intelligence such as Generative Adversarial Networks (GAN),Moldova,,,1. Disguising assets > 1.1 Adopting visual disguise > 1.1.2 Using profile pictures like created using generative adversarial networks (GAN),meta_kill_chain,,,2026-09-11
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,behavior,"Frequently posting summaries of articles from a legitimate news
site point[.]md, but with an apparent pro-Russia and anti-EU slant
added by the operators",Moldova,,,5. Evading detection > 5.2 Camouflaging content > 5.2.2 Editing copied content,meta_kill_chain,,,2026-09-11
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,behavior,"About $4,000  in spending for ads on Facebook, paid for mostly in US Dollars",Moldova,,,7. Targeted engagement > 7.1 Running ads > 7.1.1 Advertising to promote content,meta_kill_chain,,,2026-09-11
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,behavior,"About 4,200 accounts followed one or more of these Pages",Moldova,,,7. Targeted engagement > 7.2 Engaging with users outside the operation > 7.2.2 Acquiring Page followers,meta_kill_chain,,,2026-09-11
MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q3_2024 MOLDOVA_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20MOLDOVA_BASED_CIB_NETWORK.csv,behavior,"About 335,000 accounts followed one or more of these Instagram accounts.The vast majority of these followers were outside of
Moldova, which suggests the use of inauthentic engagement tactics
to make these efforts appear more popular than they were.",Moldova,,,7. Targeted engagement > 7.2 Engaging with users outside the operation > 7.2.4 Acquiring Instagram followers,meta_kill_chain,,,2026-09-11
