actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
ROMANIA BASED CIB NETWORK,influence_operation,meta,Q1_2025_ROMANIA_BASED_CIB_NETWORK,2025-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2025/Q1_2025_ROMANIA_BASED_CIB_NETWORK.csv,asset_count,658 accounts,,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
ROMANIA BASED CIB NETWORK,influence_operation,meta,Q1_2025_ROMANIA_BASED_CIB_NETWORK,2025-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2025/Q1_2025_ROMANIA_BASED_CIB_NETWORK.csv,asset_count,14 Pages,,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
ROMANIA BASED CIB NETWORK,influence_operation,meta,Q1_2025_ROMANIA_BASED_CIB_NETWORK,2025-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2025/Q1_2025_ROMANIA_BASED_CIB_NETWORK.csv,asset_count,2 accounts,,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.2 Acquiring Instagram accounts,meta_kill_chain,,,2026-09-11
ROMANIA BASED CIB NETWORK,influence_operation,meta,Q1_2025_ROMANIA_BASED_CIB_NETWORK,2025-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2025/Q1_2025_ROMANIA_BASED_CIB_NETWORK.csv,behavior,x[.]com/popa_mariannn,,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
ROMANIA BASED CIB NETWORK,influence_operation,meta,Q1_2025_ROMANIA_BASED_CIB_NETWORK,2025-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2025/Q1_2025_ROMANIA_BASED_CIB_NETWORK.csv,behavior,x[.]com/ionitaeva509,,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
ROMANIA BASED CIB NETWORK,influence_operation,meta,Q1_2025_ROMANIA_BASED_CIB_NETWORK,2025-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2025/Q1_2025_ROMANIA_BASED_CIB_NETWORK.csv,behavior,x[.]com/nicolescuanas31,,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
ROMANIA BASED CIB NETWORK,influence_operation,meta,Q1_2025_ROMANIA_BASED_CIB_NETWORK,2025-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2025/Q1_2025_ROMANIA_BASED_CIB_NETWORK.csv,behavior,x[.]com/DariusMindru,,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
ROMANIA BASED CIB NETWORK,influence_operation,meta,Q1_2025_ROMANIA_BASED_CIB_NETWORK,2025-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2025/Q1_2025_ROMANIA_BASED_CIB_NETWORK.csv,behavior,x[.]com/nicolasstoica98,,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
ROMANIA BASED CIB NETWORK,influence_operation,meta,Q1_2025_ROMANIA_BASED_CIB_NETWORK,2025-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2025/Q1_2025_ROMANIA_BASED_CIB_NETWORK.csv,behavior,x[.]com/campau_sorin,,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
ROMANIA BASED CIB NETWORK,influence_operation,meta,Q1_2025_ROMANIA_BASED_CIB_NETWORK,2025-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2025/Q1_2025_ROMANIA_BASED_CIB_NETWORK.csv,url,www.youtube[.]com/@M%C4%83tu%C8%99adela%C8%9Bar%C4%83-r4y,,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.5 Acquiring YouTube channels,meta_kill_chain,,,2026-09-11
