actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
Q2-3 2025 BELARUS BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_BELARUS_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_BELARUS_BASED_CIB_NETWORK.csv,domain,poufnarozmowa[.]eu,Belarus,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Q2-3 2025 BELARUS BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_BELARUS_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_BELARUS_BASED_CIB_NETWORK.csv,asset_count,4 accounts,Belarus,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Q2-3 2025 BELARUS BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_BELARUS_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_BELARUS_BASED_CIB_NETWORK.csv,asset_count,12 pages,Belarus,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Q2-3 2025 BELARUS BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_BELARUS_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_BELARUS_BASED_CIB_NETWORK.csv,asset_count,21 accounts,Belarus,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.2 Acquiring Instagram accounts,meta_kill_chain,,,2026-09-11
Q2-3 2025 BELARUS BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_BELARUS_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_BELARUS_BASED_CIB_NETWORK.csv,url,hxxp://x[.]com/jabkowojciech,Belarus,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
Q2-3 2025 BELARUS BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_BELARUS_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_BELARUS_BASED_CIB_NETWORK.csv,url,hxxp://x[.]com/baranowski21205,Belarus,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
Q2-3 2025 BELARUS BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_BELARUS_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_BELARUS_BASED_CIB_NETWORK.csv,url,hxxp://tiktok[.]com/@wojciechjabko,Belarus,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.6 Acquiring TikTok accounts,meta_kill_chain,,,2026-09-11
Q2-3 2025 BELARUS BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_BELARUS_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_BELARUS_BASED_CIB_NETWORK.csv,url,hxxp://tiktok[.]com/@baranowskiad,Belarus,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.6 Acquiring TikTok accounts,meta_kill_chain,,,2026-09-11
Q2-3 2025 BELARUS BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_BELARUS_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_BELARUS_BASED_CIB_NETWORK.csv,url,hxxp://tiktok[.]com/@amelia.wilson237,Belarus,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.6 Acquiring TikTok accounts,meta_kill_chain,,,2026-09-11
Q2-3 2025 BELARUS BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_BELARUS_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_BELARUS_BASED_CIB_NETWORK.csv,behavior,Fake accounts ran targeted advertisements while falsely representing Poland's governing Civic Coalition.,Belarus,,,1. Disguising assets > 1.5 Impersonating real institution > 1.5.2 Impersonating government institution,meta_kill_chain,,,2026-09-11
