actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
Q2-3 2025 IRAN BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_IRAN_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_IRAN_BASED_CIB_NETWORK.csv,ipv4,45[.]141[.]152[.]19,Iran,,,0. Acquiring assets > 0.1 Acquiring IP addresses > 0.1.1 Acquiring proxy IP addresses,meta_kill_chain,,,2026-09-11
Q2-3 2025 IRAN BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_IRAN_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_IRAN_BASED_CIB_NETWORK.csv,ipv4,146[.]70[.]118[.]226,Iran,,,0. Acquiring assets > 0.1 Acquiring IP addresses > 0.1.1 Acquiring proxy IP addresses,meta_kill_chain,,,2026-09-11
Q2-3 2025 IRAN BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_IRAN_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_IRAN_BASED_CIB_NETWORK.csv,ipv4,45[.]141[.]152[.]18,Iran,,,0. Acquiring assets > 0.1 Acquiring IP addresses > 0.1.1 Acquiring proxy IP addresses,meta_kill_chain,,,2026-09-11
Q2-3 2025 IRAN BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_IRAN_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_IRAN_BASED_CIB_NETWORK.csv,ipv4,45[.]141[.]152[.]194,Iran,,,0. Acquiring assets > 0.1 Acquiring IP addresses > 0.1.1 Acquiring proxy IP addresses,meta_kill_chain,,,2026-09-11
Q2-3 2025 IRAN BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_IRAN_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_IRAN_BASED_CIB_NETWORK.csv,ipv4,5[.]9[.]29[.]230,Iran,,,0. Acquiring assets > 0.1 Acquiring IP addresses > 0.1.1 Acquiring proxy IP addresses,meta_kill_chain,,,2026-09-11
Q2-3 2025 IRAN BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_IRAN_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_IRAN_BASED_CIB_NETWORK.csv,ipv4,104[.]237[.]255[.]202,Iran,,,0. Acquiring assets > 0.1 Acquiring IP addresses > 0.1.1 Acquiring proxy IP addresses,meta_kill_chain,,,2026-09-11
Q2-3 2025 IRAN BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_IRAN_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_IRAN_BASED_CIB_NETWORK.csv,ipv4,116[.]202[.]235[.]13,Iran,,,0. Acquiring assets > 0.1 Acquiring IP addresses > 0.1.1 Acquiring proxy IP addresses,meta_kill_chain,,,2026-09-11
Q2-3 2025 IRAN BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_IRAN_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_IRAN_BASED_CIB_NETWORK.csv,behavior,"The threat actors impersonated students, creating social media personas to match corresponding bylines on their website articles.",Iran,,,1. Disguising assets > 1.2 Posing as non-existent person > 1.2.8 Posing as fictional person in target region,meta_kill_chain,,,2026-09-11
Q2-3 2025 IRAN BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_IRAN_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_IRAN_BASED_CIB_NETWORK.csv,behavior,"The threat actors often impersonated journalists or masquerade as students, creating social media personas to match corresponding bylines on their website articles.",Iran,,,1. Disguising assets > 1.4 Impersonating real person > 1.4.1 Impersonating researcher or think tanker,meta_kill_chain,,,2026-09-11
Q2-3 2025 IRAN BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_IRAN_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_IRAN_BASED_CIB_NETWORK.csv,behavior,"In earlier days, this network often typosquatted popular news websites, though they later evolved.",Iran,,,1. Disguising assets > 1.5 Impersonating real institution > 1.5.1 Impersonating news website,meta_kill_chain,,,2026-09-11
