actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
H1 2026 CHINA BASED CIB NETWORK,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_CHINA_BASED_CIB_NETWORK,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_CHINA_BASED_CIB_NETWORK.csv,domain,newgenerationrebellion[.]com,China,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
H1 2026 CHINA BASED CIB NETWORK,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_CHINA_BASED_CIB_NETWORK,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_CHINA_BASED_CIB_NETWORK.csv,domain,ngrebellion[.]com,China,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
H1 2026 CHINA BASED CIB NETWORK,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_CHINA_BASED_CIB_NETWORK,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_CHINA_BASED_CIB_NETWORK.csv,domain,newgenreb[.]com,China,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
H1 2026 CHINA BASED CIB NETWORK,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_CHINA_BASED_CIB_NETWORK,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_CHINA_BASED_CIB_NETWORK.csv,domain,twgossiping[.]com,China,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
H1 2026 CHINA BASED CIB NETWORK,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_CHINA_BASED_CIB_NETWORK,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_CHINA_BASED_CIB_NETWORK.csv,asset_count,154 Accounts,China,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
H1 2026 CHINA BASED CIB NETWORK,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_CHINA_BASED_CIB_NETWORK,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_CHINA_BASED_CIB_NETWORK.csv,asset_count,23 Pages,China,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
H1 2026 CHINA BASED CIB NETWORK,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_CHINA_BASED_CIB_NETWORK,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_CHINA_BASED_CIB_NETWORK.csv,asset_count,1 Account,China,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.2 Acquiring Instagram accounts,meta_kill_chain,,,2026-09-11
H1 2026 CHINA BASED CIB NETWORK,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_CHINA_BASED_CIB_NETWORK,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_CHINA_BASED_CIB_NETWORK.csv,behavior,youtube[.]com/@NewGenerationRebellion,China,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.5 Acquiring YouTube channels,meta_kill_chain,,,2026-09-11
H1 2026 CHINA BASED CIB NETWORK,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_CHINA_BASED_CIB_NETWORK,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_CHINA_BASED_CIB_NETWORK.csv,behavior,"The network operated several pages, such as Taiwan Gossip Net and New Generation Rebellion, that claimed to be run by Taiwanese volunteers and nationals.",China,,,1. Disguising assets > 1.2 Posing as non-existent person > 1.2.8 Posing as fictional person in target region,meta_kill_chain,,,2026-09-11
H1 2026 CHINA BASED CIB NETWORK,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_CHINA_BASED_CIB_NETWORK,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_CHINA_BASED_CIB_NETWORK.csv,behavior,"The network operated several pages, such as Taiwan Gossip Net and New Generation Rebellion, that claimed to be run by Taiwanese volunteers and nationals.",China,,,1. Disguising assets > 1.3 Posing as non-existent institution > 1.3.1 Creating fictitious news outlet,meta_kill_chain,,,2026-09-11
H1 2026 CHINA BASED CIB NETWORK,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_CHINA_BASED_CIB_NETWORK,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_CHINA_BASED_CIB_NETWORK.csv,behavior,"The network maintained a presence on other platforms, including a YouTube channel and a dedicated Android app, to support its fake personas.",China,,,1. Disguising assets > 1.8 Backstopping > 1.8.2 Backstopping fictitious brand or organization across multiple websites,meta_kill_chain,,,2026-09-11
H1 2026 CHINA BASED CIB NETWORK,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_CHINA_BASED_CIB_NETWORK,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_CHINA_BASED_CIB_NETWORK.csv,behavior,The network encouraged users to submit anonymous grievances about Taiwanese public affairs to foster domestic discord.,China,,,2. Gathering information > 2.1. Soliciting information > 2.1.1 Publicly soliciting information,meta_kill_chain,,,2026-09-11
