actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
H1 2026 PAKISTAN BASED CIB NETWORK,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_PAKISTAN_BASED_CIB_NETWORK,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_PAKISTAN_BASED_CIB_NETWORK.csv,domain,thebalochistandiaries[.]com,Pakistan,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
H1 2026 PAKISTAN BASED CIB NETWORK,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_PAKISTAN_BASED_CIB_NETWORK,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_PAKISTAN_BASED_CIB_NETWORK.csv,asset_count,23 Accounts,Pakistan,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
H1 2026 PAKISTAN BASED CIB NETWORK,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_PAKISTAN_BASED_CIB_NETWORK,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_PAKISTAN_BASED_CIB_NETWORK.csv,asset_count,8 Pages,Pakistan,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
H1 2026 PAKISTAN BASED CIB NETWORK,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_PAKISTAN_BASED_CIB_NETWORK,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_PAKISTAN_BASED_CIB_NETWORK.csv,asset_count,14 Accounts,Pakistan,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.2 Acquiring Instagram accounts,meta_kill_chain,,,2026-09-11
H1 2026 PAKISTAN BASED CIB NETWORK,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_PAKISTAN_BASED_CIB_NETWORK,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_PAKISTAN_BASED_CIB_NETWORK.csv,url,https://x[.]com/auroraapricus/,Pakistan,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
H1 2026 PAKISTAN BASED CIB NETWORK,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_PAKISTAN_BASED_CIB_NETWORK,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_PAKISTAN_BASED_CIB_NETWORK.csv,url,https://x[.]com/BalochDiaries,Pakistan,,,0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
H1 2026 PAKISTAN BASED CIB NETWORK,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_PAKISTAN_BASED_CIB_NETWORK,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_PAKISTAN_BASED_CIB_NETWORK.csv,url,https://x[.]com/shaziia_tweets,Pakistan,,,0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
H1 2026 PAKISTAN BASED CIB NETWORK,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_PAKISTAN_BASED_CIB_NETWORK,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_PAKISTAN_BASED_CIB_NETWORK.csv,url,https://x[.]com/Abbasbugti52,Pakistan,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
H1 2026 PAKISTAN BASED CIB NETWORK,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_PAKISTAN_BASED_CIB_NETWORK,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_PAKISTAN_BASED_CIB_NETWORK.csv,url,https://www.youtube[.]com/@Baloch5225,Pakistan,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.5 Acquiring YouTube channels,meta_kill_chain,,,2026-09-11
H1 2026 PAKISTAN BASED CIB NETWORK,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_PAKISTAN_BASED_CIB_NETWORK,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_PAKISTAN_BASED_CIB_NETWORK.csv,url,https://www.youtube[.]com/channel/UCQ8TUByC9EmbhoUDaInIGeA,Pakistan,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.5 Acquiring YouTube channels,meta_kill_chain,,,2026-09-11
