actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
H1 2026 RUSSIA BASED CIB NETWORK 2,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_RUSSIA_BASED_CIB_NETWORK_2,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_RUSSIA_BASED_CIB_NETWORK_2.csv,asset_count,52 Accounts,Russia,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
H1 2026 RUSSIA BASED CIB NETWORK 2,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_RUSSIA_BASED_CIB_NETWORK_2,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_RUSSIA_BASED_CIB_NETWORK_2.csv,asset_count,134 Pages,Russia,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
H1 2026 RUSSIA BASED CIB NETWORK 2,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_RUSSIA_BASED_CIB_NETWORK_2,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_RUSSIA_BASED_CIB_NETWORK_2.csv,asset_count,35 Accounts,Russia,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.2 Acquiring Instagram accounts,meta_kill_chain,,,2026-09-11
H1 2026 RUSSIA BASED CIB NETWORK 2,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_RUSSIA_BASED_CIB_NETWORK_2,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_RUSSIA_BASED_CIB_NETWORK_2.csv,url,https://www[.]youtube[.]com/@Do_Rzeczy,Russia,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.5 Acquiring YouTube channels,meta_kill_chain,,,2026-09-11
H1 2026 RUSSIA BASED CIB NETWORK 2,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_RUSSIA_BASED_CIB_NETWORK_2,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_RUSSIA_BASED_CIB_NETWORK_2.csv,url,https://www[.]youtube[.]com/@Sahel_Urgent,Russia,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.5 Acquiring YouTube channels,meta_kill_chain,,,2026-09-11
H1 2026 RUSSIA BASED CIB NETWORK 2,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_RUSSIA_BASED_CIB_NETWORK_2,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_RUSSIA_BASED_CIB_NETWORK_2.csv,url,https://www[.]youtube[.]com/@nabdazzamani,Russia,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.5 Acquiring YouTube channels,meta_kill_chain,,,2026-09-11
H1 2026 RUSSIA BASED CIB NETWORK 2,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_RUSSIA_BASED_CIB_NETWORK_2,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_RUSSIA_BASED_CIB_NETWORK_2.csv,url,https://www[.]youtube[.]com/@ua_telemarahvon,Russia,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.5 Acquiring YouTube channels,meta_kill_chain,,,2026-09-11
H1 2026 RUSSIA BASED CIB NETWORK 2,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_RUSSIA_BASED_CIB_NETWORK_2,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_RUSSIA_BASED_CIB_NETWORK_2.csv,url,https://www[.]youtube[.]com/@Inshymuslovamy,Russia,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.5 Acquiring YouTube channels,meta_kill_chain,,,2026-09-11
H1 2026 RUSSIA BASED CIB NETWORK 2,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_RUSSIA_BASED_CIB_NETWORK_2,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_RUSSIA_BASED_CIB_NETWORK_2.csv,url,https://www[.]youtube[.]com/@Britannia_Calls,Russia,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.5 Acquiring YouTube channels,meta_kill_chain,,,2026-09-11
H1 2026 RUSSIA BASED CIB NETWORK 2,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_RUSSIA_BASED_CIB_NETWORK_2,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_RUSSIA_BASED_CIB_NETWORK_2.csv,url,https://www[.]youtube[.]com/@BritBrief_news,Russia,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.5 Acquiring YouTube channels,meta_kill_chain,,,2026-09-11
