actor_id,actor_name,is_named,country,n_providers,providers,n_rows
SPAMOUFLAGE,Spamouflage / DRAGONBRIDGE,True,China,2,google|meta,530
DOPPELGANGER,Doppelganger,True,Russia,2,google|meta,6496
IRA,Internet Research Agency,True,Russia,2,google|x,4
LABEL:iot-credential-scraping-actor,Iot Credential Scraping Actor,False,,1,anthropic,1
LABEL:multi-client-influence-network,Multi-Client Influence Network,False,,1,anthropic,1
LABEL:novice-malware-developer,Novice Malware Developer,False,,1,anthropic,1
LABEL:recruitment-fraud-actor,Recruitment Fraud Actor,False,,1,anthropic,1
LABEL:ai-powered-carding-store,Ai-Powered Carding Store,False,,1,anthropic,1
LABEL:chinese-apt-vietnam-infrastructure,Chinese Apt (Vietnam Infrastructure),False,Vietnam,1,anthropic,1
CONTAGIOUS-INTERVIEW,Contagious Interview,True,North Korea,1,anthropic,5
LABEL:dprk-it-worker-fraud,Dprk It Worker Fraud,False,North Korea,1,anthropic,2
LABEL:gtg,Gtg,False,,1,anthropic,1
LABEL:gtg-5004,Gtg-5004,False,,1,anthropic,3
LABEL:mcp-stealer-log-analysis-actor,Mcp Stealer-Log Analysis Actor,False,,1,anthropic,2
LABEL:romance-scam-bot-operator,Romance-Scam Bot Operator,False,,1,anthropic,2
LABEL:russian-speaking-malware-developer,Russian-Speaking Malware Developer,False,,1,anthropic,1
LABEL:synthetic-identity-services,Synthetic Identity Services,False,,1,anthropic,1
LABEL:gtg-04001,Gtg-04001,False,,1,anthropic,4
LABEL:gtg-10007,Gtg-10007,False,,1,anthropic,1
LABEL:gtg-20006,Gtg-20006,False,,1,anthropic,65
LABEL:gtg-24015,Gtg-24015,False,,1,anthropic,12
LABEL:gtg-50014-shinyhunters-aliases-meowsha-frkoo-bla,"Gtg-50014 (Shinyhunters; Aliases Meowsha, Frkoo, Blazespider)",False,,1,anthropic,41
LABEL:gtg-50020,Gtg-50020,False,,1,anthropic,9
LABEL:gtg-50021-alias-kl1zy,Gtg-50021 (Alias Kl1Zy),False,,1,anthropic,8
LABEL:gtg-50029,Gtg-50029,False,,1,anthropic,23
LABEL:gtg-54002-lkm-company,Gtg-54002 (Lkm Company),False,,1,anthropic,29
LABEL:gtg-84005-bbs-bilisim-teknolojileri,Gtg-84005 (Bbs Bilisim Teknolojileri),False,,1,anthropic,23
APT41,APT41,True,China,1,google,2
APT42,APT42,True,Iran,1,google,2
APT43,APT43,True,North Korea,1,google,1
COPYCOP,CopyCop,True,Russia,1,google,1
LABEL:dprk-apt-actors-groups,Dprk Apt Actors ( Groups),False,North Korea,1,google,1
LABEL:dprk-it-workers,Dprk It Workers,False,North Korea,1,google,4
LABEL:fraudgpt-wormgpt,Fraudgpt / Wormgpt,False,,1,google,3
LABEL:iranian-apt-actors-10-groups,Iranian Apt Actors (10+ Groups),False,,1,google,1
LABEL:iranian-io-actors-groups,Iranian Io Actors ( Groups),False,,1,google,1
KRYMSKYBRIDGE,KrymskyBridge,True,Russia,1,google,1
LABEL:prc-apt-actors-20-groups,Prc Apt Actors (20+ Groups),False,,1,google,1
LABEL:russian-apt-actors-groups,Russian Apt Actors ( Groups),False,,1,google,1
APT31,APT31,True,China,1,google,1
LABEL:gtig-tracked-ai-enabled-malware,Gtig-Tracked Ai-Enabled Malware,False,,1,google,7
LABEL:gtig-tracked-io-actors,Gtig-Tracked Io Actors,False,,1,google,1
LABEL:temp-hex,Temp.Hex,False,,1,google,1
LABEL:unc2970,Unc2970,False,,1,google,1
LABEL:unc5356,Unc5356,False,,1,google,6
LABEL:unc6418,Unc6418,False,,1,google,1
LABEL:unc795,Unc795,False,,1,google,1
LABEL:12-bangladesh-and-vietnam,12 Bangladesh And Vietnam,False,Vietnam,1,meta,10
LABEL:03-china,03 China,False,China,1,meta,26
LABEL:04-palestine,04 Palestine,False,Palestine,1,meta,243
LABEL:07-iran,07 Iran,False,Iran,1,meta,187
LABEL:11-action-against-hackers-in-pakistan-and-syria,11 Action Against Hackers In Pakistan And Syria,False,Pakistan,1,meta,49
LABEL:12-taking-action-against-surveillance-for-hire,12 Taking Action Against Surveillance For Hire,False,,1,meta,313
LABEL:04-metas-adversarial-threat-report,04 Metas Adversarial Threat Report,False,,1,meta,79
LABEL:08-metas-adversarial-threat-report,08 Metas Adversarial Threat Report,False,,1,meta,52
LABEL:09-china-and-russia,09 China And Russia,False,China,1,meta,350
LABEL:malicious-mobile-apps,Malicious Mobile Apps,False,,1,meta,402
BAHAMUT,Bahamut,True,,1,meta,37
LABEL:china-based-cib-network,China Based Cib Network,False,China,1,meta,255
LABEL:georgia-based-cib-network,Georgia-Based Cib Network,False,Georgia,1,meta,16
LABEL:iran-based-cib-network,Iran Based Cib Network,False,Iran,1,meta,177
