country,accounts,groups,pages
China,19635,72,1099
Iran,6929,9,70
(unknown),6002,,
Russia,4264,10,399
United Arab Emirates,4519,,
Ukraine,1731,2,5
Moldova,1373,9,109
Ecuador,1019,,
Thailand,926,,
Romania,660,,14
Israel,542,1,11
Cuba,526,,
Myanmar,381,19,88
Uganda,418,,
Spain,389,,
Turkey,126,109,86
Togo,171,,142
Venezuela,310,,
Mexico,276,,
Tanzania,268,,
United States,120,12,104
Vietnam,161,,65
Croatia,111,,39
Bangladesh,50,,98
Georgia,84,9,27
Poland,56,23,36
Ghana,75,,1
Syria,50,,
Pakistan,37,,8
Saudi Arabia,39,,
Belarus,25,,12
Lebanon,21,,15
Benin,16,,6
