origin_country,country,first_seen,last_seen,span_days,n_reports,n_providers,providers
Iran,Iran,2018-10-17,2026-10-01,2906,17,4,google|meta|openai|x
Russia,Russia,2018-10-17,2026-10-01,2906,16,3,google|meta|x
Venezuela,Venezuela,2019-06-13,2023-01-01,1298,2,2,meta|x
United Arab Emirates,United Arab Emirates,2019-09-20,2019-09-20,0,1,1,x
Cuba,Cuba,2020-06-11,2020-06-11,0,1,1,x
Thailand,Thailand,2020-06-11,2020-06-11,0,1,1,x
Vietnam,Vietnam,2020-12-10,2025-08-27,1721,3,2,anthropic|meta
China,China,2021-03-24,2026-10-01,2017,15,3,google|meta|openai
Palestine,Palestine,2021-04-21,2021-04-21,0,1,1,meta
Pakistan,Pakistan,2021-11-16,2026-10-01,1780,4,1,meta
Syria,Syria,2021-12-02,2021-12-02,0,1,1,x
Georgia,Georgia,2023-01-01,2023-01-01,0,1,1,meta
India,India,2023-01-01,2023-01-01,0,1,1,meta
Togo,Togo,2023-01-01,2023-01-01,0,1,1,meta
Turkey,Turkey,2023-04-01,2023-04-01,0,2,1,meta
Myanmar,Myanmar,2023-10-01,2023-10-01,0,1,1,meta
Ukraine,Ukraine,2023-10-01,2023-10-01,0,1,1,meta
Bangladesh,Bangladesh,2024-01-01,2024-01-01,0,1,1,meta
Croatia,Croatia,2024-01-01,2024-01-01,0,1,1,meta
Israel,Israel,2024-01-01,2024-01-01,0,1,1,meta
Moldova,Moldova,2024-01-01,2025-04-01,456,3,1,meta
Indonesia,Indonesia,2024-05-23,2024-05-23,0,1,1,tiktok
Lebanon,Lebanon,2024-07-01,2024-07-01,0,1,1,meta
Benin,Benin,2024-10-01,2024-10-01,0,1,1,meta
Ghana,Ghana,2024-10-01,2024-10-01,0,1,1,meta
Romania,Romania,2025-01-01,2025-01-01,0,1,1,meta
North Korea,North Korea,2025-01-29,2025-10-07,251,4,3,anthropic|google|openai
Belarus,Belarus,2025-04-01,2025-04-01,0,1,1,meta
Poland,Poland,2025-04-01,2025-04-01,0,1,1,meta
Cambodia,Cambodia,2025-10-07,2025-10-07,0,1,1,openai
