actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
GTG-2002,cybercriminal,anthropic,Detecting and countering misuse of AI: August 2025,2025-08-27,https://www-cdn.anthropic.com/b2a76c6f6992465c09a6f2fce282f6c0cea8c200.pdf,ttp,"Claude Code for recon, credential harvesting, network penetration; Chisel tunneling; Active Directory / Kerberos attacks; AI-driven ransom-note generation and ransom pricing",,,"Healthcare, emergency services, government, religious; 17+ orgs","Claude Code for recon, credential harvesting, network penetration; Chisel tunneling; Active Directory / Kerberos attacks; AI-driven ransom-note generation and ransom pricing",mitre_atlas,,'Vibe hacking' data-extortion operation,2026-09-11
DPRK IT worker fraud,nation_state,anthropic,Detecting and countering misuse of AI: August 2025,2025-08-27,https://www-cdn.anthropic.com/b2a76c6f6992465c09a6f2fce282f6c0cea8c200.pdf,persona,Isabella Martinez (example persona),North Korea,United States,Fortune 500 technology companies,,none,,North Korean employment fraud,2026-09-11
DPRK IT worker fraud,nation_state,anthropic,Detecting and countering misuse of AI: August 2025,2025-08-27,https://www-cdn.anthropic.com/b2a76c6f6992465c09a6f2fce282f6c0cea8c200.pdf,ttp,False identity creation; Passing technical assessments; Maintaining fraudulent remote employment,North Korea,United States,Fortune 500 technology companies,False identity creation; Passing technical assessments; Maintaining fraudulent remote employment,mitre_atlas,,North Korean employment fraud,2026-09-11
GTG-5004,cybercriminal,anthropic,Detecting and countering misuse of AI: August 2025,2025-08-27,https://www-cdn.anthropic.com/b2a76c6f6992465c09a6f2fce282f6c0cea8c200.pdf,onion_domain,techscckl72ibnfg2ksj5aqlanwgzw32asr6ml37aojnyw4nardojyid[.]onion,United Kingdom,,,,none,,No-code ransomware RaaS,2026-09-11
GTG-5004,cybercriminal,anthropic,Detecting and countering misuse of AI: August 2025,2025-08-27,https://www-cdn.anthropic.com/b2a76c6f6992465c09a6f2fce282f6c0cea8c200.pdf,email,techscriptservices@proton[.]me,United Kingdom,,,,none,,No-code ransomware RaaS,2026-09-11
GTG-5004,cybercriminal,anthropic,Detecting and countering misuse of AI: August 2025,2025-08-27,https://www-cdn.anthropic.com/b2a76c6f6992465c09a6f2fce282f6c0cea8c200.pdf,ttp,"Ransomware-as-a-service ($400-$1,200); ChaCha20/AES-256 encryption; FreshyCalls/RecycledGate syscall evasion; Reflective DLL injection; Shadow-copy deletion; Sold on Dread, CryptBB, Nulled",United Kingdom,,,"Ransomware-as-a-service ($400-$1,200); ChaCha20/AES-256 encryption; FreshyCalls/RecycledGate syscall evasion; Reflective DLL injection; Shadow-copy deletion; Sold on Dread, CryptBB, Nulled",mitre_atlas,,No-code ransomware RaaS,2026-09-11
Chinese APT (Vietnam infrastructure),nation_state,anthropic,Detecting and countering misuse of AI: August 2025,2025-08-27,https://www-cdn.anthropic.com/b2a76c6f6992465c09a6f2fce282f6c0cea8c200.pdf,ttp,9-month campaign spanning 12/14 ATT&CK tactics; Custom Python scanning; WordPress exploitation; Linux kernel privilege escalation; Hydra/hashcat credential access; Proxy-chain evasion,China,Vietnam,"Telecommunications, government databases, agriculture",9-month campaign spanning 12/14 ATT&CK tactics; Custom Python scanning; WordPress exploitation; Linux kernel privilege escalation; Hydra/hashcat credential access; Proxy-chain evasion,mitre_atlas,,Chinese APT targeting Vietnamese critical infrastructure,2026-09-11
Contagious Interview (Famous Chollima / UNC5342 / DEV#POPPER),nation_state,anthropic,Detecting and countering misuse of AI: August 2025,2025-08-27,https://www-cdn.anthropic.com/b2a76c6f6992465c09a6f2fce282f6c0cea8c200.pdf,malware,BeaverTail,North Korea,,Software developers (global); 140+ victims (external),,none,,DPRK malware distribution; auto-disrupted,2026-09-11
Contagious Interview (Famous Chollima / UNC5342 / DEV#POPPER),nation_state,anthropic,Detecting and countering misuse of AI: August 2025,2025-08-27,https://www-cdn.anthropic.com/b2a76c6f6992465c09a6f2fce282f6c0cea8c200.pdf,malware,InvisibleFerret,North Korea,,Software developers (global); 140+ victims (external),,none,,DPRK malware distribution; auto-disrupted,2026-09-11
Contagious Interview (Famous Chollima / UNC5342 / DEV#POPPER),nation_state,anthropic,Detecting and countering misuse of AI: August 2025,2025-08-27,https://www-cdn.anthropic.com/b2a76c6f6992465c09a6f2fce282f6c0cea8c200.pdf,malware,OtterCookie,North Korea,,Software developers (global); 140+ victims (external),,none,,DPRK malware distribution; auto-disrupted,2026-09-11
Contagious Interview (Famous Chollima / UNC5342 / DEV#POPPER),nation_state,anthropic,Detecting and countering misuse of AI: August 2025,2025-08-27,https://www-cdn.anthropic.com/b2a76c6f6992465c09a6f2fce282f6c0cea8c200.pdf,malware,GolangGhost,North Korea,,Software developers (global); 140+ victims (external),,none,,DPRK malware distribution; auto-disrupted,2026-09-11
Contagious Interview (Famous Chollima / UNC5342 / DEV#POPPER),nation_state,anthropic,Detecting and countering misuse of AI: August 2025,2025-08-27,https://www-cdn.anthropic.com/b2a76c6f6992465c09a6f2fce282f6c0cea8c200.pdf,ttp,Fake technical interviews via LinkedIn/GitHub; Malicious npm packages; ClickFix technique,North Korea,,Software developers (global); 140+ victims (external),Fake technical interviews via LinkedIn/GitHub; Malicious npm packages; ClickFix technique,mitre_atlas,,DPRK malware distribution; auto-disrupted,2026-09-11
Russian-speaking malware developer,cybercriminal,anthropic,Detecting and countering misuse of AI: August 2025,2025-08-27,https://www-cdn.anthropic.com/b2a76c6f6992465c09a6f2fce282f6c0cea8c200.pdf,ttp,"Hell's Gate syscall resolution; Early Bird injection; Telegram bot C2; App masquerading (Zoom, crypto tools); Samples on VirusTotal within 2h of generation",Russia,"Russia, United Kingdom, Ukraine",,"Hell's Gate syscall resolution; Early Bird injection; Telegram bot C2; App masquerading (Zoom, crypto tools); Samples on VirusTotal within 2h of generation",mitre_atlas,,Russian-speaking malware developer,2026-09-11
MCP stealer-log analysis actor,cybercriminal,anthropic,Detecting and countering misuse of AI: August 2025,2025-08-27,https://www-cdn.anthropic.com/b2a76c6f6992465c09a6f2fce282f6c0cea8c200.pdf,forum,xss[.]is,Russia,,,,none,,Stealer-log analysis via MCP,2026-09-11
MCP stealer-log analysis actor,cybercriminal,anthropic,Detecting and countering misuse of AI: August 2025,2025-08-27,https://www-cdn.anthropic.com/b2a76c6f6992465c09a6f2fce282f6c0cea8c200.pdf,ttp,MCP-based stealer-log analysis and victim profiling,Russia,,,MCP-based stealer-log analysis and victim profiling,mitre_atlas,,Stealer-log analysis via MCP,2026-09-11
AI-powered carding store,cybercriminal,anthropic,Detecting and countering misuse of AI: August 2025,2025-08-27,https://www-cdn.anthropic.com/b2a76c6f6992465c09a6f2fce282f6c0cea8c200.pdf,ttp,"Multi-API card-validation framework with failover; Automated card checking, request throttling",,,Financial / stolen credit cards,"Multi-API card-validation framework with failover; Automated card checking, request throttling",mitre_atlas,,Spanish-speaking operator,2026-09-11
Romance-scam bot operator,fraud,anthropic,Detecting and countering misuse of AI: August 2025,2025-08-27,https://www-cdn.anthropic.com/b2a76c6f6992465c09a6f2fce282f6c0cea8c200.pdf,telegram,@Chat_ChatGPT_AIbot,China,"United States, Japan, Korea",,,none,,Telegram romance-scam bot; primarily Chinese-language channels,2026-09-11
Romance-scam bot operator,fraud,anthropic,Detecting and countering misuse of AI: August 2025,2025-08-27,https://www-cdn.anthropic.com/b2a76c6f6992465c09a6f2fce282f6c0cea8c200.pdf,ttp,"High-EI romance-scam response generation; 10,000+ monthly users; Profile image generation",China,"United States, Japan, Korea",,"High-EI romance-scam response generation; 10,000+ monthly users; Profile image generation",mitre_atlas,,Telegram romance-scam bot; primarily Chinese-language channels,2026-09-11
Synthetic identity services,fraud,anthropic,Detecting and countering misuse of AI: August 2025,2025-08-27,https://www-cdn.anthropic.com/b2a76c6f6992465c09a6f2fce282f6c0cea8c200.pdf,ttp,Fraudulent synthetic-identity creation and services,,,,Fraudulent synthetic-identity creation and services,mitre_atlas,,Case study 10; no hard IOCs disclosed,2026-09-11
