actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
GTG-20006,nation_state,anthropic,Detecting and countering misuse of AI: September 2026,2026-09-10,https://www-cdn.anthropic.com/e50be2e51e7695dc4b1366a37a245a597377d3b5/Anthropic-Detecting-and-countering-091026.pdf,domain,ms365-live[.]com,Russia,"Ukraine, Europe, Middle East, Asia","Government, defense, intelligence, diplomacy, think tanks",,none,,Russian espionage,2026-09-11
GTG-20006,nation_state,anthropic,Detecting and countering misuse of AI: September 2026,2026-09-10,https://www-cdn.anthropic.com/e50be2e51e7695dc4b1366a37a245a597377d3b5/Anthropic-Detecting-and-countering-091026.pdf,domain,teams.ms365-live[.]com,Russia,"Ukraine, Europe, Middle East, Asia","Government, defense, intelligence, diplomacy, think tanks",,none,,Russian espionage,2026-09-11
GTG-20006,nation_state,anthropic,Detecting and countering misuse of AI: September 2026,2026-09-10,https://www-cdn.anthropic.com/e50be2e51e7695dc4b1366a37a245a597377d3b5/Anthropic-Detecting-and-countering-091026.pdf,domain,m365-owa[.]com,Russia,"Ukraine, Europe, Middle East, Asia","Government, defense, intelligence, diplomacy, think tanks",,none,,Russian espionage,2026-09-11
GTG-20006,nation_state,anthropic,Detecting and countering misuse of AI: September 2026,2026-09-10,https://www-cdn.anthropic.com/e50be2e51e7695dc4b1366a37a245a597377d3b5/Anthropic-Detecting-and-countering-091026.pdf,domain,owa-ms365[.]com,Russia,"Ukraine, Europe, Middle East, Asia","Government, defense, intelligence, diplomacy, think tanks",,none,,Russian espionage,2026-09-11
GTG-20006,nation_state,anthropic,Detecting and countering misuse of AI: September 2026,2026-09-10,https://www-cdn.anthropic.com/e50be2e51e7695dc4b1366a37a245a597377d3b5/Anthropic-Detecting-and-countering-091026.pdf,domain,ms365-device[.]com,Russia,"Ukraine, Europe, Middle East, Asia","Government, defense, intelligence, diplomacy, think tanks",,none,,Russian espionage,2026-09-11
GTG-20006,nation_state,anthropic,Detecting and countering misuse of AI: September 2026,2026-09-10,https://www-cdn.anthropic.com/e50be2e51e7695dc4b1366a37a245a597377d3b5/Anthropic-Detecting-and-countering-091026.pdf,domain,mslivetest.duckdns[.]org,Russia,"Ukraine, Europe, Middle East, Asia","Government, defense, intelligence, diplomacy, think tanks",,none,,Russian espionage,2026-09-11
GTG-20006,nation_state,anthropic,Detecting and countering misuse of AI: September 2026,2026-09-10,https://www-cdn.anthropic.com/e50be2e51e7695dc4b1366a37a245a597377d3b5/Anthropic-Detecting-and-countering-091026.pdf,domain,my-invite[.]org,Russia,"Ukraine, Europe, Middle East, Asia","Government, defense, intelligence, diplomacy, think tanks",,none,,Russian espionage,2026-09-11
GTG-20006,nation_state,anthropic,Detecting and countering misuse of AI: September 2026,2026-09-10,https://www-cdn.anthropic.com/e50be2e51e7695dc4b1366a37a245a597377d3b5/Anthropic-Detecting-and-countering-091026.pdf,domain,chamber-ua[.]org,Russia,"Ukraine, Europe, Middle East, Asia","Government, defense, intelligence, diplomacy, think tanks",,none,,Russian espionage,2026-09-11
GTG-20006,nation_state,anthropic,Detecting and countering misuse of AI: September 2026,2026-09-10,https://www-cdn.anthropic.com/e50be2e51e7695dc4b1366a37a245a597377d3b5/Anthropic-Detecting-and-countering-091026.pdf,domain,chathamhouse[.]eu,Russia,"Ukraine, Europe, Middle East, Asia","Government, defense, intelligence, diplomacy, think tanks",,none,,Russian espionage,2026-09-11
GTG-20006,nation_state,anthropic,Detecting and countering misuse of AI: September 2026,2026-09-10,https://www-cdn.anthropic.com/e50be2e51e7695dc4b1366a37a245a597377d3b5/Anthropic-Detecting-and-countering-091026.pdf,domain,ukrinform-share[.]net,Russia,"Ukraine, Europe, Middle East, Asia","Government, defense, intelligence, diplomacy, think tanks",,none,,Russian espionage,2026-09-11
