actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
2020 12 taking action against hackers in bangladesh and vietnam,threat_actor,meta,2020 12 taking action against hackers in bangladesh and vietnam,2020-12-10,https://about.fb.com/news/2020/12/taking-action-against-hackers-in-bangladesh-and-vietnam/,sha256,768510fa9eb807bba9c3dcb3c7f87b771e20fa3d81247539e9ea4349205e39eb,Bangladesh,,,,none,,APT32: Malware Hash,2026-09-11
2020 12 taking action against hackers in bangladesh and vietnam,threat_actor,meta,2020 12 taking action against hackers in bangladesh and vietnam,2020-12-10,https://about.fb.com/news/2020/12/taking-action-against-hackers-in-bangladesh-and-vietnam/,sha256,69730f2c2bb9668a17f8dfa1f1523e0e1e997ba98f027ce98f5cbaa869347383,Bangladesh,,,,none,,APT32: Malware Hash,2026-09-11
2020 12 taking action against hackers in bangladesh and vietnam,threat_actor,meta,2020 12 taking action against hackers in bangladesh and vietnam,2020-12-10,https://about.fb.com/news/2020/12/taking-action-against-hackers-in-bangladesh-and-vietnam/,domain,tocaoonline.com,Bangladesh,,,,none,,APT32: Domain,2026-09-11
2020 12 taking action against hackers in bangladesh and vietnam,threat_actor,meta,2020 12 taking action against hackers in bangladesh and vietnam,2020-12-10,https://about.fb.com/news/2020/12/taking-action-against-hackers-in-bangladesh-and-vietnam/,domain,qh2020.org,Bangladesh,,,,none,,APT32: Domain,2026-09-11
2020 12 taking action against hackers in bangladesh and vietnam,threat_actor,meta,2020 12 taking action against hackers in bangladesh and vietnam,2020-12-10,https://about.fb.com/news/2020/12/taking-action-against-hackers-in-bangladesh-and-vietnam/,domain,tinmoivietnam.com,Bangladesh,,,,none,,APT32: Domain,2026-09-11
2020 12 taking action against hackers in bangladesh and vietnam,threat_actor,meta,2020 12 taking action against hackers in bangladesh and vietnam,2020-12-10,https://about.fb.com/news/2020/12/taking-action-against-hackers-in-bangladesh-and-vietnam/,domain,nhansudaihoi13.org,Bangladesh,,,,none,,APT32: Domain,2026-09-11
2020 12 taking action against hackers in bangladesh and vietnam,threat_actor,meta,2020 12 taking action against hackers in bangladesh and vietnam,2020-12-10,https://about.fb.com/news/2020/12/taking-action-against-hackers-in-bangladesh-and-vietnam/,domain,chatluongvacuocsong.vn,Bangladesh,,,,none,,APT32: Domain,2026-09-11
2020 12 taking action against hackers in bangladesh and vietnam,threat_actor,meta,2020 12 taking action against hackers in bangladesh and vietnam,2020-12-10,https://about.fb.com/news/2020/12/taking-action-against-hackers-in-bangladesh-and-vietnam/,domain,tocaoonline.org,Bangladesh,,,,none,,APT32: Domain,2026-09-11
2020 12 taking action against hackers in bangladesh and vietnam,threat_actor,meta,2020 12 taking action against hackers in bangladesh and vietnam,2020-12-10,https://about.fb.com/news/2020/12/taking-action-against-hackers-in-bangladesh-and-vietnam/,domain,facebookdeck.com,Bangladesh,,,,none,,APT32: Domain,2026-09-11
2020 12 taking action against hackers in bangladesh and vietnam,threat_actor,meta,2020 12 taking action against hackers in bangladesh and vietnam,2020-12-10,https://about.fb.com/news/2020/12/taking-action-against-hackers-in-bangladesh-and-vietnam/,domain,thundernews.org,Bangladesh,,,,none,,APT32: Domain,2026-09-11
