actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
2021 04 taking action against hackers in palestine,threat_actor,meta,2021 04 taking action against hackers in palestine,2021-04-21,https://about.fb.com/news/2021/04/taking-action-against-hackers-in-palestine/,domain,news-fbcb4.firebaseio.com,Palestine,,,,none,,PSS Android C2 Domain,2026-09-11
2021 04 taking action against hackers in palestine,threat_actor,meta,2021 04 taking action against hackers in palestine,2021-04-21,https://about.fb.com/news/2021/04/taking-action-against-hackers-in-palestine/,domain,news-fbcb4.appspot.com,Palestine,,,,none,,PSS Android C2 Domain,2026-09-11
2021 04 taking action against hackers in palestine,threat_actor,meta,2021 04 taking action against hackers in palestine,2021-04-21,https://about.fb.com/news/2021/04/taking-action-against-hackers-in-palestine/,domain,chaty-98547.firebaseio.com,Palestine,,,,none,,PSS Android C2 Domain,2026-09-11
2021 04 taking action against hackers in palestine,threat_actor,meta,2021 04 taking action against hackers in palestine,2021-04-21,https://about.fb.com/news/2021/04/taking-action-against-hackers-in-palestine/,domain,chaty-98547.appspot.com,Palestine,,,,none,,PSS Android C2 Domain,2026-09-11
2021 04 taking action against hackers in palestine,threat_actor,meta,2021 04 taking action against hackers in palestine,2021-04-21,https://about.fb.com/news/2021/04/taking-action-against-hackers-in-palestine/,domain,jamila-c8420.firebaseio.com,Palestine,,,,none,,PSS Android C2 Domain,2026-09-11
2021 04 taking action against hackers in palestine,threat_actor,meta,2021 04 taking action against hackers in palestine,2021-04-21,https://about.fb.com/news/2021/04/taking-action-against-hackers-in-palestine/,domain,jamila-c8420.appspot.com,Palestine,,,,none,,PSS Android C2 Domain,2026-09-11
2021 04 taking action against hackers in palestine,threat_actor,meta,2021 04 taking action against hackers in palestine,2021-04-21,https://about.fb.com/news/2021/04/taking-action-against-hackers-in-palestine/,domain,showra-22501.firebaseio.com,Palestine,,,,none,,PSS Android C2 Domain,2026-09-11
2021 04 taking action against hackers in palestine,threat_actor,meta,2021 04 taking action against hackers in palestine,2021-04-21,https://about.fb.com/news/2021/04/taking-action-against-hackers-in-palestine/,domain,showra-22501.appspot.com,Palestine,,,,none,,PSS Android C2 Domain,2026-09-11
2021 04 taking action against hackers in palestine,threat_actor,meta,2021 04 taking action against hackers in palestine,2021-04-21,https://about.fb.com/news/2021/04/taking-action-against-hackers-in-palestine/,domain,goodwork-25869.firebaseio.com,Palestine,,,,none,,PSS Android C2 Domain,2026-09-11
2021 04 taking action against hackers in palestine,threat_actor,meta,2021 04 taking action against hackers in palestine,2021-04-21,https://about.fb.com/news/2021/04/taking-action-against-hackers-in-palestine/,domain,goodwork-25869.appspot.com,Palestine,,,,none,,PSS Android C2 Domain,2026-09-11
2021 04 taking action against hackers in palestine,threat_actor,meta,2021 04 taking action against hackers in palestine,2021-04-21,https://about.fb.com/news/2021/04/taking-action-against-hackers-in-palestine/,domain,advance-chat-app.firebaseio.com,Palestine,,,,none,,PSS Android C2 Domain,2026-09-11
2021 04 taking action against hackers in palestine,threat_actor,meta,2021 04 taking action against hackers in palestine,2021-04-21,https://about.fb.com/news/2021/04/taking-action-against-hackers-in-palestine/,domain,advance-chat-app.appspot.com,Palestine,,,,none,,PSS Android C2 Domain,2026-09-11
2021 04 taking action against hackers in palestine,threat_actor,meta,2021 04 taking action against hackers in palestine,2021-04-21,https://about.fb.com/news/2021/04/taking-action-against-hackers-in-palestine/,domain,filtersapp-715ee.firebaseio.com,Palestine,,,,none,,PSS Android C2 Domain,2026-09-11
2021 04 taking action against hackers in palestine,threat_actor,meta,2021 04 taking action against hackers in palestine,2021-04-21,https://about.fb.com/news/2021/04/taking-action-against-hackers-in-palestine/,domain,filtersapp-715ee.appspot.com,Palestine,,,,none,,PSS Android C2 Domain,2026-09-11
2021 04 taking action against hackers in palestine,threat_actor,meta,2021 04 taking action against hackers in palestine,2021-04-21,https://about.fb.com/news/2021/04/taking-action-against-hackers-in-palestine/,domain,humanrights-1398b.firebaseio.com,Palestine,,,,none,,PSS Android C2 Domain,2026-09-11
2021 04 taking action against hackers in palestine,threat_actor,meta,2021 04 taking action against hackers in palestine,2021-04-21,https://about.fb.com/news/2021/04/taking-action-against-hackers-in-palestine/,domain,humanrights-1398b.appspot.com,Palestine,,,,none,,PSS Android C2 Domain,2026-09-11
2021 04 taking action against hackers in palestine,threat_actor,meta,2021 04 taking action against hackers in palestine,2021-04-21,https://about.fb.com/news/2021/04/taking-action-against-hackers-in-palestine/,domain,jamilabouhaird-c0935.firebaseio.com,Palestine,,,,none,,PSS Android C2 Domain,2026-09-11
2021 04 taking action against hackers in palestine,threat_actor,meta,2021 04 taking action against hackers in palestine,2021-04-21,https://about.fb.com/news/2021/04/taking-action-against-hackers-in-palestine/,domain,jamilabouhaird-c0935.appspot.com,Palestine,,,,none,,PSS Android C2 Domain,2026-09-11
2021 04 taking action against hackers in palestine,threat_actor,meta,2021 04 taking action against hackers in palestine,2021-04-21,https://about.fb.com/news/2021/04/taking-action-against-hackers-in-palestine/,domain,hotchat-f0c0e.appspot.com,Palestine,,,,none,,PSS Android C2 Domain,2026-09-11
2021 04 taking action against hackers in palestine,threat_actor,meta,2021 04 taking action against hackers in palestine,2021-04-21,https://about.fb.com/news/2021/04/taking-action-against-hackers-in-palestine/,domain,hotnewchat.appspot.com,Palestine,,,,none,,PSS Android C2 Domain,2026-09-11
2021 04 taking action against hackers in palestine,threat_actor,meta,2021 04 taking action against hackers in palestine,2021-04-21,https://about.fb.com/news/2021/04/taking-action-against-hackers-in-palestine/,sha256,aeb0c38219e714ab881d0065b9fc1915ba84ad5b86916a82814d056f1dfaf66d,Palestine,,,,none,,PSS Android Malware Hash,2026-09-11
2021 04 taking action against hackers in palestine,threat_actor,meta,2021 04 taking action against hackers in palestine,2021-04-21,https://about.fb.com/news/2021/04/taking-action-against-hackers-in-palestine/,sha256,3c21c0f64ef7b606abb73b9574d0d66895e180e6d1cf2ad21addd5ade79b69fb,Palestine,,,,none,,PSS Android Malware Hash,2026-09-11
2021 04 taking action against hackers in palestine,threat_actor,meta,2021 04 taking action against hackers in palestine,2021-04-21,https://about.fb.com/news/2021/04/taking-action-against-hackers-in-palestine/,sha256,d2787aff6e827809b836e62b06cca68bec92b3e2144f132a0015ce397cf3cac2,Palestine,,,,none,,PSS Android Malware Hash,2026-09-11
2021 04 taking action against hackers in palestine,threat_actor,meta,2021 04 taking action against hackers in palestine,2021-04-21,https://about.fb.com/news/2021/04/taking-action-against-hackers-in-palestine/,sha256,2580f7afb4746b223b14aceab76bd8bc2e4366bfa55ebf203de2715176032525,Palestine,,,,none,,PSS Android Malware Hash,2026-09-11
2021 04 taking action against hackers in palestine,threat_actor,meta,2021 04 taking action against hackers in palestine,2021-04-21,https://about.fb.com/news/2021/04/taking-action-against-hackers-in-palestine/,sha256,f7ea82e4c329bf8e29e9da37fcaf35201dd79c2fc55cc0feb88aedf0b2d26ec2,Palestine,,,,none,,PSS Android Malware Hash,2026-09-11
