actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
2021 07 taking action against hackers in iran,threat_actor,meta,2021 07 taking action against hackers in iran,2021-07-15,https://about.fb.com/news/2021/07/taking-action-against-hackers-in-iran/,domain,1st-smtp2go.email,Iran,,,,none,,Iran: Tortoiseshell related Domain,2026-09-11
2021 07 taking action against hackers in iran,threat_actor,meta,2021 07 taking action against hackers in iran,2021-07-15,https://about.fb.com/news/2021/07/taking-action-against-hackers-in-iran/,domain,2nd-smtp2go.email,Iran,,,,none,,Iran: Tortoiseshell related Domain,2026-09-11
2021 07 taking action against hackers in iran,threat_actor,meta,2021 07 taking action against hackers in iran,2021-07-15,https://about.fb.com/news/2021/07/taking-action-against-hackers-in-iran/,domain,3rd-smtp2go.email,Iran,,,,none,,Iran: Tortoiseshell related Domain,2026-09-11
2021 07 taking action against hackers in iran,threat_actor,meta,2021 07 taking action against hackers in iran,2021-07-15,https://about.fb.com/news/2021/07/taking-action-against-hackers-in-iran/,domain,4th-smtp2go.email,Iran,,,,none,,Iran: Tortoiseshell related Domain,2026-09-11
2021 07 taking action against hackers in iran,threat_actor,meta,2021 07 taking action against hackers in iran,2021-07-15,https://about.fb.com/news/2021/07/taking-action-against-hackers-in-iran/,domain,accounts.cam,Iran,,,,none,,Iran: Tortoiseshell related Domain,2026-09-11
2021 07 taking action against hackers in iran,threat_actor,meta,2021 07 taking action against hackers in iran,2021-07-15,https://about.fb.com/news/2021/07/taking-action-against-hackers-in-iran/,domain,activesessions.me,Iran,,,,none,,Iran: Tortoiseshell related Domain,2026-09-11
2021 07 taking action against hackers in iran,threat_actor,meta,2021 07 taking action against hackers in iran,2021-07-15,https://about.fb.com/news/2021/07/taking-action-against-hackers-in-iran/,domain,adobes.software,Iran,,,,none,,Iran: Tortoiseshell related Domain,2026-09-11
2021 07 taking action against hackers in iran,threat_actor,meta,2021 07 taking action against hackers in iran,2021-07-15,https://about.fb.com/news/2021/07/taking-action-against-hackers-in-iran/,domain,alhds.net,Iran,,,,none,,Iran: Tortoiseshell related Domain,2026-09-11
2021 07 taking action against hackers in iran,threat_actor,meta,2021 07 taking action against hackers in iran,2021-07-15,https://about.fb.com/news/2021/07/taking-action-against-hackers-in-iran/,domain,apppure.cf,Iran,,,,none,,Iran: Tortoiseshell related Domain,2026-09-11
2021 07 taking action against hackers in iran,threat_actor,meta,2021 07 taking action against hackers in iran,2021-07-15,https://about.fb.com/news/2021/07/taking-action-against-hackers-in-iran/,domain,bahri.site,Iran,,,,none,,Iran: Tortoiseshell related Domain,2026-09-11
2021 07 taking action against hackers in iran,threat_actor,meta,2021 07 taking action against hackers in iran,2021-07-15,https://about.fb.com/news/2021/07/taking-action-against-hackers-in-iran/,domain,bbcnews.email,Iran,,,,none,,Iran: Tortoiseshell related Domain,2026-09-11
