actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,2y4nothing.xyz,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,5m5.io,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,addons.news,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,adibjan.net,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,adservices.gr.com,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,adultpcz.xyz,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,advertsservices.com,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,advfb.xyz,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,affise.app,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,almasryelyuom.com,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,alpineai.uk,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,alraeeenews.com,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,alraeesnews.net,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,altsantiri.news,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,amazing.lab,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,ancienthistory.xyz,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,android-apps.tech,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,api-apple-buy.com,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,api-telecommunication.com,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,applepps.com,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,apps-ios.net,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,aramexegypt.com,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,atheere.com,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,audit-pvv.com,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,bank-alahly.com,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,bbcsworld.com,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,bitlinkin.xyz,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,bi.tly.gr.com,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,bi.tly.link,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,bit-li.com,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,bit-li.ws,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,bit-ly.link,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,bit-ly.org,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,bitlly.live,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,bitlyrs.com,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,bitt.fi,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,bity.ws,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,bityl.me,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,blacktrail.xyz,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,bmw.gr.com,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,bookjob.club,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,browsercheck.services,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,bumabara.bid,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,burgerprince.us,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,businesnews.net,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,canyouc.xyz,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,carrefourmisr.com,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,cbbc01.xyz,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,celebrnewz.xyz,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,cellconn.net,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,charmander.xyz,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,chatwithme.store,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,citroen.gr.com,,,,,none,,Cytrox Domain,2026-09-11
2021 12 taking action against surveillance for hire,threat_actor,meta,2021 12 taking action against surveillance for hire,2021-12-16,https://about.fb.com/news/2021/12/taking-action-against-surveillance-for-hire/,domain,ckforward.one,,,,,none,,Cytrox Domain,2026-09-11
