actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
2022 09 removing coordinated inauthentic behavior from china and russia,threat_actor,meta,2022 09 removing coordinated inauthentic behavior from china and russia,2022-09-27,https://about.fb.com/news/2022/09/removing-coordinated-inauthentic-behavior-from-china-and-russia/,url,https://www.petice[.]com/poadavek_aby_vlada_fiala_kladla_na_prvni_misto_zajmy_svych_oban,China,,,,none,,[cib url] China: CIB Petition,2026-09-11
2022 09 removing coordinated inauthentic behavior from china and russia,threat_actor,meta,2022 09 removing coordinated inauthentic behavior from china and russia,2022-09-27,https://about.fb.com/news/2022/09/removing-coordinated-inauthentic-behavior-from-china-and-russia/,url,https://e-petice[.]cz/petitions/pozadavek-aby-vlada-fiala-kladla-na-prvni-misto-zajmy-svych-obcanu-1.html,China,,,,none,,[cib url] China: CIB Petition,2026-09-11
2022 09 removing coordinated inauthentic behavior from china and russia,threat_actor,meta,2022 09 removing coordinated inauthentic behavior from china and russia,2022-09-27,https://about.fb.com/news/2022/09/removing-coordinated-inauthentic-behavior-from-china-and-russia/,domain,avisindependent.eu,China,,,,none,,France-targeting CIB domain,2026-09-11
2022 09 removing coordinated inauthentic behavior from china and russia,threat_actor,meta,2022 09 removing coordinated inauthentic behavior from china and russia,2022-09-27,https://about.fb.com/news/2022/09/removing-coordinated-inauthentic-behavior-from-china-and-russia/,domain,bild.pics,China,,,,none,,Germany-targeting CIB domain,2026-09-11
2022 09 removing coordinated inauthentic behavior from china and russia,threat_actor,meta,2022 09 removing coordinated inauthentic behavior from china and russia,2022-09-27,https://about.fb.com/news/2022/09/removing-coordinated-inauthentic-behavior-from-china-and-russia/,domain,rrn.world,China,,,,none,,Multiple-targeting CIB domain,2026-09-11
2022 09 removing coordinated inauthentic behavior from china and russia,threat_actor,meta,2022 09 removing coordinated inauthentic behavior from china and russia,2022-09-27,https://about.fb.com/news/2022/09/removing-coordinated-inauthentic-behavior-from-china-and-russia/,domain,welt.tours,China,,,,none,,Germany-targeting CIB domain,2026-09-11
2022 09 removing coordinated inauthentic behavior from china and russia,threat_actor,meta,2022 09 removing coordinated inauthentic behavior from china and russia,2022-09-27,https://about.fb.com/news/2022/09/removing-coordinated-inauthentic-behavior-from-china-and-russia/,domain,dailymail.top,China,,,,none,,UK-targeting CIB domain,2026-09-11
2022 09 removing coordinated inauthentic behavior from china and russia,threat_actor,meta,2022 09 removing coordinated inauthentic behavior from china and russia,2022-09-27,https://about.fb.com/news/2022/09/removing-coordinated-inauthentic-behavior-from-china-and-russia/,domain,repubblica.life,China,,,,none,,Italy-targeting CIB domain,2026-09-11
2022 09 removing coordinated inauthentic behavior from china and russia,threat_actor,meta,2022 09 removing coordinated inauthentic behavior from china and russia,2022-09-27,https://about.fb.com/news/2022/09/removing-coordinated-inauthentic-behavior-from-china-and-russia/,domain,delfi.life,China,,,,none,,Latvia-targeting CIB domain,2026-09-11
2022 09 removing coordinated inauthentic behavior from china and russia,threat_actor,meta,2022 09 removing coordinated inauthentic behavior from china and russia,2022-09-27,https://about.fb.com/news/2022/09/removing-coordinated-inauthentic-behavior-from-china-and-russia/,domain,dailymail.cam,China,,,,none,,UK-targeting CIB domain,2026-09-11
2022 09 removing coordinated inauthentic behavior from china and russia,threat_actor,meta,2022 09 removing coordinated inauthentic behavior from china and russia,2022-09-27,https://about.fb.com/news/2022/09/removing-coordinated-inauthentic-behavior-from-china-and-russia/,domain,dailymail.cfd,China,,,,none,,UK-targeting CIB domain,2026-09-11
2022 09 removing coordinated inauthentic behavior from china and russia,threat_actor,meta,2022 09 removing coordinated inauthentic behavior from china and russia,2022-09-27,https://about.fb.com/news/2022/09/removing-coordinated-inauthentic-behavior-from-china-and-russia/,domain,20minuts.com,China,,,,none,,France-targeting CIB domain,2026-09-11
2022 09 removing coordinated inauthentic behavior from china and russia,threat_actor,meta,2022 09 removing coordinated inauthentic behavior from china and russia,2022-09-27,https://about.fb.com/news/2022/09/removing-coordinated-inauthentic-behavior-from-china-and-russia/,domain,ansa.ltd,China,,,,none,,Italy-targeting CIB domain,2026-09-11
2022 09 removing coordinated inauthentic behavior from china and russia,threat_actor,meta,2022 09 removing coordinated inauthentic behavior from china and russia,2022-09-27,https://about.fb.com/news/2022/09/removing-coordinated-inauthentic-behavior-from-china-and-russia/,domain,spiegel.ltd,China,,,,none,,Germany-targeting CIB domain,2026-09-11
2022 09 removing coordinated inauthentic behavior from china and russia,threat_actor,meta,2022 09 removing coordinated inauthentic behavior from china and russia,2022-09-27,https://about.fb.com/news/2022/09/removing-coordinated-inauthentic-behavior-from-china-and-russia/,domain,theguardian.co.com,China,,,,none,,UK-targeting CIB domain,2026-09-11
2022 09 removing coordinated inauthentic behavior from china and russia,threat_actor,meta,2022 09 removing coordinated inauthentic behavior from china and russia,2022-09-27,https://about.fb.com/news/2022/09/removing-coordinated-inauthentic-behavior-from-china-and-russia/,domain,bild.asia,China,,,,none,,Germany-targeting CIB domain,2026-09-11
2022 09 removing coordinated inauthentic behavior from china and russia,threat_actor,meta,2022 09 removing coordinated inauthentic behavior from china and russia,2022-09-27,https://about.fb.com/news/2022/09/removing-coordinated-inauthentic-behavior-from-china-and-russia/,domain,bild.vip,China,,,,none,,Germany-targeting CIB domain,2026-09-11
2022 09 removing coordinated inauthentic behavior from china and russia,threat_actor,meta,2022 09 removing coordinated inauthentic behavior from china and russia,2022-09-27,https://about.fb.com/news/2022/09/removing-coordinated-inauthentic-behavior-from-china-and-russia/,domain,delfi.today,China,,,,none,,Latvia-targeting CIB domain,2026-09-11
2022 09 removing coordinated inauthentic behavior from china and russia,threat_actor,meta,2022 09 removing coordinated inauthentic behavior from china and russia,2022-09-27,https://about.fb.com/news/2022/09/removing-coordinated-inauthentic-behavior-from-china-and-russia/,domain,delfi.top,China,,,,none,,Latvia-targeting CIB domain,2026-09-11
2022 09 removing coordinated inauthentic behavior from china and russia,threat_actor,meta,2022 09 removing coordinated inauthentic behavior from china and russia,2022-09-27,https://about.fb.com/news/2022/09/removing-coordinated-inauthentic-behavior-from-china-and-russia/,domain,rbk.today,China,,,,none,,Ukraine-targeting CIB domain,2026-09-11
2022 09 removing coordinated inauthentic behavior from china and russia,threat_actor,meta,2022 09 removing coordinated inauthentic behavior from china and russia,2022-09-27,https://about.fb.com/news/2022/09/removing-coordinated-inauthentic-behavior-from-china-and-russia/,domain,spiegel.today,China,,,,none,,Germany-targeting CIB domain,2026-09-11
2022 09 removing coordinated inauthentic behavior from china and russia,threat_actor,meta,2022 09 removing coordinated inauthentic behavior from china and russia,2022-09-27,https://about.fb.com/news/2022/09/removing-coordinated-inauthentic-behavior-from-china-and-russia/,domain,spiegel.fun,China,,,,none,,Germany-targeting CIB domain,2026-09-11
2022 09 removing coordinated inauthentic behavior from china and russia,threat_actor,meta,2022 09 removing coordinated inauthentic behavior from china and russia,2022-09-27,https://about.fb.com/news/2022/09/removing-coordinated-inauthentic-behavior-from-china-and-russia/,domain,spiegel.quest,China,,,,none,,Germany-targeting CIB domain,2026-09-11
2022 09 removing coordinated inauthentic behavior from china and russia,threat_actor,meta,2022 09 removing coordinated inauthentic behavior from china and russia,2022-09-27,https://about.fb.com/news/2022/09/removing-coordinated-inauthentic-behavior-from-china-and-russia/,domain,tonline.cfd,China,,,,none,,Germany-targeting CIB domain,2026-09-11
2022 09 removing coordinated inauthentic behavior from china and russia,threat_actor,meta,2022 09 removing coordinated inauthentic behavior from china and russia,2022-09-27,https://about.fb.com/news/2022/09/removing-coordinated-inauthentic-behavior-from-china-and-russia/,domain,tonline.life,China,,,,none,,Germany-targeting CIB domain,2026-09-11
2022 09 removing coordinated inauthentic behavior from china and russia,threat_actor,meta,2022 09 removing coordinated inauthentic behavior from china and russia,2022-09-27,https://about.fb.com/news/2022/09/removing-coordinated-inauthentic-behavior-from-china-and-russia/,domain,tonline.today,China,,,,none,,Germany-targeting CIB domain,2026-09-11
2022 09 removing coordinated inauthentic behavior from china and russia,threat_actor,meta,2022 09 removing coordinated inauthentic behavior from china and russia,2022-09-27,https://about.fb.com/news/2022/09/removing-coordinated-inauthentic-behavior-from-china-and-russia/,domain,spiegel.pro,China,,,,none,,Germany-targeting CIB domain,2026-09-11
2022 09 removing coordinated inauthentic behavior from china and russia,threat_actor,meta,2022 09 removing coordinated inauthentic behavior from china and russia,2022-09-27,https://about.fb.com/news/2022/09/removing-coordinated-inauthentic-behavior-from-china-and-russia/,domain,bild.eu.com,China,,,,none,,Germany-targeting CIB domain,2026-09-11
