actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
Pakistan APT,threat_actor,meta,Q1_2023_ Pakistan_APT,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Pakistan_APT.csv,domain,bingechat[.]net,Pakistan,,,"0 Acquiring Assets > 0.6 Acquiring domains > 0.6.1 Acquiring domains to host, deploy, and
support malware campaigns",meta_kill_chain,,Domain hosting GravityRAT malware,2026-09-11
Pakistan APT,threat_actor,meta,Q1_2023_ Pakistan_APT,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Pakistan_APT.csv,domain,cloudinfinity[.]co[.]uk,Pakistan,,,"0 Acquiring Assets > 0.6 Acquiring domains > 0.6.1 Acquiring domains to host, deploy, and
support malware campaigns",meta_kill_chain,,Domain hosting GravityRAT malware,2026-09-11
Pakistan APT,threat_actor,meta,Q1_2023_ Pakistan_APT,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Pakistan_APT.csv,domain,vaultcloud[.]net,Pakistan,,,"0 Acquiring Assets > 0.6 Acquiring domains > 0.6.1 Acquiring domains to host, deploy, and
support malware campaigns",meta_kill_chain,,Domain hosting GravityRAT malware,2026-09-11
Pakistan APT,threat_actor,meta,Q1_2023_ Pakistan_APT,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Pakistan_APT.csv,domain,cloudstore[.]net[.]in,Pakistan,,,"0 Acquiring Assets > 0.6 Acquiring domains > 0.6.1 Acquiring domains to host, deploy, and
support malware campaigns",meta_kill_chain,,Domain hosting GravityRAT malware,2026-09-11
Pakistan APT,threat_actor,meta,Q1_2023_ Pakistan_APT,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Pakistan_APT.csv,domain,chatico[.]co[.]uk,Pakistan,,,"0 Acquiring Assets > 0.6 Acquiring domains > 0.6.1 Acquiring domains to host, deploy, and
support malware campaigns",meta_kill_chain,,Domain hosting GravityRAT malware,2026-09-11
Pakistan APT,threat_actor,meta,Q1_2023_ Pakistan_APT,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Pakistan_APT.csv,domain,textra360[.]com,Pakistan,,,"0 Acquiring Assets > 0.6 Acquiring domains > 0.6.1 Acquiring domains to host, deploy, and
support malware campaigns",meta_kill_chain,,Domain likely used to host cross-compiled Gravity RAT malware for MacOS,2026-09-11
Pakistan APT,threat_actor,meta,Q1_2023_ Pakistan_APT,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Pakistan_APT.csv,domain,moviedate[.]co[.]uk,Pakistan,,,"0 Acquiring Assets > 0.6 Acquiring domains > 0.6.1 Acquiring domains to host, deploy, and
support malware campaigns",meta_kill_chain,,,2026-09-11
Pakistan APT,threat_actor,meta,Q1_2023_ Pakistan_APT,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Pakistan_APT.csv,domain,sexyber[.]net,Pakistan,,,"0 Acquiring Assets > 0.6 Acquiring domains > 0.6.1 Acquiring domains to host, deploy, and
support malware campaigns",meta_kill_chain,,,2026-09-11
Pakistan APT,threat_actor,meta,Q1_2023_ Pakistan_APT,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Pakistan_APT.csv,domain,webbucket[.]co[.]uk,Pakistan,,,"0 Acquiring Assets > 0.6 Acquiring domains > 0.6.1 Acquiring domains to host, deploy, and
support malware campaigns",meta_kill_chain,,,2026-09-11
Pakistan APT,threat_actor,meta,Q1_2023_ Pakistan_APT,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Pakistan_APT.csv,domain,cvscout[.]uk,Pakistan,,,"0 Acquiring Assets > 0.6 Acquiring domains > 0.6.1 Acquiring domains to host, deploy, and
support malware campaigns",meta_kill_chain,,,2026-09-11
