actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
Patchwork APT,threat_actor,meta,Q1_2023_ Patchwork_APT,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Patchwork_APT.csv,behavior,9481f10c51e9ad5b36846978587b4374,Patchwork,,,0 Acquiring assets > 0.8 Acquiring apps > 0.8.1 Creating apps,meta_kill_chain,,JustPing hash,2026-09-11
Patchwork APT,threat_actor,meta,Q1_2023_ Patchwork_APT,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Patchwork_APT.csv,behavior,c11ed89d2584564fdb99d6ba1b42bd7d,Patchwork,,,0 Acquiring assets > 0.8 Acquiring apps > 0.8.1 Creating apps,meta_kill_chain,,Howdee hash,2026-09-11
Patchwork APT,threat_actor,meta,Q1_2023_ Patchwork_APT,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Patchwork_APT.csv,behavior,a626a32a17bc49d2858798dcae3f36ee,Patchwork,,,0 Acquiring assets > 0.8 Acquiring apps > 0.8.1 Creating apps,meta_kill_chain,,Click hash,2026-09-11
Patchwork APT,threat_actor,meta,Q1_2023_ Patchwork_APT,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Patchwork_APT.csv,behavior,About 50 accounts on Facebook and Instagram,Patchwork,,,0 Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Patchwork APT,threat_actor,meta,Q1_2023_ Patchwork_APT,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Patchwork_APT.csv,behavior,About 50 accounts on Facebook and Instagram,Patchwork,,,0 Acquiring assets > 0.9 Acquiring social media accounts > 0.9.2 Acquiring Instagram accounts,meta_kill_chain,,,2026-09-11
Patchwork APT,threat_actor,meta,Q1_2023_ Patchwork_APT,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Patchwork_APT.csv,domain,securemessagingapps[.]blogspot[.]com,Patchwork,,,0 Acquiring assets > 0.9 Acquiring social media accounts > 0.9.8 Acquiring accounts on online forums,meta_kill_chain,,,2026-09-11
Patchwork APT,threat_actor,meta,Q1_2023_ Patchwork_APT,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Patchwork_APT.csv,behavior,Posing as journalists for news media outlets,Patchwork,,,1 Disguising assets > 1.2 Posing as non-existent person > 1.2.2 Posing as fictional journalist,meta_kill_chain,,,2026-09-11
Patchwork APT,threat_actor,meta,Q1_2023_ Patchwork_APT,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Patchwork_APT.csv,behavior,Posing as journalists for fictional outlets,Patchwork,,,1 Disguising assets > 1.2 Posing as non-existent person > 1.2.2 Posing as fictional journalist,meta_kill_chain,,,2026-09-11
Patchwork APT,threat_actor,meta,Q1_2023_ Patchwork_APT,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Patchwork_APT.csv,behavior,Posing as military personnel,Patchwork,,,1 Disguising assets > 1.2 Posing as non-existent person > 1.2.5 Posing as fictional military personnel,meta_kill_chain,,,2026-09-11
Patchwork APT,threat_actor,meta,Q1_2023_ Patchwork_APT,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_%20Patchwork_APT.csv,behavior,Posing as defense intelligence consultants,Patchwork,,,1 Disguising assets > 1.2 Posing as non-existent person > 1.2.8 Posing as fictional person in target region,meta_kill_chain,,,2026-09-11
