actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
Venezuela US-based CIB network,influence_operation,meta,Q1_2023_Venezuela_US-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_Venezuela_US-based_CIB_network.csv,behavior,"Predictvia, a Florida-registered firm",Venezuela,,,0 Acquiring assets > 0.4 Acquiring business assets > 0.4.1 Registering company,meta_kill_chain,,,2026-09-11
Venezuela US-based CIB network,influence_operation,meta,Q1_2023_Venezuela_US-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_Venezuela_US-based_CIB_network.csv,asset_count,21 accounts,Venezuela,,,0 Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Venezuela US-based CIB network,influence_operation,meta,Q1_2023_Venezuela_US-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_Venezuela_US-based_CIB_network.csv,behavior,"The network used some Facebook accounts with Cyrillic names that nevertheless posted in Spanish, and were likely acquired from account farms in Eastern Europe",Venezuela,,,0 Acquiring assets > 0.9 Acquiring social media accounts > 0.9.9 Acquiring and repurposing accounts,meta_kill_chain,,,2026-09-11
Venezuela US-based CIB network,influence_operation,meta,Q1_2023_Venezuela_US-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_Venezuela_US-based_CIB_network.csv,asset_count,88 Pages,Venezuela,,,0 Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Venezuela US-based CIB network,influence_operation,meta,Q1_2023_Venezuela_US-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_Venezuela_US-based_CIB_network.csv,domain,eleccionesguate2023[.]com,Venezuela,,,0 Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Venezuela US-based CIB network,influence_operation,meta,Q1_2023_Venezuela_US-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_Venezuela_US-based_CIB_network.csv,domain,catrachonews[.]com,Venezuela,,,0 Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Venezuela US-based CIB network,influence_operation,meta,Q1_2023_Venezuela_US-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_Venezuela_US-based_CIB_network.csv,domain,hondurasleaks[.]com,Venezuela,,,0 Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Venezuela US-based CIB network,influence_operation,meta,Q1_2023_Venezuela_US-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_Venezuela_US-based_CIB_network.csv,behavior,Configure eleccionesguate2023[.]com with Titan.email service,Venezuela,,,0 Acquiring assets > 0.2 Acquiring email addresses > 0.2.1 Acquiring email addresses on owned domains,meta_kill_chain,,,2026-09-11
Venezuela US-based CIB network,influence_operation,meta,Q1_2023_Venezuela_US-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_Venezuela_US-based_CIB_network.csv,behavior,Configure catrachonews[.]com with Titan.email service,Venezuela,,,0 Acquiring assets > 0.2 Acquiring email addresses > 0.2.1 Acquiring email addresses on owned domains,meta_kill_chain,,,2026-09-11
Venezuela US-based CIB network,influence_operation,meta,Q1_2023_Venezuela_US-based_CIB_network,2023-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2023/Q1_2023_Venezuela_US-based_CIB_network.csv,url,https://twitter[.]com/elecciongt2023,Venezuela,,,0 Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
