actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
Q2 2023 Türkiye-based CIB network 2,influence_operation,meta,Q2 2023 Türkiye-based CIB network 2,2023-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2023%20/Q2%202023%20Türkiye-based%20CIB%20network%202.csv,domain,favreports.com,,,,0 Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Q2 2023 Türkiye-based CIB network 2,influence_operation,meta,Q2 2023 Türkiye-based CIB network 2,2023-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2023%20/Q2%202023%20Türkiye-based%20CIB%20network%202.csv,domain,bin945creative.com,,,,0 Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Q2 2023 Türkiye-based CIB network 2,influence_operation,meta,Q2 2023 Türkiye-based CIB network 2,2023-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2023%20/Q2%202023%20Türkiye-based%20CIB%20network%202.csv,asset_count,60 accounts,,,,0 Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Q2 2023 Türkiye-based CIB network 2,influence_operation,meta,Q2 2023 Türkiye-based CIB network 2,2023-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2023%20/Q2%202023%20Türkiye-based%20CIB%20network%202.csv,asset_count,37 Pages,,,,0 Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Q2 2023 Türkiye-based CIB network 2,influence_operation,meta,Q2 2023 Türkiye-based CIB network 2,2023-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2023%20/Q2%202023%20Türkiye-based%20CIB%20network%202.csv,asset_count,2 Groups,,,,0 Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Q2 2023 Türkiye-based CIB network 2,influence_operation,meta,Q2 2023 Türkiye-based CIB network 2,2023-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2023%20/Q2%202023%20Türkiye-based%20CIB%20network%202.csv,asset_count,20 Instagram accounts,,,,0 Acquiring assets > 0.9 Acquiring social media accounts > 0.9.2 Acquiring Instagram accounts,meta_kill_chain,,,2026-09-11
Q2 2023 Türkiye-based CIB network 2,influence_operation,meta,Q2 2023 Türkiye-based CIB network 2,2023-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2023%20/Q2%202023%20Türkiye-based%20CIB%20network%202.csv,url,https://twitter[.]com/themarginale,,,,0 Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
Q2 2023 Türkiye-based CIB network 2,influence_operation,meta,Q2 2023 Türkiye-based CIB network 2,2023-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2023%20/Q2%202023%20Türkiye-based%20CIB%20network%202.csv,url,https://twitter[.]com/buyukdirilis,,,,0 Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
Q2 2023 Türkiye-based CIB network 2,influence_operation,meta,Q2 2023 Türkiye-based CIB network 2,2023-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2023%20/Q2%202023%20Türkiye-based%20CIB%20network%202.csv,url,https://twitter[.]com/siyasetcanli,,,,0 Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
Q2 2023 Türkiye-based CIB network 2,influence_operation,meta,Q2 2023 Türkiye-based CIB network 2,2023-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2023%20/Q2%202023%20Türkiye-based%20CIB%20network%202.csv,url,https://twitter[.]com/BTSPaylasimlari,,,,0 Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
