actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
Q2 2023  Türkiye   Iran-based CIB network,influence_operation,meta,Q2 2023_ Türkiye _ Iran-based CIB network,2023-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2023%20/Q2%202023_%20Türkiye%20_%20Iran-based%20CIB%20network.csv,domain,7sabah[.]com[.]tr,Iran,,,0 Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Q2 2023  Türkiye   Iran-based CIB network,influence_operation,meta,Q2 2023_ Türkiye _ Iran-based CIB network,2023-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2023%20/Q2%202023_%20Türkiye%20_%20Iran-based%20CIB%20network.csv,domain,israilpost[.]com,Iran,,,0 Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Q2 2023  Türkiye   Iran-based CIB network,influence_operation,meta,Q2 2023_ Türkiye _ Iran-based CIB network,2023-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2023%20/Q2%202023_%20Türkiye%20_%20Iran-based%20CIB%20network.csv,domain,yedinot[.]com,Iran,,,0 Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Q2 2023  Türkiye   Iran-based CIB network,influence_operation,meta,Q2 2023_ Türkiye _ Iran-based CIB network,2023-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2023%20/Q2%202023_%20Türkiye%20_%20Iran-based%20CIB%20network.csv,domain,amerikagozlemi[.]com,Iran,,,0 Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Q2 2023  Türkiye   Iran-based CIB network,influence_operation,meta,Q2 2023_ Türkiye _ Iran-based CIB network,2023-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2023%20/Q2%202023_%20Türkiye%20_%20Iran-based%20CIB%20network.csv,domain,7sabah[.]com,Iran,,,0 Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Q2 2023  Türkiye   Iran-based CIB network,influence_operation,meta,Q2 2023_ Türkiye _ Iran-based CIB network,2023-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2023%20/Q2%202023_%20Türkiye%20_%20Iran-based%20CIB%20network.csv,domain,ulkededegisim[.]com,Iran,,,0 Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Q2 2023  Türkiye   Iran-based CIB network,influence_operation,meta,Q2 2023_ Türkiye _ Iran-based CIB network,2023-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2023%20/Q2%202023_%20Türkiye%20_%20Iran-based%20CIB%20network.csv,asset_count,22 accounts,Iran,,,0 Acquiring assets > 0.9 Acquiring social media assets > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Q2 2023  Türkiye   Iran-based CIB network,influence_operation,meta,Q2 2023_ Türkiye _ Iran-based CIB network,2023-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2023%20/Q2%202023_%20Türkiye%20_%20Iran-based%20CIB%20network.csv,asset_count,21 Pages,Iran,,,0 Acquiring assets > 0.9 Acquiring social media assets > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Q2 2023  Türkiye   Iran-based CIB network,influence_operation,meta,Q2 2023_ Türkiye _ Iran-based CIB network,2023-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2023%20/Q2%202023_%20Türkiye%20_%20Iran-based%20CIB%20network.csv,asset_count,7 Instagram accounts,Iran,,,0 Acquiring assets > 0.9 Acquiring social media assets > 0.9.2 Acquiring Instagram accounts,meta_kill_chain,,,2026-09-11
Q2 2023  Türkiye   Iran-based CIB network,influence_operation,meta,Q2 2023_ Türkiye _ Iran-based CIB network,2023-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2023%20/Q2%202023_%20Türkiye%20_%20Iran-based%20CIB%20network.csv,url,https://twitter[.]com/7sabahhaber1,Iran,,,0 Acquiring assets > 0.9 Acquiring social media assets > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
