actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
China-based CIB network 2,influence_operation,meta,Q3_2023_China-based_CIB_network_2,2023-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2023/Q3_2023_China-based_CIB_network_2.csv,asset_count,"4,789 accounts",China,,,0. Acqiuring Assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
China-based CIB network 2,influence_operation,meta,Q3_2023_China-based_CIB_network_2,2023-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2023/Q3_2023_China-based_CIB_network_2.csv,url,https://twitter[.]com/BoltinMich2800,China,,,0. Acqiuring Assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
China-based CIB network 2,influence_operation,meta,Q3_2023_China-based_CIB_network_2,2023-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2023/Q3_2023_China-based_CIB_network_2.csv,url,https://twitter[.]com/GuzowskiJo48073,China,,,0. Acqiuring Assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
China-based CIB network 2,influence_operation,meta,Q3_2023_China-based_CIB_network_2,2023-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2023/Q3_2023_China-based_CIB_network_2.csv,url,https://twitter[.]com/JeroenWolf52208,China,,,0. Acqiuring Assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
China-based CIB network 2,influence_operation,meta,Q3_2023_China-based_CIB_network_2,2023-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2023/Q3_2023_China-based_CIB_network_2.csv,url,https://twitter[.]com/NoelLam362767,China,,,0. Acqiuring Assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
China-based CIB network 2,influence_operation,meta,Q3_2023_China-based_CIB_network_2,2023-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2023/Q3_2023_China-based_CIB_network_2.csv,url,https://twitter[.]com/BethKander76343,China,,,0. Acqiuring Assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
China-based CIB network 2,influence_operation,meta,Q3_2023_China-based_CIB_network_2,2023-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2023/Q3_2023_China-based_CIB_network_2.csv,url,https://twitter[.]com/CranStuart908,China,,,0. Acqiuring Assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
China-based CIB network 2,influence_operation,meta,Q3_2023_China-based_CIB_network_2,2023-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2023/Q3_2023_China-based_CIB_network_2.csv,url,https://twitter[.]com/longstaffe64991,China,,,0. Acqiuring Assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
China-based CIB network 2,influence_operation,meta,Q3_2023_China-based_CIB_network_2,2023-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2023/Q3_2023_China-based_CIB_network_2.csv,url,https://twitter[.]com/Burtonj20,China,,,0. Acqiuring Assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
China-based CIB network 2,influence_operation,meta,Q3_2023_China-based_CIB_network_2,2023-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2023/Q3_2023_China-based_CIB_network_2.csv,url,https://twitter[.]com/ThomasTa52187,China,,,0. Acqiuring Assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
