actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
Russia-based CIB network,influence_operation,meta,Q3_2023_ Russia-based_CIB_network,2023-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2023/Q3_2023_%20Russia-based_CIB_network.csv,asset_count,6 accounts,Russia,,,0. Acqiuring Assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Russia-based CIB network,influence_operation,meta,Q3_2023_ Russia-based_CIB_network,2023-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2023/Q3_2023_%20Russia-based_CIB_network.csv,asset_count,1 Page,Russia,,,0. Acqiuring Assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Russia-based CIB network,influence_operation,meta,Q3_2023_ Russia-based_CIB_network,2023-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2023/Q3_2023_%20Russia-based_CIB_network.csv,asset_count,3 Instagram accounts,Russia,,,0. Acqiuring Assets > 0.9 Acquiring social media accounts > 0.9.2 Acquiring Instagram accounts,meta_kill_chain,,,2026-09-11
Russia-based CIB network,influence_operation,meta,Q3_2023_ Russia-based_CIB_network,2023-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2023/Q3_2023_%20Russia-based_CIB_network.csv,url,https://twitter[.]com/PeopleSayNews,Russia,,,0. Acqiuring Assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
Russia-based CIB network,influence_operation,meta,Q3_2023_ Russia-based_CIB_network,2023-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2023/Q3_2023_%20Russia-based_CIB_network.csv,url,https://twitter[.]com/militarywave001,Russia,,,0. Acqiuring Assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
Russia-based CIB network,influence_operation,meta,Q3_2023_ Russia-based_CIB_network,2023-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2023/Q3_2023_%20Russia-based_CIB_network.csv,url,https://www.youtube[.]com/@PeopleSayofficial,Russia,,,0. Acqiuring Assets > 0.9 Acquiring social media accounts > 0.9.5 Acquiring YouTube channels,meta_kill_chain,,,2026-09-11
Russia-based CIB network,influence_operation,meta,Q3_2023_ Russia-based_CIB_network,2023-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2023/Q3_2023_%20Russia-based_CIB_network.csv,url,https://www.youtube[.]com/@MilitaryWaves,Russia,,,0. Acqiuring Assets > 0.9 Acquiring social media accounts > 0.9.5 Acquiring YouTube channels,meta_kill_chain,,,2026-09-11
Russia-based CIB network,influence_operation,meta,Q3_2023_ Russia-based_CIB_network,2023-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2023/Q3_2023_%20Russia-based_CIB_network.csv,url,https://www.tiktok[.]com/@peoplesay05,Russia,,,0. Acqiuring Assets > 0.9 Acquiring social media accounts > 0.9.6 Acquiring TikTok accounts,meta_kill_chain,,,2026-09-11
Russia-based CIB network,influence_operation,meta,Q3_2023_ Russia-based_CIB_network,2023-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2023/Q3_2023_%20Russia-based_CIB_network.csv,url,https://t[.]me/ps_peoplesay,Russia,,,0. Acqiuring Assets > 0.9 Acquiring social media accounts > 0.9.7 Acquiring Telegram channels,meta_kill_chain,,,2026-09-11
Russia-based CIB network,influence_operation,meta,Q3_2023_ Russia-based_CIB_network,2023-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2023/Q3_2023_%20Russia-based_CIB_network.csv,url,https://t[.]me/militarywave,Russia,,,0. Acqiuring Assets > 0.9 Acquiring social media accounts > 0.9.7 Acquiring Telegram channels,meta_kill_chain,,,2026-09-11
