actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
Myanmar based CIB network,influence_operation,meta,Q4_2023_Myanmar_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Myanmar_based_CIB_network.csv,domain,hminewai[.]com,Myanmar,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Myanmar based CIB network,influence_operation,meta,Q4_2023_Myanmar_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Myanmar_based_CIB_network.csv,domain,kothet[.]com,Myanmar,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Myanmar based CIB network,influence_operation,meta,Q4_2023_Myanmar_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Myanmar_based_CIB_network.csv,domain,banyunt[.]info,Myanmar,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Myanmar based CIB network,influence_operation,meta,Q4_2023_Myanmar_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Myanmar_based_CIB_network.csv,url,http://t[.]me/factcheckmm,Myanmar,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.7 Acquiring Telegram channels,meta_kill_chain,,,2026-09-11
Myanmar based CIB network,influence_operation,meta,Q4_2023_Myanmar_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Myanmar_based_CIB_network.csv,url,http://t[.]me/daily21news,Myanmar,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.7 Acquiring Telegram channels,meta_kill_chain,,,2026-09-11
Myanmar based CIB network,influence_operation,meta,Q4_2023_Myanmar_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Myanmar_based_CIB_network.csv,url,http://t[.]me/manawpyomay,Myanmar,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.7 Acquiring Telegram channels,meta_kill_chain,,,2026-09-11
Myanmar based CIB network,influence_operation,meta,Q4_2023_Myanmar_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Myanmar_based_CIB_network.csv,url,http://t[.]me/tgitharmm,Myanmar,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.7 Acquiring Telegram channels,meta_kill_chain,,,2026-09-11
Myanmar based CIB network,influence_operation,meta,Q4_2023_Myanmar_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Myanmar_based_CIB_network.csv,url,http://t[.]me/evidenceoftruth,Myanmar,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.7 Acquiring Telegram channels,meta_kill_chain,,,2026-09-11
Myanmar based CIB network,influence_operation,meta,Q4_2023_Myanmar_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Myanmar_based_CIB_network.csv,url,http://t[.]me/myitsone1990,Myanmar,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.7 Acquiring Telegram channels,meta_kill_chain,,,2026-09-11
Myanmar based CIB network,influence_operation,meta,Q4_2023_Myanmar_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Myanmar_based_CIB_network.csv,url,http://t[.]me/inntharlay,Myanmar,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.7 Acquiring Telegram channels,meta_kill_chain,,,2026-09-11
Myanmar based CIB network,influence_operation,meta,Q4_2023_Myanmar_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Myanmar_based_CIB_network.csv,url,http://t[.]me/dgf21news,Myanmar,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.7 Acquiring Telegram channels,meta_kill_chain,,,2026-09-11
Myanmar based CIB network,influence_operation,meta,Q4_2023_Myanmar_based_CIB_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Myanmar_based_CIB_network.csv,behavior,https[:]//t[.]me/newsmayyu,Myanmar,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.7 Acquiring Telegram channels,meta_kill_chain,,,2026-09-11
