actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
Pakistan based Espionage network,influence_operation,meta,Q4_2023_Pakistan_based_Espionage_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Pakistan_based_Espionage_network.csv,domain,toolkitapi[.]xyz,Pakistan,,,"0. Acquiring assets > 0.6 Acquiring domains > 0.6.1 Acquiring domains to host, deploy, and support malware campaigns",meta_kill_chain,,PJobRAT,2026-09-11
Pakistan based Espionage network,influence_operation,meta,Q4_2023_Pakistan_based_Espionage_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Pakistan_based_Espionage_network.csv,domain,itechcube[.]xyz,Pakistan,,,"0. Acquiring assets > 0.6 Acquiring domains > 0.6.1 Acquiring domains to host, deploy, and support malware campaigns",meta_kill_chain,,PJobRAT,2026-09-11
Pakistan based Espionage network,influence_operation,meta,Q4_2023_Pakistan_based_Espionage_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Pakistan_based_Espionage_network.csv,domain,connectsol[.]xyz,Pakistan,,,"0. Acquiring assets > 0.6 Acquiring domains > 0.6.1 Acquiring domains to host, deploy, and support malware campaigns",meta_kill_chain,,PJobRAT and Panther,2026-09-11
Pakistan based Espionage network,influence_operation,meta,Q4_2023_Pakistan_based_Espionage_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Pakistan_based_Espionage_network.csv,domain,kuicksy[.]in,Pakistan,,,"0. Acquiring assets > 0.6 Acquiring domains > 0.6.1 Acquiring domains to host, deploy, and support malware campaigns",meta_kill_chain,,Cyrus,2026-09-11
Pakistan based Espionage network,influence_operation,meta,Q4_2023_Pakistan_based_Espionage_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Pakistan_based_Espionage_network.csv,domain,fizzled[.]in,Pakistan,,,"0. Acquiring assets > 0.6 Acquiring domains > 0.6.1 Acquiring domains to host, deploy, and support malware campaigns",meta_kill_chain,,Cyrus,2026-09-11
Pakistan based Espionage network,influence_operation,meta,Q4_2023_Pakistan_based_Espionage_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Pakistan_based_Espionage_network.csv,domain,liberaltraveller[.]blogspot[.]com,Pakistan,,,"0. Acquiring assets > 0.6 Acquiring domains > 0.6.1 Acquiring domains to host, deploy, and support malware campaigns",meta_kill_chain,,,2026-09-11
Pakistan based Espionage network,influence_operation,meta,Q4_2023_Pakistan_based_Espionage_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Pakistan_based_Espionage_network.csv,domain,luxuriantexplorer[.]blogspot[.]com,Pakistan,,,"0. Acquiring assets > 0.6 Acquiring domains > 0.6.1 Acquiring domains to host, deploy, and support malware campaigns",meta_kill_chain,,,2026-09-11
Pakistan based Espionage network,influence_operation,meta,Q4_2023_Pakistan_based_Espionage_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Pakistan_based_Espionage_network.csv,domain,1cchat[.]blogspot[.]com,Pakistan,,,"0. Acquiring assets > 0.6 Acquiring domains > 0.6.1 Acquiring domains to host, deploy, and support malware campaigns",meta_kill_chain,,,2026-09-11
Pakistan based Espionage network,influence_operation,meta,Q4_2023_Pakistan_based_Espionage_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Pakistan_based_Espionage_network.csv,domain,sanga1l[.]blogspot[.]com,Pakistan,,,"0. Acquiring assets > 0.6 Acquiring domains > 0.6.1 Acquiring domains to host, deploy, and support malware campaigns",meta_kill_chain,,,2026-09-11
Pakistan based Espionage network,influence_operation,meta,Q4_2023_Pakistan_based_Espionage_network,2023-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2023/Q4_2023_Pakistan_based_Espionage_network.csv,domain,lifestylepractices[.]blogspot[.]com,Pakistan,,,"0. Acquiring assets > 0.6 Acquiring domains > 0.6.1 Acquiring domains to host, deploy, and support malware campaigns",meta_kill_chain,,,2026-09-11
