actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,domain,dhakatv[.]net,Bangladesh,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,domain,bnppara[.]com,Bangladesh,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,domain,bdpolitico[.]com,Bangladesh,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,domain,bdpolitico[.]org,Bangladesh,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,domain,banglanewsbank[.]com,Bangladesh,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,domain,bdperspectives[.]com,Bangladesh,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,domain,bangladeshtimes360[.]com,Bangladesh,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,domain,londonbanglanews[.]com,Bangladesh,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,domain,bdanalytica[.]com,Bangladesh,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,domain,bnpnews[.]net,Bangladesh,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,domain,hyperjoshim[.]com,Bangladesh,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,domain,bdsarcasm[.]net,Bangladesh,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,domain,khambastar[.]net,Bangladesh,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,domain,news360[.]com,Bangladesh,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,domain,newsbangladesh[.]org[.]bd,Bangladesh,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,domain,todaybd24[.]com,Bangladesh,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,asset_count,50 accounts,Bangladesh,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,asset_count,98 Pages,Bangladesh,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,url,https://twitter[.]com/bd_politico,Bangladesh,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,behavior,twitter[.]com/tonmoybuet,Bangladesh,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,url,https://t[.]me/bnppara,Bangladesh,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.7 Acquiring Telegram channels,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,url,https://www[.]youtube[.]com/@DhakaTelevision,Bangladesh,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.5 Acquiring YouTube channels,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,url,https://www[.]youtube[.]com/@bnppara,Bangladesh,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.5 Acquiring YouTube channels,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,url,https://www[.]youtube[.]com/@bdpolitico1527,Bangladesh,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.5 Acquiring YouTube channels,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,url,https://www[.]youtube[.]com/@hyperjoshim,Bangladesh,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.5 Acquiring YouTube channels,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,url,https://www[.]youtube[.]com/channel/UCHa42HrKBenuE2BdmOHqlfA,Bangladesh,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.5 Acquiring YouTube channels,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,behavior,youtube[.]com/@bnpnama434,Bangladesh,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.5 Acquiring YouTube channels,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,behavior,youtube[.]com/@banglapolitix,Bangladesh,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.5 Acquiring YouTube channels,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,url,https://tiktok[.]com/@bnppara,Bangladesh,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.6 Acquiring TikTok accounts,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,url,https://www.tiktok[.]com/@bnpnewsbd,Bangladesh,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.6 Acquiring TikTok accounts,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,behavior,1.1.1 Copying profile pictures,Bangladesh,,,1. Disguising assets > 1.1 Adopting visual disguise > 1.1.1 Copying profile pictures,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,behavior,Dhaka Television,Bangladesh,,,1. Disguising assets > 1.3 Posing as non-existent institution > 1.3.1 Creating fictitious news outlet,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,behavior,London Bangla News,Bangladesh,,,1. Disguising assets > 1.3 Posing as non-existent institution > 1.3.1 Creating fictitious news outlet,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,behavior,BNP Para,Bangladesh,,,1. Disguising assets > 1.3 Posing as non-existent institution > 1.3.1 Creating fictitious news outlet,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,behavior,Bangla Politix,Bangladesh,,,1. Disguising assets > 1.3 Posing as non-existent institution > 1.3.1 Creating fictitious news outlet,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,behavior,Bangladesh Perspectives,Bangladesh,,,1. Disguising assets > 1.3 Posing as non-existent institution > 1.3.1 Creating fictitious news outlet,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,behavior,BDAnalytica,Bangladesh,,,1. Disguising assets > 1.3 Posing as non-existent institution > 1.3.1 Creating fictitious news outlet,meta_kill_chain,,,2026-09-11
Bangladesh Based Cib Network,influence_operation,meta,Q1_2024_Bangladesh_Based_Cib_Network,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_Bangladesh_Based_Cib_Network.csv,behavior,The network used names of existing news organizations in Bangladesh,Bangladesh,,,1. Disguising assets > 1.5 Impersonating real institution > 1.5.1 Impersonating news website,meta_kill_chain,,,2026-09-11
