actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
CHINA BASED CIB NETWORK,influence_operation,meta,Q1_2024_CHINA_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_CHINA_BASED_CIB_NETWORK.csv,asset_count,37 accounts,China,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
CHINA BASED CIB NETWORK,influence_operation,meta,Q1_2024_CHINA_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_CHINA_BASED_CIB_NETWORK.csv,asset_count,13 Pages,China,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
CHINA BASED CIB NETWORK,influence_operation,meta,Q1_2024_CHINA_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_CHINA_BASED_CIB_NETWORK.csv,asset_count,5 Groups,China,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
CHINA BASED CIB NETWORK,influence_operation,meta,Q1_2024_CHINA_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_CHINA_BASED_CIB_NETWORK.csv,asset_count,9 accounts,China,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.2 Acquiring Instagram accounts,meta_kill_chain,,,2026-09-11
CHINA BASED CIB NETWORK,influence_operation,meta,Q1_2024_CHINA_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_CHINA_BASED_CIB_NETWORK.csv,behavior,twitter[.]com/olivn388,China,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
CHINA BASED CIB NETWORK,influence_operation,meta,Q1_2024_CHINA_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_CHINA_BASED_CIB_NETWORK.csv,behavior,twitter[.]com/AishaHadi19,China,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
CHINA BASED CIB NETWORK,influence_operation,meta,Q1_2024_CHINA_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_CHINA_BASED_CIB_NETWORK.csv,behavior,twitter[.]com/SatbirS06914749,China,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
CHINA BASED CIB NETWORK,influence_operation,meta,Q1_2024_CHINA_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_CHINA_BASED_CIB_NETWORK.csv,behavior,twitter[.]com/s8175593,China,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
CHINA BASED CIB NETWORK,influence_operation,meta,Q1_2024_CHINA_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_CHINA_BASED_CIB_NETWORK.csv,behavior,twitter[.]com/Asimov_47,China,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
CHINA BASED CIB NETWORK,influence_operation,meta,Q1_2024_CHINA_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_CHINA_BASED_CIB_NETWORK.csv,url,http://t[.]me/+ugoxkjuomho4nmy1,China,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.7 Acquiring Telegram channels,meta_kill_chain,,,2026-09-11
CHINA BASED CIB NETWORK,influence_operation,meta,Q1_2024_CHINA_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_CHINA_BASED_CIB_NETWORK.csv,behavior,The network used compromised accounts,China,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.9 Acquiring and repurposing accounts,meta_kill_chain,,,2026-09-11
CHINA BASED CIB NETWORK,influence_operation,meta,Q1_2024_CHINA_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_CHINA_BASED_CIB_NETWORK.csv,behavior,Posing as Sikh Activists,China,,,1. Disguising assets > 1.2 Posing as non-existent person > 1.2.8 Posing as fictional person in target region,meta_kill_chain,,,2026-09-11
CHINA BASED CIB NETWORK,influence_operation,meta,Q1_2024_CHINA_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_CHINA_BASED_CIB_NETWORK.csv,behavior,"The network posted about floods in the Punjab region, the Sikh community worldwide, the Khalistan independence movement, the assassination of Hardeep Singh Nijjar, a pro-Khalistan independence activist in Canada",China,,,2. Gathering information > 2.2 Monitoring specific events > 2.2.1 Monitoring breaking news,meta_kill_chain,,,2026-09-11
CHINA BASED CIB NETWORK,influence_operation,meta,Q1_2024_CHINA_BASED_CIB_NETWORK,2024-01-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q1_2024/Q1_2024_CHINA_BASED_CIB_NETWORK.csv,behavior,The network amplified one another with fake accounts to give the impression the campaign was more popular than it was.,China,,,6. Indiscriminate engagement > 6.2 Amplifying with likely fake accounts on social media > 6.2.1 Amplifying with likely fake accounts on Facebook,meta_kill_chain,,,2026-09-11
