actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
RUSSIA-BASED CIB NETWORK #1,influence_operation,meta,Q2_2024_RUSSIA-BASED CIB NETWORK #1 ,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_RUSSIA-BASED%20CIB%20NETWORK%20#1%20.csv,url,https://www.yerli-media[.]org,Russia,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
RUSSIA-BASED CIB NETWORK #1,influence_operation,meta,Q2_2024_RUSSIA-BASED CIB NETWORK #1 ,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_RUSSIA-BASED%20CIB%20NETWORK%20#1%20.csv,domain,lurermedia[.]org,Russia,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
RUSSIA-BASED CIB NETWORK #1,influence_operation,meta,Q2_2024_RUSSIA-BASED CIB NETWORK #1 ,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_RUSSIA-BASED%20CIB%20NETWORK%20#1%20.csv,domain,sakartvelo-today[.]org,Russia,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
RUSSIA-BASED CIB NETWORK #1,influence_operation,meta,Q2_2024_RUSSIA-BASED CIB NETWORK #1 ,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_RUSSIA-BASED%20CIB%20NETWORK%20#1%20.csv,asset_count,76 accounts,Russia,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
RUSSIA-BASED CIB NETWORK #1,influence_operation,meta,Q2_2024_RUSSIA-BASED CIB NETWORK #1 ,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_RUSSIA-BASED%20CIB%20NETWORK%20#1%20.csv,asset_count,30 Pages,Russia,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
RUSSIA-BASED CIB NETWORK #1,influence_operation,meta,Q2_2024_RUSSIA-BASED CIB NETWORK #1 ,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_RUSSIA-BASED%20CIB%20NETWORK%20#1%20.csv,asset_count,11 accounts,Russia,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.2 Acquiring Instagram accounts,meta_kill_chain,,,2026-09-11
RUSSIA-BASED CIB NETWORK #1,influence_operation,meta,Q2_2024_RUSSIA-BASED CIB NETWORK #1 ,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_RUSSIA-BASED%20CIB%20NETWORK%20#1%20.csv,url,https://www[.]youtube.com/@Agora_Expert,Russia,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.5 Acquiring YouTube channels,meta_kill_chain,,,2026-09-11
RUSSIA-BASED CIB NETWORK #1,influence_operation,meta,Q2_2024_RUSSIA-BASED CIB NETWORK #1 ,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_RUSSIA-BASED%20CIB%20NETWORK%20#1%20.csv,url,https://www[.]tiktok.com/@agora_experts_club,Russia,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.6 Acquiring TikTok accounts,meta_kill_chain,,,2026-09-11
RUSSIA-BASED CIB NETWORK #1,influence_operation,meta,Q2_2024_RUSSIA-BASED CIB NETWORK #1 ,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_RUSSIA-BASED%20CIB%20NETWORK%20#1%20.csv,behavior,"yerli-media
luremedia
sakartvelo-today",Russia,,,1. Disguising assets > 1.3 Posing as non-existent institution > 1.3.1 Creating fictitious news outlet,meta_kill_chain,,,2026-09-11
RUSSIA-BASED CIB NETWORK #1,influence_operation,meta,Q2_2024_RUSSIA-BASED CIB NETWORK #1 ,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_RUSSIA-BASED%20CIB%20NETWORK%20#1%20.csv,behavior,"In Georgia, they posted about current events, including the most recent protests against the “foreign agent law”",Russia,,,2. Gathering information > 2.2 Monitoring specific events > 2.2.1 Monitoring breaking news,meta_kill_chain,,,2026-09-11
RUSSIA-BASED CIB NETWORK #1,influence_operation,meta,Q2_2024_RUSSIA-BASED CIB NETWORK #1 ,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_RUSSIA-BASED%20CIB%20NETWORK%20#1%20.csv,behavior,"In Armenia, they posted about the former Armenian official currently detained in Azerbaijan.",Russia,,,2. Gathering information > 2.2 Monitoring specific events > 2.2.1 Monitoring breaking news,meta_kill_chain,,,2026-09-11
RUSSIA-BASED CIB NETWORK #1,influence_operation,meta,Q2_2024_RUSSIA-BASED CIB NETWORK #1 ,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_RUSSIA-BASED%20CIB%20NETWORK%20#1%20.csv,behavior,"About $77,000 in spending for ads on Facebook, paid for mostly in US dollars.",Russia,,,7. Targeted engagement > 7.1 Running ads > 7.1.1 Advertising to promote content,meta_kill_chain,,,2026-09-11
RUSSIA-BASED CIB NETWORK #1,influence_operation,meta,Q2_2024_RUSSIA-BASED CIB NETWORK #1 ,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_RUSSIA-BASED%20CIB%20NETWORK%20#1%20.csv,behavior,"About 3,800 accounts followed one or more of these Pages",Russia,,,7. Targeted engagement > 7.2 Engaging with users outside the operation > 7.2.2 Acquiring Page followers,meta_kill_chain,,,2026-09-11
RUSSIA-BASED CIB NETWORK #1,influence_operation,meta,Q2_2024_RUSSIA-BASED CIB NETWORK #1 ,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_RUSSIA-BASED%20CIB%20NETWORK%20#1%20.csv,behavior,"About 1,850 accounts followed one or more of these Instagram accounts.",Russia,,,7. Targeted engagement > 7.2 Engaging with users outside the operation > 7.2.4 Acquiring Instagram followers,meta_kill_chain,,,2026-09-11
RUSSIA-BASED CIB NETWORK #1,influence_operation,meta,Q2_2024_RUSSIA-BASED CIB NETWORK #1 ,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_RUSSIA-BASED%20CIB%20NETWORK%20#1%20.csv,behavior,"In Georgia, they criticized protesters and supported the ruling party, Georgian Dream",Russia,,,7. Targeted engagement > 7.6 Posting about individuals or institutions > 7.6.1 Posting negative content about named individuals or institutions,meta_kill_chain,,,2026-09-11
RUSSIA-BASED CIB NETWORK #1,influence_operation,meta,Q2_2024_RUSSIA-BASED CIB NETWORK #1 ,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_RUSSIA-BASED%20CIB%20NETWORK%20#1%20.csv,behavior,"In Azerbaijan, the operation criticized the West.",Russia,,,7. Targeted engagement > 7.6 Posting about individuals or institutions > 7.6.1 Posting negative content about named individuals or institutions,meta_kill_chain,,,2026-09-11
RUSSIA-BASED CIB NETWORK #1,influence_operation,meta,Q2_2024_RUSSIA-BASED CIB NETWORK #1 ,2024-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2_2024/Q2_2024_RUSSIA-BASED%20CIB%20NETWORK%20#1%20.csv,behavior,"In Armenia, they posted about politics, including supportive commentary about Russia, the former Armenian official currently detained in Azerbaijan, and criticism of the Prime Minister of Armenia.",Russia,,,7. Targeted engagement > 7.6 Posting about individuals or institutions > 7.6.2 Posting positive content about named individuals institutions,meta_kill_chain,,,2026-09-11
