actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
IRAN BASED CIB NETWORK,influence_operation,meta,Q3_2024 IRAN_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20IRAN_BASED_CIB_NETWORK.csv,domain,CyberCourt[.]io,Iran,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
IRAN BASED CIB NETWORK,influence_operation,meta,Q3_2024 IRAN_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20IRAN_BASED_CIB_NETWORK.csv,domain,jerusalem-news[.]com,Iran,,,0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
IRAN BASED CIB NETWORK,influence_operation,meta,Q3_2024 IRAN_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20IRAN_BASED_CIB_NETWORK.csv,domain,rgud-group[.]com,Iran,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
IRAN BASED CIB NETWORK,influence_operation,meta,Q3_2024 IRAN_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20IRAN_BASED_CIB_NETWORK.csv,domain,zeusistalking[.]net,Iran,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
IRAN BASED CIB NETWORK,influence_operation,meta,Q3_2024 IRAN_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20IRAN_BASED_CIB_NETWORK.csv,domain,zeusistalking[.]com,Iran,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
IRAN BASED CIB NETWORK,influence_operation,meta,Q3_2024 IRAN_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20IRAN_BASED_CIB_NETWORK.csv,domain,rgud-group[.]net,Iran,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
IRAN BASED CIB NETWORK,influence_operation,meta,Q3_2024 IRAN_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20IRAN_BASED_CIB_NETWORK.csv,asset_count,48 accounts,Iran,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
IRAN BASED CIB NETWORK,influence_operation,meta,Q3_2024 IRAN_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20IRAN_BASED_CIB_NETWORK.csv,asset_count,2 accounts,Iran,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.2 Acquiring Instagram accounts,meta_kill_chain,,,2026-09-11
IRAN BASED CIB NETWORK,influence_operation,meta,Q3_2024 IRAN_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20IRAN_BASED_CIB_NETWORK.csv,behavior,x[.]com/zeus_is_talking,Iran,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
IRAN BASED CIB NETWORK,influence_operation,meta,Q3_2024 IRAN_BASED_CIB_NETWORK,2024-07-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q3_2024/Q3_2024%20IRAN_BASED_CIB_NETWORK.csv,behavior,x[.]com/rgud181178,Iran,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
