actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
Q4 2024 BENIN BASED CIB NETWORK,influence_operation,meta, Q4_2024 BENIN_BASED_CIB_NETWORK,2024-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2024/%20Q4_2024%20BENIN_BASED_CIB_NETWORK.csv,asset_count,16 accounts,,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Q4 2024 BENIN BASED CIB NETWORK,influence_operation,meta, Q4_2024 BENIN_BASED_CIB_NETWORK,2024-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2024/%20Q4_2024%20BENIN_BASED_CIB_NETWORK.csv,asset_count,6 pages,,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Q4 2024 BENIN BASED CIB NETWORK,influence_operation,meta, Q4_2024 BENIN_BASED_CIB_NETWORK,2024-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2024/%20Q4_2024%20BENIN_BASED_CIB_NETWORK.csv,domain,newwayforward[.]us,,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Q4 2024 BENIN BASED CIB NETWORK,influence_operation,meta, Q4_2024 BENIN_BASED_CIB_NETWORK,2024-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2024/%20Q4_2024%20BENIN_BASED_CIB_NETWORK.csv,behavior,x[.]com/newwayforwardus,,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
Q4 2024 BENIN BASED CIB NETWORK,influence_operation,meta, Q4_2024 BENIN_BASED_CIB_NETWORK,2024-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2024/%20Q4_2024%20BENIN_BASED_CIB_NETWORK.csv,behavior,This campaign used profile photos likely generated using artificial intelligence,,,,1. Disguising assets > 1.1 Adopting visual disguise > 1.1.2 Using profile pictures like created using generative adversarial networks (GAN),meta_kill_chain,,,2026-09-11
Q4 2024 BENIN BASED CIB NETWORK,influence_operation,meta, Q4_2024 BENIN_BASED_CIB_NETWORK,2024-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2024/%20Q4_2024%20BENIN_BASED_CIB_NETWORK.csv,behavior,"In the US, they ran an off-platform website – which mimicked the
Harris campaign site. While the website appeared to look like the real
campaign site, its Issues page contained fictitious claims about the
campaign’s positions including on the aid to Ukraine.",,,,1. Disguising assets > 1.4 Impersonating real person > 1.4.3 Impersonating public figure,meta_kill_chain,,,2026-09-11
Q4 2024 BENIN BASED CIB NETWORK,influence_operation,meta, Q4_2024 BENIN_BASED_CIB_NETWORK,2024-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2024/%20Q4_2024%20BENIN_BASED_CIB_NETWORK.csv,behavior,The operators used proxy IP infrastructure to conceal their origin and appear as if they were in France,,,,5. Evading detection > 5.5 Obfuscating infrastructure > 5.5.1 Using proxy IP in target country,meta_kill_chain,,,2026-09-11
Q4 2024 BENIN BASED CIB NETWORK,influence_operation,meta, Q4_2024 BENIN_BASED_CIB_NETWORK,2024-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2024/%20Q4_2024%20BENIN_BASED_CIB_NETWORK.csv,behavior,"About $1,300 in spending for ads, paid for mostly in US and Canadian dollars.",,,,7. Targeted engagement > 7.1 Running ads > 7.1.1 Advertising to promote content,meta_kill_chain,,,2026-09-11
Q4 2024 BENIN BASED CIB NETWORK,influence_operation,meta, Q4_2024 BENIN_BASED_CIB_NETWORK,2024-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2024/%20Q4_2024%20BENIN_BASED_CIB_NETWORK.csv,behavior,"About 18,000 accounts followed one or more of these Pages",,,,7. Targeted engagement > 7.2 Engaging with users outside the operation > 7.2.2 Acquiring Page followers,meta_kill_chain,,,2026-09-11
Q4 2024 BENIN BASED CIB NETWORK,influence_operation,meta, Q4_2024 BENIN_BASED_CIB_NETWORK,2024-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2024/%20Q4_2024%20BENIN_BASED_CIB_NETWORK.csv,behavior,This effort targeted primarily France with posts in French about news and current events,,,,7. Targeted engagement > 7.3 Engaging with specific audience > 7.3.4  Utilising Language-Specific Campaigns,meta_kill_chain,,,2026-09-11
Q4 2024 BENIN BASED CIB NETWORK,influence_operation,meta, Q4_2024 BENIN_BASED_CIB_NETWORK,2024-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2024/%20Q4_2024%20BENIN_BASED_CIB_NETWORK.csv,behavior,"The campaign posted criticism of President Macron, his administration, and NATO",,,,7. Targeted engagement > 7.6 Posting about individuals or institutions > 7.6.1 Posting negative content about named individuals or institutions,meta_kill_chain,,,2026-09-11
Q4 2024 BENIN BASED CIB NETWORK,influence_operation,meta, Q4_2024 BENIN_BASED_CIB_NETWORK,2024-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2024/%20Q4_2024%20BENIN_BASED_CIB_NETWORK.csv,behavior,The campaign posted supportive commentary about Marine Le Pen and her party,,,,7. Targeted engagement > 7.6 Posting about individuals or institutions > 7.6.2 Posting positive content about named individuals institutions,meta_kill_chain,,,2026-09-11
