actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
Q4 2024 GHANA BASED CIB NETWORK,influence_operation,meta, Q4_2024 GHANA_BASED_CIB_NETWORK,2024-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2024/%20Q4_2024%20GHANA_BASED_CIB_NETWORK.csv,asset_count,42 accounts,,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Q4 2024 GHANA BASED CIB NETWORK,influence_operation,meta, Q4_2024 GHANA_BASED_CIB_NETWORK,2024-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2024/%20Q4_2024%20GHANA_BASED_CIB_NETWORK.csv,asset_count,1 pages,,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Q4 2024 GHANA BASED CIB NETWORK,influence_operation,meta, Q4_2024 GHANA_BASED_CIB_NETWORK,2024-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2024/%20Q4_2024%20GHANA_BASED_CIB_NETWORK.csv,asset_count,33 accounts,,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.2 Acquiring Instagram accounts,meta_kill_chain,,,2026-09-11
Q4 2024 GHANA BASED CIB NETWORK,influence_operation,meta, Q4_2024 GHANA_BASED_CIB_NETWORK,2024-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2024/%20Q4_2024%20GHANA_BASED_CIB_NETWORK.csv,domain,empoweringghana[.]com,,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Q4 2024 GHANA BASED CIB NETWORK,influence_operation,meta, Q4_2024 GHANA_BASED_CIB_NETWORK,2024-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2024/%20Q4_2024%20GHANA_BASED_CIB_NETWORK.csv,behavior,x[.]com/empoweringghana,,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
Q4 2024 GHANA BASED CIB NETWORK,influence_operation,meta, Q4_2024 GHANA_BASED_CIB_NETWORK,2024-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2024/%20Q4_2024%20GHANA_BASED_CIB_NETWORK.csv,behavior,x[.]com/YamoahFestus,,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
Q4 2024 GHANA BASED CIB NETWORK,influence_operation,meta, Q4_2024 GHANA_BASED_CIB_NETWORK,2024-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2024/%20Q4_2024%20GHANA_BASED_CIB_NETWORK.csv,behavior,youtube[.]com/@EmpoweringGhana,,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.5 Acquiring YouTube channels,meta_kill_chain,,,2026-09-11
Q4 2024 GHANA BASED CIB NETWORK,influence_operation,meta, Q4_2024 GHANA_BASED_CIB_NETWORK,2024-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2024/%20Q4_2024%20GHANA_BASED_CIB_NETWORK.csv,behavior,tiktok[.]com/@empoweringghana,,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
Q4 2024 GHANA BASED CIB NETWORK,influence_operation,meta, Q4_2024 GHANA_BASED_CIB_NETWORK,2024-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2024/%20Q4_2024%20GHANA_BASED_CIB_NETWORK.csv,behavior,"Using profile photos likely generated using artificial intelligence such
as Generative Adversarial Networks (GAN)",,,,1. Disguising assets > 1.1 Adopting visual disguise > 1.1.2 Using profile pictures like created using generative adversarial networks (GAN),meta_kill_chain,,,2026-09-11
Q4 2024 GHANA BASED CIB NETWORK,influence_operation,meta, Q4_2024 GHANA_BASED_CIB_NETWORK,2024-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4_2024/%20Q4_2024%20GHANA_BASED_CIB_NETWORK.csv,behavior,"Posing as fictitious journalists and activists across many apps and on
the EG website.",,,,1. Disguising assets > 1.2 Posing as non-existent person > 1.2.2 Posing as fictional journalist,meta_kill_chain,,,2026-09-11
