actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
Q2-3 2025 MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK.csv,url,hxxps://gagauzia24[.]info/,Moldova,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Q2-3 2025 MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK.csv,asset_count,15 acounts,Moldova,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Q2-3 2025 MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK.csv,asset_count,6 pages,Moldova,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Q2-3 2025 MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK.csv,asset_count,7 groups,Moldova,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Q2-3 2025 MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK.csv,asset_count,4 accounts,Moldova,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.2 Acquiring Instagram accounts,meta_kill_chain,,,2026-09-11
Q2-3 2025 MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK.csv,url,hxxp://x[.]com/gagauzianews24,Moldova,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
Q2-3 2025 MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK.csv,url,hxxp://x[.]com/gagauzinfomd,Moldova,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
Q2-3 2025 MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK.csv,url,hxxps://www[.]youtube[.]com/@gagauzia_24,Moldova,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.5 Acquiring YouTube channels,meta_kill_chain,,,2026-09-11
Q2-3 2025 MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK.csv,url,hxxp://tiktok[.]com/@gagauzia24,Moldova,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.6 Acquiring TikTok accounts,meta_kill_chain,,,2026-09-11
Q2-3 2025 MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK.csv,url,hxxp://tiktok[.]com/@gagauzportal,Moldova,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.6 Acquiring TikTok accounts,meta_kill_chain,,,2026-09-11
Q2-3 2025 MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK.csv,url,hxxp://tiktok[.]com/@golosgagauzii,Moldova,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.6 Acquiring TikTok accounts,meta_kill_chain,,,2026-09-11
Q2-3 2025 MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK.csv,url,hxxp://vk[.]com/id464508604,Moldova,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.12 Acquiring other social media assets,meta_kill_chain,,,2026-09-11
Q2-3 2025 MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK.csv,behavior,"The network engaged in sophisticated grassroots impersonation tactics, creating original video interviews with local residents under the ""Voice of Gagauzia"" brand which appeared designed to appear as an authentic initiative while covertly advancing specific campaign messaging.",Moldova,,,1. Disguising assets > 1.3 Posing as non-existent institution > 1.3.3 Creating fictitious activist movement,meta_kill_chain,,,2026-09-11
Q2-3 2025 MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK.csv,behavior,"The network engaged created original video interviews with local residents under the ""Voice of Gagauzia"" brand which appeared designed to appear as an authentic initiative while covertly advancing specific campaign messaging.",Moldova,,,6. Indiscriminate engagement > 6.1 Posting on websites > 6.1.1 Posting original content on websites,meta_kill_chain,,,2026-09-11
Q2-3 2025 MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK.csv,behavior,"Network operators engaged in around $300 in spending for ads on Facebook and Instagram, paid for mostly in US Dollars.",Moldova,,,7. Targeted engagement > 7.1 Running ads > 7.1.1 Advertising to promote content,meta_kill_chain,,,2026-09-11
Q2-3 2025 MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK.csv,behavior,"About 6,300 accounts followed one or more of these Pages.",Moldova,,,7. Targeted engagement > 7.2 Engaging with users outside the operation > 7.2.2 Acquiring Page followers,meta_kill_chain,,,2026-09-11
Q2-3 2025 MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK.csv,behavior,"About 27,400 accounts followed one or more of these Groups.",Moldova,,,7. Targeted engagement > 7.2 Engaging with users outside the operation > 7.2.3 Acquiring Group members,meta_kill_chain,,,2026-09-11
Q2-3 2025 MOLDOVA BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_MOLDOVA_BASED_CIB_NETWORK.csv,behavior,"About 119,400 accounts followed one or more of these Instagram accounts.",Moldova,,,7. Targeted engagement > 7.2 Engaging with users outside the operation > 7.2.4 Acquiring Instagram followers,meta_kill_chain,,,2026-09-11
