actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
Q2-3 2025 POLAND BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_POLAND_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_POLAND_BASED_CIB_NETWORK.csv,asset_count,55 accounts,Poland,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Q2-3 2025 POLAND BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_POLAND_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_POLAND_BASED_CIB_NETWORK.csv,asset_count,36 pages,Poland,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Q2-3 2025 POLAND BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_POLAND_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_POLAND_BASED_CIB_NETWORK.csv,asset_count,23 groups,Poland,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Q2-3 2025 POLAND BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_POLAND_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_POLAND_BASED_CIB_NETWORK.csv,asset_count,1 account,Poland,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.2 Acquiring Instagram accounts,meta_kill_chain,,,2026-09-11
Q2-3 2025 POLAND BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_POLAND_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_POLAND_BASED_CIB_NETWORK.csv,behavior,"About 49,000 accounts followed one or more of these Pages.",Poland,,,7. Targeted engagement > 7.2 Engaging with users outside the operation > 7.2.2 Acquiring Page followers,meta_kill_chain,,,2026-09-11
Q2-3 2025 POLAND BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_POLAND_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_POLAND_BASED_CIB_NETWORK.csv,behavior,"About 1,100 accounts followed one or more of these Groups.",Poland,,,7. Targeted engagement > 7.2 Engaging with users outside the operation > 7.2.3 Acquiring Group members,meta_kill_chain,,,2026-09-11
Q2-3 2025 POLAND BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_POLAND_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_POLAND_BASED_CIB_NETWORK.csv,behavior,"About 2,900 accounts followed one or more of these Instagram accounts.",Poland,,,7. Targeted engagement > 7.2 Engaging with users outside the operation > 7.2.4 Acquiring Instagram followers,meta_kill_chain,,,2026-09-11
Q2-3 2025 POLAND BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_POLAND_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_POLAND_BASED_CIB_NETWORK.csv,behavior,These carefully constructed fake accounts were used to infiltrate and post content within civic groups that aligned with each persona's stated political orientation.,Poland,,,7. Targeted engagement > 7.3 Engaging with specific audience > 7.3.2 Posting into specifically themed Groups,meta_kill_chain,,,2026-09-11
Q2-3 2025 POLAND BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_POLAND_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_POLAND_BASED_CIB_NETWORK.csv,behavior,We observed that network operators consistently amplified narratives critical of Warsaw Mayor Rafal Trzaskowski and the current Polish government.,Poland,,,7. Targeted engagement > 7.6 Posting about individuals or institutions > 7.6.1 Posting negative content about named individuals or institutions,meta_kill_chain,,,2026-09-11
Q2-3 2025 POLAND BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_POLAND_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_POLAND_BASED_CIB_NETWORK.csv,behavior,We observed that network operators consistently promoted content favorable to the Polish Law and Justice (PiS) Party.,Poland,,,7. Targeted engagement > 7.6 Posting about individuals or institutions > 7.6.2 Posting positive content about named individuals or institutions,meta_kill_chain,,,2026-09-11
