actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
Q2-3 2025 RUSSIA BASED CIB NETWORK CS2,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_RUSSIA_BASED_CIB_NETWORK_CS2,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_RUSSIA_BASED_CIB_NETWORK_CS2.csv,asset_count,10 accounts,Russia,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Q2-3 2025 RUSSIA BASED CIB NETWORK CS2,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_RUSSIA_BASED_CIB_NETWORK_CS2,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_RUSSIA_BASED_CIB_NETWORK_CS2.csv,asset_count,2 Pages,Russia,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Q2-3 2025 RUSSIA BASED CIB NETWORK CS2,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_RUSSIA_BASED_CIB_NETWORK_CS2,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_RUSSIA_BASED_CIB_NETWORK_CS2.csv,asset_count,9 accounts,Russia,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.2 Acquiring Instagram accounts,meta_kill_chain,,,2026-09-11
Q2-3 2025 RUSSIA BASED CIB NETWORK CS2,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_RUSSIA_BASED_CIB_NETWORK_CS2,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_RUSSIA_BASED_CIB_NETWORK_CS2.csv,url,hxxps://x[.]com/Allo_Afrique,Russia,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
Q2-3 2025 RUSSIA BASED CIB NETWORK CS2,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_RUSSIA_BASED_CIB_NETWORK_CS2,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_RUSSIA_BASED_CIB_NETWORK_CS2.csv,url,hxxps://x[.]com/dernierminute24,Russia,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
Q2-3 2025 RUSSIA BASED CIB NETWORK CS2,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_RUSSIA_BASED_CIB_NETWORK_CS2,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_RUSSIA_BASED_CIB_NETWORK_CS2.csv,url,hxxps://t[.]me/AlloAfrique,Russia,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.7 Acquiring Telegram channels,meta_kill_chain,,,2026-09-11
Q2-3 2025 RUSSIA BASED CIB NETWORK CS2,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_RUSSIA_BASED_CIB_NETWORK_CS2,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_RUSSIA_BASED_CIB_NETWORK_CS2.csv,url,hxxps://t[.]me/derniere_minute,Russia,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.7 Acquiring Telegram channels,meta_kill_chain,,,2026-09-11
Q2-3 2025 RUSSIA BASED CIB NETWORK CS2,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_RUSSIA_BASED_CIB_NETWORK_CS2,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_RUSSIA_BASED_CIB_NETWORK_CS2.csv,url,hxxps://www[.]youtube[.]com/@All%C3%B4Afrique,Russia,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.5 Acquiring YouTube channels,meta_kill_chain,,,2026-09-11
Q2-3 2025 RUSSIA BASED CIB NETWORK CS2,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_RUSSIA_BASED_CIB_NETWORK_CS2,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_RUSSIA_BASED_CIB_NETWORK_CS2.csv,behavior,"The individuals behind this activity attempted to create two seemingly independent, grassroots media outlets.",Russia,,,1. Disguising assets > 1.3 Posing as non-existent institution > 1.3.1 Creating fictitious news outlet,meta_kill_chain,,,2026-09-11
Q2-3 2025 RUSSIA BASED CIB NETWORK CS2,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_RUSSIA_BASED_CIB_NETWORK_CS2,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_RUSSIA_BASED_CIB_NETWORK_CS2.csv,behavior,"The individuals behind this activity attempted to create two seemingly independent, grassroots media outlets, establishing a presence across multiple internet platforms including Telegram, TikTok, Facebook, Instagram, and X.",Russia,,,1. Disguising assets > 1.8 Backstopping > 1.8.2 Backstopping fictitious brand or organization across multiple websites,meta_kill_chain,,,2026-09-11
Q2-3 2025 RUSSIA BASED CIB NETWORK CS2,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_RUSSIA_BASED_CIB_NETWORK_CS2,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_RUSSIA_BASED_CIB_NETWORK_CS2.csv,behavior,"About 20,800 accounts followed one or more of these Pages.",Russia,,,7. Targeted engagement > 7.2 Engaging with users outside the operation > 7.2.2 Acquiring Page followers,meta_kill_chain,,,2026-09-11
Q2-3 2025 RUSSIA BASED CIB NETWORK CS2,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_RUSSIA_BASED_CIB_NETWORK_CS2,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_RUSSIA_BASED_CIB_NETWORK_CS2.csv,behavior,"About 3,100 accounts followed one or more of these Instagram accounts.",Russia,,,7. Targeted engagement > 7.2 Engaging with users outside the operation > 7.2.4 Acquiring Instagram followers,meta_kill_chain,,,2026-09-11
Q2-3 2025 RUSSIA BASED CIB NETWORK CS2,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_RUSSIA_BASED_CIB_NETWORK_CS2,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_RUSSIA_BASED_CIB_NETWORK_CS2.csv,behavior,"On our platform, the brands - Allô Afrique and Derniere Minute - posted in French.",Russia,,,7. Targeted engagement > 7.3 Engaging with specific audience > 7.3.4  Utilising Language-Specific Campaigns,meta_kill_chain,,,2026-09-11
