actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
Q2-3 2025 RUSSIA BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_RUSSIA_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_RUSSIA_BASED_CIB_NETWORK.csv,domain,govorit[.]md,Russia,,,0. Acquiring assets > 0.6 Acquiring domains > 0.6.2 Acquiring domains to support influence operations,meta_kill_chain,,,2026-09-11
Q2-3 2025 RUSSIA BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_RUSSIA_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_RUSSIA_BASED_CIB_NETWORK.csv,asset_count,5 accounts,Russia,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Q2-3 2025 RUSSIA BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_RUSSIA_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_RUSSIA_BASED_CIB_NETWORK.csv,asset_count,2 pages,Russia,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Q2-3 2025 RUSSIA BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_RUSSIA_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_RUSSIA_BASED_CIB_NETWORK.csv,asset_count,3 groups,Russia,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
Q2-3 2025 RUSSIA BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_RUSSIA_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_RUSSIA_BASED_CIB_NETWORK.csv,url,hxxp://youtube[.]com/@GovoritMD,Russia,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.5 Acquiring YouTube channels,meta_kill_chain,,,2026-09-11
Q2-3 2025 RUSSIA BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_RUSSIA_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_RUSSIA_BASED_CIB_NETWORK.csv,behavior,tiktok[.]com/@govorit.md,Russia,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.6 Acquiring TikTok accounts,meta_kill_chain,,,2026-09-11
Q2-3 2025 RUSSIA BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_RUSSIA_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_RUSSIA_BASED_CIB_NETWORK.csv,url,hxxps://t[.]me/govoritmd,Russia,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.7 Acquiring Telegram channels,meta_kill_chain,,,2026-09-11
Q2-3 2025 RUSSIA BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_RUSSIA_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_RUSSIA_BASED_CIB_NETWORK.csv,behavior,"The operation demonstrated sophisticated media impersonation tactics, creating a multi-platform ecosystem of assets with professional branding designed to masquerade as authentic news outlets.",Russia,,,1. Disguising assets > 1.1 Adopting visual disguise > 1.1.3 Adopting visual brand,meta_kill_chain,,,2026-09-11
Q2-3 2025 RUSSIA BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_RUSSIA_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_RUSSIA_BASED_CIB_NETWORK.csv,behavior,Network operators used fake Facebook accounts to establish credible backstories for fictional reporters whose bylines appeared on their off-platform website.,Russia,,,1. Disguising assets > 1.2 Posing as non-existent person > 1.2.7 Creating fictitious byline,meta_kill_chain,,,2026-09-11
Q2-3 2025 RUSSIA BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_RUSSIA_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_RUSSIA_BASED_CIB_NETWORK.csv,behavior,Govorit MD,Russia,,,1. Disguising assets > 1.3 Posing as non-existent institution > 1.3.1 Creating fictitious news outlet,meta_kill_chain,,,2026-09-11
Q2-3 2025 RUSSIA BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_RUSSIA_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_RUSSIA_BASED_CIB_NETWORK.csv,behavior,"The operation demonstrated sophisticated media impersonation tactics, creating a multi-platform ecosystem of assets with professional branding designed to masquerade as authentic news outlets.",Russia,,,1. Disguising assets > 1.8 Backstopping > 1.8.2 Backstopping fictitious brand or organization across multiple websites,meta_kill_chain,,,2026-09-11
Q2-3 2025 RUSSIA BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_RUSSIA_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_RUSSIA_BASED_CIB_NETWORK.csv,behavior,"About $24 in spending for ads on Facebook and Instagram, paid for mostly in US Dollars.",Russia,,,7. Targeted engagement > 7.1 Running ads > 7.1.1 Advertising to promote content,meta_kill_chain,,,2026-09-11
Q2-3 2025 RUSSIA BASED CIB NETWORK,influence_operation,meta,Q2-3_2025_GithubIOCs - Q2-3_2025_RUSSIA_BASED_CIB_NETWORK,2025-04-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q2-3_2025/Q2-3_2025_GithubIOCs%20-%20Q2-3_2025_RUSSIA_BASED_CIB_NETWORK.csv,behavior,About 146 accounts followed one or more of these Pages.,Russia,,,7. Targeted engagement > 7.2 Engaging with users outside the operation > 7.2.2 Acquiring Page followers,meta_kill_chain,,,2026-09-11
