actor,actor_type,source_provider,source_report,report_date,source_url,indicator_type,indicator_value,country,target_country,target_sector,ttp,ttp_framework,confidence,description,date_added
H1 2026 IRAN BASED CIB NETWORK 1,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_IRAN_BASED_CIB_NETWORK_1,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_IRAN_BASED_CIB_NETWORK_1.csv,asset_count,8 accounts,Iran,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
H1 2026 IRAN BASED CIB NETWORK 1,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_IRAN_BASED_CIB_NETWORK_1,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_IRAN_BASED_CIB_NETWORK_1.csv,asset_count,2 Pages,Iran,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.1 Acquiring Facebook assets,meta_kill_chain,,,2026-09-11
H1 2026 IRAN BASED CIB NETWORK 1,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_IRAN_BASED_CIB_NETWORK_1,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_IRAN_BASED_CIB_NETWORK_1.csv,asset_count,294 accounts,Iran,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.2 Acquiring Instagram accounts,meta_kill_chain,,,2026-09-11
H1 2026 IRAN BASED CIB NETWORK 1,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_IRAN_BASED_CIB_NETWORK_1,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_IRAN_BASED_CIB_NETWORK_1.csv,url,https://x[.]com/m_harrison93,Iran,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
H1 2026 IRAN BASED CIB NETWORK 1,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_IRAN_BASED_CIB_NETWORK_1,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_IRAN_BASED_CIB_NETWORK_1.csv,url,https://x[.]com/SophiaGnzlz,Iran,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
H1 2026 IRAN BASED CIB NETWORK 1,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_IRAN_BASED_CIB_NETWORK_1,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_IRAN_BASED_CIB_NETWORK_1.csv,url,https://x[.]com/Therapist_Ben,Iran,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
H1 2026 IRAN BASED CIB NETWORK 1,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_IRAN_BASED_CIB_NETWORK_1,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_IRAN_BASED_CIB_NETWORK_1.csv,url,https://x[.]com/ImAliceJohnson,Iran,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
H1 2026 IRAN BASED CIB NETWORK 1,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_IRAN_BASED_CIB_NETWORK_1,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_IRAN_BASED_CIB_NETWORK_1.csv,url,https://x[.]com/LevyMillar,Iran,,,0. Acquiring assets > 0.9 Acquiring social media accounts > 0.9.4 Acquiring X / Twitter accounts,meta_kill_chain,,,2026-09-11
H1 2026 IRAN BASED CIB NETWORK 1,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_IRAN_BASED_CIB_NETWORK_1,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_IRAN_BASED_CIB_NETWORK_1.csv,behavior,"To increase credibility, these accounts utilized multiple, high quality AI-generated imagery for profile pictures.",Iran,,,1. Disguising assets > 1.1 Adopting visual disguise > 1.1.2 Using profile pictures like created using generative adversarial networks (GAN),meta_kill_chain,,,2026-09-11
H1 2026 IRAN BASED CIB NETWORK 1,influence_operation,meta,Q4-1_2026_GithubIOCs - H1_2026_IRAN_BASED_CIB_NETWORK_1,2026-10-01,https://github.com/facebook/threat-research/blob/main/indicators/csv/Q4-1_2026_GithubIOCs%20-%20H1_2026_IRAN_BASED_CIB_NETWORK_1.csv,behavior,"The core of the network consisted of a subset of high-complexity accounts (the “creators”) designed to produce original content. These personas had well-developed backstories, interests, and jobs, and included an American political scientist with a PhD, a women’s rights activist, and an Albanian satirical cartoonist.",Iran,,,1. Disguising assets > 1.2 Posing as non-existent person > 1.2.8 Posing as fictional person in target region,meta_kill_chain,,,2026-09-11
